Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,deepest_snowfall,total_snowfall
0,2016-01-01,4.1,8.3,0.6,4.7,0,0
1,2016-01-02,8.6,12.9,1.2,1.3,0,0
2,2016-01-03,10.0,15.2,5.9,5.3,0,0
3,2016-01-04,9.4,15.5,6.3,2.2,0,0
4,2016-01-05,7.2,10.5,5.0,0.2,0,0
5,2016-01-06,6.1,10.3,3.4,0.3,0,0
6,2016-01-07,3.5,6.3,2.1,0.2,0,0
7,2016-01-08,3.9,5.8,1.5,0.0,0,0
8,2016-01-09,3.6,6.7,0.1,1.9,0,0
9,2016-01-10,5.3,8.7,3.8,2.8,0,0
10,2016-01-11,2.2,4.2,0.5,0.2,0,0
11,2016-01-12,-0.1,1.6,-2.4,0.0,9,10
12,2016-01-13,1.5,4.1,-3.6,2.3,5,1
13,2016-01-14,1.7,5.3,0.2,1.1,2,2
14,2016-01-15,2.2,3.8,0.6,0.3,0,0
15,2016-01-16,1.9,6.2,-0.2,1.2,1,1
16,2016-01-17,1.6,4.7,-2.2,3.0,0,0
17,2016-01-18,5.0,7.7,2.1,0.0,0,0
18,2016-01-19,-0.7,4.4,-2.3,0.1,15,18
19,2016-01-20,1.0,3.4,-1.2,0.4,14,1
20,2016-01-21,0.6,2.7,-2.1,1.9,16,10
21,2016-01-22,-1.1,1.8,-4.9,0.0,13,4
22,2016-01-23,-0.7,2.1,-3.8,1.8,18,9
23,2016-01-24,-2.1,0.9,-4.4,0.4,28,15
24,2016-01-25,-1.5,0.7,-6.0,1.3,33,8
25,2016-01-26,1.4,5.7,-6.2,5.7,29,2
26,2016-01-27,5.2,7.2,2.2,2.8,23,0
27,2016-01-28,5.1,9.6,3.0,2.0,13,2
28,2016-01-29,2.6,4.1,1.7,0.0,8,0
29,2016-01-30,2.7,5.9,0.3,2.7,4,2
30,2016-01-31,3.5,7.9,0.9,5.3,0,0
31,2016-02-01,0.5,1.7,-0.4,0.0,0,0
32,2016-02-02,0.5,1.9,-0.4,0.2,0,0
33,2016-02-03,1.1,5.6,-1.3,4.3,0,0
34,2016-02-04,3.1,7.6,-0.8,4.0,0,0
35,2016-02-05,4.4,8.7,2.1,5.0,0,0
36,2016-02-06,2.4,7.0,-0.2,4.7,0,0
37,2016-02-07,0.2,4.0,-2.5,5.7,0,0
38,2016-02-08,1.9,8.2,-3.4,9.8,1,1
39,2016-02-09,1.8,4.6,0.2,0.2,0,0
40,2016-02-10,1.2,4.6,-1.4,4.3,4,6
41,2016-02-11,2.4,7.2,-1.7,10.0,0,0
42,2016-02-12,6.7,15.6,-2.2,6.0,0,0
43,2016-02-13,12.0,18.8,6.7,0.0,0,0
44,2016-02-14,11.5,17.8,6.1,0.0,0,0
45,2016-02-15,0.9,6.2,-1.7,0.0,4,4
46,2016-02-16,0.1,3.1,-2.1,0.3,1,2
47,2016-02-17,0.2,1.3,-2.6,0.4,7,8
48,2016-02-18,3.0,7.8,-2.7,9.3,7,0
49,2016-02-19,7.7,12.4,0.4,5.8,0,0
50,2016-02-20,5.4,7.1,3.3,0.0,0,0
51,2016-02-21,4.8,7.9,1.4,1.5,0,0
52,2016-02-22,3.0,6.0,0.2,0.9,0,0
53,2016-02-23,5.5,9.5,1.1,0.6,0,0
54,2016-02-24,0.9,4.2,-1.6,2.2,7,7
55,2016-02-25,1.2,6.5,-2.0,7.1,6,1
56,2016-02-26,0.6,2.5,-2.4,0.4,4,10
57,2016-02-27,4.9,10.8,-0.3,5.3,0,0
58,2016-02-28,6.6,12.3,1.3,9.8,0,0
59,2016-02-29,4.7,14.8,-1.6,0.0,13,13
60,2016-03-01,-1.2,0.7,-2.5,1.1,15,6
61,2016-03-02,1.5,5.9,-3.2,3.0,10,2
62,2016-03-03,6.4,11.8,1.2,2.3,2,0
63,2016-03-04,5.1,12.4,-0.8,9.7,0,0
64,2016-03-05,7.7,14.7,3.6,4.7,0,0
65,2016-03-06,14.1,21.2,3.9,6.4,0,0
66,2016-03-07,10.9,17.2,8.6,0.3,0,0
67,2016-03-08,10.0,14.3,6.9,1.2,0,0
68,2016-03-09,3.7,8.9,0.8,0.0,0,0
69,2016-03-10,3.7,6.4,1.4,1.7,0,0
70,2016-03-11,3.6,8.0,0.6,6.6,0,0
71,2016-03-12,2.1,6.6,-0.2,2.5,1,1
72,2016-03-13,4.6,9.1,-1.3,2.1,0,0
73,2016-03-14,3.3,5.5,0.9,0.2,0,0
74,2016-03-15,4.4,8.2,0.6,5.9,0,0
75,2016-03-16,6.9,14.7,-1.0,8.4,0,0
76,2016-03-17,10.9,17.4,3.5,11.1,0,0
77,2016-03-18,11.8,19.0,4.2,2.4,0,0
78,2016-03-19,10.5,12.9,7.3,0.0,0,0
79,2016-03-20,7.1,10.2,4.9,0.5,0,0
80,2016-03-21,5.3,9.4,1.6,6.3,0,0
81,2016-03-22,8.3,15.5,-0.4,11.1,0,0
82,2016-03-23,7.3,10.9,4.3,0.4,0,0
83,2016-03-24,4.4,9.4,1.1,6.2,0,0
84,2016-03-25,3.2,6.1,0.7,2.8,0,0
85,2016-03-26,5.3,10.5,-0.3,8.4,0,0
86,2016-03-27,6.8,13.9,0.5,11.5,0,0
87,2016-03-28,7.8,13.4,2.1,5.9,0,0
88,2016-03-29,10.0,15.8,3.4,9.6,0,0
89,2016-03-30,11.7,17.9,5.1,2.4,0,0
90,2016-03-31,11.8,19.7,4.1,9.7,0,0
91,2016-04-01,11.0,17.7,4.3,9.5,0,0
92,2016-04-02,14.1,22.9,4.8,11.1,0,0
93,2016-04-03,16.8,22.7,9.4,3.1,0,0
94,2016-04-04,9.3,12.6,8.1,0.0,0,0
95,2016-04-05,10.3,15.2,6.2,7.7,0,0
96,2016-04-06,11.2,18.0,4.1,9.6,0,0
97,2016-04-07,12.8,24.6,8.9,0.0,0,0
98,2016-04-08,12.6,16.9,8.3,4.2,0,0
99,2016-04-09,14.9,22.0,5.5,11.2,0,0
100,2016-04-10,14.0,20.8,9.3,3.3,0,0
101,2016-04-11,5.1,9.4,1.9,1.3,0,0
102,2016-04-12,7.1,12.3,0.7,10.5,0,0
103,2016-04-13,13.9,22.6,5.5,7.5,0,0
104,2016-04-14,14.3,20.6,11.5,2.8,0,0
105,2016-04-15,10.9,14.7,6.2,9.0,0,0
106,2016-04-16,13.8,22.8,4.0,11.0,0,0
107,2016-04-17,19.2,28.1,11.6,6.5,0,0
108,2016-04-18,13.1,16.4,8.4,1.3,0,0
109,2016-04-19,11.1,17.0,5.2,8.2,0,0
110,2016-04-20,12.4,18.9,4.3,10.7,0,0
111,2016-04-21,14.1,21.3,10.9,0.0,0,0
112,2016-04-22,14.5,16.9,11.2,1.3,0,0
113,2016-04-23,15.4,22.7,9.5,7.9,0,0
114,2016-04-24,13.2,17.3,9.2,5.5,0,0
115,2016-04-25,12.8,18.8,7.3,8.3,0,0
116,2016-04-26,15.0,23.7,8.4,11.9,0,0
117,2016-04-27,13.4,17.5,10.9,7.4,0,0
