,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure
0,2016-01-01,7.7,13.3,3.7,,9.4,5.8,5.0,1019.5,49.0,1025.3
1,2016-01-02,9.9,14.0,6.0,,8.9,7.9,6.8,1017.8,55.0,1023.5
2,2016-01-03,12.5,14.8,10.1,,0.6,6.6,9.0,1011.7,62.0,1017.4
3,2016-01-04,13.3,15.9,10.5,,9.3,8.3,8.7,1009.1,57.0,1014.8
4,2016-01-05,12.0,14.8,9.6,,7.3,8.6,7.2,1011.4,51.0,1017.0
5,2016-01-06,11.0,13.0,9.0,,0.0,6.5,7.4,1010.6,57.0,1016.2
6,2016-01-07,9.8,13.5,6.6,,9.4,8.3,6.6,1007.4,54.0,1013.1
7,2016-01-08,8.1,12.1,4.7,,8.1,7.1,5.7,1009.1,53.0,1014.8
8,2016-01-09,7.9,12.3,4.9,,9.5,7.1,5.8,1011.9,54.0,1017.6
9,2016-01-10,8.2,11.4,5.8,,9.5,9.1,5.9,1012.5,54.0,1018.3
10,2016-01-11,8.6,12.1,5.6,,6.5,7.6,6.4,1011.4,57.0,1017.2
11,2016-01-12,7.5,10.0,3.2,0.0,0.2,3.0,6.9,1007.4,66.0,1013.1
12,2016-01-13,6.3,11.3,1.0,,8.6,5.1,4.5,1007.9,48.0,1013.7
13,2016-01-14,6.3,9.8,3.4,,9.4,7.4,4.8,1008.7,51.0,1014.4
14,2016-01-15,6.2,10.6,3.2,,7.7,6.6,5.0,1010.3,53.0,1016.1
15,2016-01-16,6.5,12.3,2.9,,9.8,5.4,4.6,1012.5,49.0,1018.2
16,2016-01-17,7.9,11.9,1.2,2.0,6.2,3.9,6.8,1013.5,62.0,1019.3
17,2016-01-18,9.2,12.0,7.4,13.5,2.0,10.2,9.2,992.2,80.0,997.8
18,2016-01-19,3.7,7.6,0.9,0.0,4.7,10.5,3.9,1000.5,49.0,1006.3
19,2016-01-20,3.6,7.5,0.1,0.0,8.2,9.4,5.1,1006.6,63.0,1012.4
20,2016-01-21,5.1,9.8,1.6,,7.3,7.2,4.3,1011.9,49.0,1017.8
21,2016-01-22,6.4,12.3,2.7,,9.1,4.9,4.1,1012.8,44.0,1018.6
22,2016-01-23,6.6,10.4,4.0,1.0,0.8,3.6,6.8,1010.9,70.0,1016.7
23,2016-01-24,1.3,4.1,-2.2,,8.9,8.9,2.8,1003.5,40.0,1009.4
24,2016-01-25,1.2,6.2,-3.4,,10.0,8.8,3.4,1012.7,50.0,1018.6
25,2016-01-26,4.4,8.9,-0.7,,10.1,6.3,4.2,1017.9,52.0,1023.7
26,2016-01-27,7.4,11.3,3.4,,9.8,8.5,5.2,1019.1,50.0,1024.9
27,2016-01-28,9.4,12.5,5.0,,9.9,7.8,6.4,1020.2,55.0,1026.0
28,2016-01-29,8.7,10.4,7.4,47.5,0.0,6.1,9.9,1014.8,89.0,1020.5
29,2016-01-30,8.0,8.9,7.0,9.0,0.0,6.2,9.2,1011.2,85.0,1016.9
30,2016-01-31,8.0,10.9,4.6,,4.2,3.7,7.6,1014.8,71.0,1020.5
31,2016-02-01,7.0,9.0,5.2,0.0,0.0,3.4,7.0,1012.8,70.0,1018.6
32,2016-02-02,7.1,10.7,2.7,,7.5,3.9,6.2,1011.2,61.0,1017.0
33,2016-02-03,5.0,10.2,0.8,,5.4,3.2,5.1,1014.3,58.0,1020.1
34,2016-02-04,5.7,10.5,-0.4,,9.8,5.5,4.7,1014.2,52.0,1020.0
35,2016-02-05,8.8,12.7,5.9,,8.7,6.7,6.1,1010.0,53.0,1015.7
36,2016-02-06,7.1,11.4,2.8,,5.2,5.9,5.3,1006.0,53.0,1011.8
37,2016-02-07,5.7,12.0,0.5,0.0,7.0,3.9,4.4,1008.8,49.0,1014.5
38,2016-02-08,5.6,10.0,-0.4,,9.5,3.4,4.5,1011.8,51.0,1017.6
39,2016-02-09,6.5,10.9,3.8,0.0,7.3,6.9,5.6,1007.3,58.0,1013.0
40,2016-02-10,5.6,10.7,1.0,,10.5,7.2,4.0,1014.3,45.0,1020.1
41,2016-02-11,7.3,12.0,-0.1,,10.1,2.9,6.3,1023.2,59.0,1029.0
42,2016-02-12,9.6,12.1,7.6,1.0,0.0,4.1,9.6,1024.7,80.0,1030.5
43,2016-02-13,13.6,16.3,9.9,16.5,2.3,2.7,14.1,1014.6,90.0,1020.2
44,2016-02-14,15.9,18.5,12.5,12.5,1.1,8.6,16.0,997.3,88.0,1002.8
45,2016-02-15,9.3,12.6,3.9,0.0,9.9,9.1,6.8,997.7,56.0,1003.4
46,2016-02-16,4.5,8.7,0.1,,10.2,6.9,4.2,1007.9,50.0,1013.7
47,2016-02-17,5.4,10.6,2.2,,8.6,7.0,5.1,1011.2,58.0,1017.0
48,2016-02-18,6.0,10.6,-0.4,,6.4,3.6,5.4,1019.0,58.0,1024.8
49,2016-02-19,9.9,13.7,4.4,1.5,10.0,6.0,7.3,1020.8,60.0,1026.6
50,2016-02-20,10.9,15.8,7.8,39.5,0.0,4.3,10.7,1012.3,80.0,1018.0
51,2016-02-21,9.6,12.7,4.5,,10.5,10.9,6.5,1009.6,54.0,1015.3
52,2016-02-22,8.0,11.2,2.9,,0.3,2.9,6.6,1021.8,61.0,1027.6
53,2016-02-23,10.3,13.8,7.3,,6.7,6.1,7.6,1015.7,61.0,1021.5
54,2016-02-24,7.8,12.4,2.4,,6.4,6.1,5.2,1014.8,48.0,1020.5
55,2016-02-25,5.5,11.1,0.1,,10.5,5.8,3.6,1019.5,41.0,1025.4
56,2016-02-26,5.7,10.6,1.3,,10.5,7.2,4.5,1019.9,50.0,1025.7
57,2016-02-27,7.3,12.0,1.3,0.0,10.0,4.9,5.2,1020.0,51.0,1025.8
58,2016-02-28,11.0,16.2,5.6,,10.1,3.7,6.5,1018.5,51.0,1024.2
59,2016-02-29,9.6,16.5,3.0,4.0,2.0,6.0,8.8,1005.4,71.0,1011.1
60,2016-03-01,4.0,8.6,1.0,,11.1,9.1,3.5,1011.0,44.0,1016.8
61,2016-03-02,6.0,10.9,1.3,,11.1,8.4,4.6,1016.1,48.0,1021.8
62,2016-03-03,10.4,15.2,4.4,,11.0,8.2,6.2,1017.5,49.0,1023.2
63,2016-03-04,11.6,16.2,7.1,,10.8,2.9,8.3,1023.3,60.0,1029.0
64,2016-03-05,13.3,17.4,9.7,,10.1,2.9,11.5,1024.7,75.0,1030.5
65,2016-03-06,14.7,17.2,11.4,0.0,3.8,3.2,14.1,1019.9,84.0,1025.5
66,2016-03-07,15.7,17.3,14.5,11.5,0.0,4.4,16.4,1011.0,92.0,1016.6
67,2016-03-08,16.0,19.8,11.8,,10.0,4.7,14.4,1008.2,79.0,1013.8
68,2016-03-09,12.7,15.2,10.5,42.0,0.1,4.8,12.0,1006.2,82.0,1011.8
69,2016-03-10,10.1,11.6,9.0,1.0,0.0,3.3,10.3,1009.0,84.0,1014.7
70,2016-03-11,8.0,10.2,4.7,4.5,0.3,3.1,8.5,1010.8,79.0,1016.6
71,2016-03-12,8.9,13.1,4.3,0.0,6.9,3.5,7.7,1015.3,68.0,1021.1
72,2016-03-13,9.9,13.9,6.1,0.0,6.4,3.0,7.8,1017.1,65.0,1022.8
73,2016-03-14,8.5,9.6,7.1,37.0,0.0,5.9,9.7,1005.6,88.0,1011.3
74,2016-03-15,9.9,13.9,5.5,0.0,11.2,2.8,7.5,1008.6,62.0,1014.3
