Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,deepest_snowfall,total_snowfall
0,2016-01-01,3.5,9.2,-1.7,0.0,0,0
1,2016-01-02,8.6,11.9,4.7,0.0,0,0
2,2016-01-03,7.5,13.8,1.9,0.0,0,0
3,2016-01-04,7.4,12.6,-0.1,0.0,0,0
4,2016-01-05,2.5,7.9,-1.8,1.0,0,0
5,2016-01-06,3.0,8.3,-0.7,0.0,0,0
6,2016-01-07,3.6,7.9,0.6,0.5,0,0
7,2016-01-08,1.2,3.9,-0.2,15.5,2,3
8,2016-01-09,1.0,3.3,-1.1,0.0,0,0
9,2016-01-10,2.3,6.9,0.0,0.0,0,0
10,2016-01-11,2.7,7.4,-1.0,0.0,0,0
11,2016-01-12,1.8,7.3,-1.3,3.5,0,0
12,2016-01-13,0.1,1.1,-1.3,7.5,3,7
13,2016-01-14,0.3,1.6,-0.4,6.5,6,10
14,2016-01-15,0.3,4.5,-1.4,3.0,9,15
15,2016-01-16,1.6,7.8,-3.7,0.0,2,0
16,2016-01-17,1.9,5.9,-1.1,12.0,0,0
17,2016-01-18,1.7,5.5,-1.8,31.5,0,0
18,2016-01-19,-2.9,-1.7,-4.5,3.0,5,7
19,2016-01-20,-1.4,0.6,-4.5,22.0,22,19
20,2016-01-21,-0.1,1.9,-2.7,4.0,20,10
21,2016-01-22,0.9,4.5,-1.1,8.5,19,8
22,2016-01-23,-1.6,0.1,-4.8,27.0,44,36
23,2016-01-24,-7.2,-4.8,-8.4,16.5,58,19
24,2016-01-25,-2.9,-1.6,-5.0,9.0,61,11
25,2016-01-26,0.2,1.9,-2.0,3.0,55,1
26,2016-01-27,2.0,5.4,-1.1,0.0,50,0
27,2016-01-28,0.9,3.2,-2.4,10.0,38,1
28,2016-01-29,2.1,4.2,1.1,20.5,28,2
29,2016-01-30,3.5,8.7,-0.6,0.0,22,2
30,2016-01-31,1.8,7.8,-1.9,1.0,18,1
31,2016-02-01,2.1,5.2,0.0,0.0,15,1
32,2016-02-02,1.3,6.9,-1.7,2.5,14,1
33,2016-02-03,0.8,6.0,-3.4,1.0,10,3
34,2016-02-04,1.3,6.6,-2.5,0.0,9,3
35,2016-02-05,0.6,6.1,-3.2,0.0,7,1
36,2016-02-06,-0.3,3.8,-2.7,4.5,12,15
37,2016-02-07,-0.3,3.7,-3.4,3.5,17,9
38,2016-02-08,2.7,5.7,-3.4,0.5,7,3
39,2016-02-09,3.3,6.3,-2.4,0.0,4,2
