Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,solar_radiation,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
0,2016-01-01,-1.1,0.2,-2.6,2.0,4.46,3.3,1017.8,59,1021.2,9.3
1,2016-01-02,1.6,4.0,-0.7,1.3,4.14,5.1,1008.9,75,1012.2,9.8
2,2016-01-03,0.3,2.2,-1.8,3.7,5.25,3.2,1009.9,52,1013.2,8.3
3,2016-01-04,-1.7,-0.2,-3.8,1.6,4.48,3.1,1009.1,57,1012.4,7.8
4,2016-01-05,-3.9,-2.4,-5.4,2.0,4.05,2.8,1010.5,61,1013.9,7.0
5,2016-01-06,-2.3,-0.4,-4.0,2.4,6.03,3.4,1010.0,66,1013.3,10.0
6,2016-01-07,-2.7,-1.2,-3.5,2.6,4.73,2.9,1005.9,58,1009.2,9.0
7,2016-01-08,-2.5,-0.9,-3.7,0.9,4.55,3.5,1006.3,68,1009.6,9.5
8,2016-01-09,-3.6,-2.6,-4.7,1.0,4.16,2.9,1010.8,62,1014.2,8.0
9,2016-01-10,-4.2,-2.0,-7.5,1.7,4.78,3.2,1008.9,69,1012.3,8.0
10,2016-01-11,-6.7,-4.1,-8.4,6.8,8.79,1.8,1011.8,48,1015.2,5.5
11,2016-01-12,-6.4,-5.4,-8.0,0.0,3.21,2.6,1008.9,68,1012.3,8.8
12,2016-01-13,-4.2,-1.8,-7.4,3.3,6.3,2.7,1006.9,60,1010.2,9.8
13,2016-01-14,-3.7,-0.4,-6.5,5.9,8.36,3.3,1005.9,72,1009.2,7.0
14,2016-01-15,-6.3,-4.3,-8.8,7.3,8.18,2.6,1012.0,69,1015.4,7.3
15,2016-01-16,-5.0,-1.5,-9.4,5.1,7.08,2.9,1013.2,68,1016.6,6.3
16,2016-01-17,-5.1,-1.9,-9.2,5.0,7.71,3.1,1018.7,73,1022.1,4.5
17,2016-01-18,-5.9,-2.8,-9.9,0.0,2.61,2.9,1011.6,74,1015.0,10.0
18,2016-01-19,-1.4,0.1,-3.6,0.0,2.44,4.4,996.2,80,999.5,10.0
19,2016-01-20,-0.5,1.0,-2.8,3.0,7.37,3.5,1003.9,60,1007.2,10.0
20,2016-01-21,-2.1,0.2,-4.5,1.4,5.85,3.4,1010.5,65,1013.8,10.0
21,2016-01-22,-2.7,0.2,-5.0,0.3,3.45,3.7,1012.0,72,1015.3,8.5
22,2016-01-23,-3.7,0.3,-7.5,3.9,7.14,2.7,1011.2,59,1014.6,6.3
23,2016-01-24,-5.7,-3.0,-9.0,5.9,9.01,2.7,1000.2,68,1003.5,6.3
24,2016-01-25,-6.7,-3.9,-10.7,1.4,5.37,2.7,1008.3,73,1011.7,7.3
25,2016-01-26,0.0,3.3,-4.5,3.2,7.67,4.0,1012.6,66,1015.9,9.8
26,2016-01-27,-1.7,0.3,-3.4,3.3,7.08,3.8,1014.9,71,1018.3,8.0
27,2016-01-28,-3.9,-1.8,-5.6,0.0,4.58,2.9,1019.6,62,1023.0,9.8
28,2016-01-29,-5.0,-3.0,-6.3,5.3,8.21,2.0,1022.8,48,1026.2,7.8
29,2016-01-30,-5.8,-4.1,-8.1,3.2,7.26,2.6,1019.0,66,1022.4,9.8
30,2016-01-31,-5.6,-3.4,-7.7,4.7,7.9,2.2,1015.4,55,1018.8,8.0
31,2016-02-01,-5.5,-2.9,-7.4,8.4,11.56,1.8,1015.6,45,1019.0,5.0
32,2016-02-02,-4.5,-1.2,-6.4,5.7,9.5,2.5,1011.9,58,1015.2,7.5
33,2016-02-03,-3.5,-0.4,-7.6,4.9,9.03,2.9,1016.1,62,1019.4,9.3
34,2016-02-04,-0.4,2.5,-4.0,4.2,7.94,3.9,1011.3,65,1014.6,10.0
35,2016-02-05,-2.4,-0.3,-5.5,2.3,6.82,3.4,1009.1,66,1012.4,9.0
36,2016-02-06,-4.9,-1.9,-7.6,2.6,7.37,2.6,1009.7,61,1013.1,6.0
37,2016-02-07,-4.7,-1.7,-8.5,5.5,9.99,2.7,1009.6,60,1012.9,6.8
38,2016-02-08,-3.5,-1.8,-6.3,9.3,12.43,2.8,1013.5,60,1016.9,6.3
39,2016-02-09,1.8,4.5,-2.3,3.0,7.47,4.7,1000.6,69,1003.8,8.8
40,2016-02-10,-1.7,0.6,-3.8,0.6,4.55,4.3,1010.9,79,1014.3,10.0
41,2016-02-11,-1.8,0.7,-5.3,6.2,10.85,3.1,1026.2,59,1029.6,5.0
42,2016-02-12,0.2,4.4,-6.7,3.2,7.18,4.4,1023.4,68,1026.7,9.0
43,2016-02-13,4.8,8.3,2.9,1.0,4.72,7.1,1009.9,83,1013.1,10.0
