Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,solar_radiation,avg_wind_speed,avg_local_pressure,avg_sea_pressure,cloud_cover
0,2016-01-01,7.7,13.1,2.2,5.9,10.11,1.1,1026.9,1031.4,3.5
1,2016-01-02,12.3,15.8,9.3,2.4,5.9,1.1,1020.5,1024.9,9.8
2,2016-01-03,12.4,15.5,9.1,0.0,3.61,1.5,1015.3,1019.7,7.5
3,2016-01-04,12.0,17.2,7.5,7.1,10.27,1.3,1016.7,1021.1,4.0
4,2016-01-05,10.2,13.0,7.8,0.0,1.17,1.6,1017.6,1022.0,10.0
5,2016-01-06,9.4,12.0,7.2,0.0,2.8,1.3,1016.1,1020.5,9.0
6,2016-01-07,9.2,10.3,7.8,0.9,2.93,2.8,1017.6,1022.0,9.0
7,2016-01-08,7.4,9.9,6.3,0.0,2.42,2.7,1017.0,1021.4,9.5
8,2016-01-09,7.3,8.8,5.8,0.1,3.97,1.8,1019.9,1024.4,9.0
9,2016-01-10,8.0,11.3,6.1,3.8,8.17,1.4,1020.3,1024.8,8.0
10,2016-01-11,8.6,11.6,5.8,0.2,5.35,1.9,1016.9,1021.3,10.0
11,2016-01-12,6.4,8.6,3.4,0.2,1.86,1.6,1015.0,1019.4,6.5
12,2016-01-13,5.8,7.9,3.8,0.0,2.87,2.6,1015.5,1020.0,10.0
13,2016-01-14,6.2,9.8,2.8,1.6,6.54,2.1,1016.8,1021.3,9.8
14,2016-01-15,5.3,9.6,2.0,3.3,7.41,1.2,1016.6,1021.1,6.5
15,2016-01-16,7.4,13.0,2.8,8.7,12.39,1.4,1016.7,1021.2,2.5
16,2016-01-17,8.0,10.1,6.4,0.0,1.65,2.2,1007.8,1012.2,10.0
17,2016-01-18,7.5,10.5,1.9,1.0,3.81,5.4,1006.2,1010.6,9.8
18,2016-01-19,3.6,4.9,1.6,0.4,4.01,6.0,1014.9,1019.4,9.3
19,2016-01-20,3.1,6.0,0.5,2.7,7.64,2.9,1021.6,1026.1,5.0
20,2016-01-21,2.9,5.7,0.4,0.0,2.16,1.3,1019.8,1024.3,9.8
21,2016-01-22,5.4,9.3,0.8,4.4,9.54,1.7,1019.8,1024.3,7.3
22,2016-01-23,4.3,7.3,-0.6,0.8,4.08,3.4,1019.0,1023.5,9.5
23,2016-01-24,-2.4,-0.2,-4.2,0.0,2.78,4.1,1017.6,1022.2,10.0
24,2016-01-25,0.1,2.3,-4.4,0.6,3.97,1.2,1023.2,1027.8,8.3
