Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,avg_wind_speed
0,2016-01-01,-3.2,-1.7,-4.5,7.6
1,2016-01-02,-0.7,1.3,-3.1,7.7
2,2016-01-03,-2.5,-1.4,-3.4,11.6
3,2016-01-04,-3.9,-2.6,-5.0,11.8
4,2016-01-05,-5.3,-4.0,-7.1,13.2
5,2016-01-06,-4.5,-3.1,-5.6,12.7
6,2016-01-07,-4.9,-3.0,-6.2,10.9
7,2016-01-08,-4.0,-2.7,-5.2,11.1
8,2016-01-09,-5.3,-3.6,-6.4,10.4
9,2016-01-10,-5.9,-4.4,-7.7,9.0
10,2016-01-11,-8.8,-6.9,-10.3,6.3
11,2016-01-12,-7.8,-6.8,-9.4,10.5
12,2016-01-13,-6.9,-5.5,-8.5,4.8
13,2016-01-14,-7.6,-5.8,-9.3,9.1
14,2016-01-15,-7.2,-5.2,-9.0,5.7
15,2016-01-16,-6.2,-5.2,-8.5,5.0
16,2016-01-17,-6.4,-3.9,-7.9,3.0
17,2016-01-18,-3.6,-0.8,-7.0,10.6
18,2016-01-19,-1.5,-0.8,-2.8,18.7
19,2016-01-20,-2.6,-1.5,-3.4,13.0
20,2016-01-21,-2.7,-1.7,-4.1,9.3
21,2016-01-22,-2.0,-0.3,-3.7,9.1
22,2016-01-23,-5.1,-3.2,-7.1,7.5
23,2016-01-24,-8.1,-6.8,-9.3,5.8
24,2016-01-25,-7.2,-3.5,-9.5,7.4
25,2016-01-26,-1.8,-0.8,-3.8,11.8
26,2016-01-27,-3.7,-1.7,-5.5,11.1
27,2016-01-28,-6.9,-3.0,-9.0,15.3
28,2016-01-29,-8.0,-6.6,-9.0,10.1
29,2016-01-30,-8.9,-7.7,-10.6,3.7
30,2016-01-31,-8.3,-7.3,-9.7,8.6
31,2016-02-01,-9.2,-8.0,-10.7,7.3
32,2016-02-02,-8.2,-6.1,-10.8,7.2
33,2016-02-03,-6.7,-3.6,-10.0,5.2
34,2016-02-04,-2.6,0.4,-6.2,4.9
35,2016-02-05,-3.9,-0.7,-6.0,11.1
36,2016-02-06,-7.2,-5.0,-9.4,4.9
37,2016-02-07,-8.1,-5.7,-10.4,5.9
38,2016-02-08,-8.7,-7.0,-10.3,4.7
39,2016-02-09,-3.5,-0.7,-9.3,7.5
40,2016-02-10,-2.7,-1.6,-4.0,13.0
41,2016-02-11,-3.7,-1.9,-6.0,6.5
42,2016-02-12,1.7,4.9,-5.2,10.1
43,2016-02-13,3.4,5.4,-0.3,9.3
44,2016-02-14,-5.5,-0.1,-8.1,12.0
45,2016-02-15,-6.9,-4.7,-9.9,6.7
46,2016-02-16,-6.8,-4.8,-8.5,8.9
47,2016-02-17,-6.5,-4.9,-8.3,13.7
48,2016-02-18,-2.9,-1.0,-6.9,12.1
49,2016-02-19,-1.5,-0.7,-2.3,3.4
50,2016-02-20,-1.6,-0.5,-4.0,9.0
51,2016-02-21,-3.8,-1.4,-5.3,9.8
52,2016-02-22,-4.6,-2.5,-6.2,8.7
53,2016-02-23,-6.0,-2.1,-9.6,8.1
54,2016-02-24,-10.2,-8.0,-11.9,6.0
55,2016-02-25,-8.4,-6.4,-11.2,7.9
56,2016-02-26,-7.6,-5.7,-10.7,6.9
57,2016-02-27,-6.8,-5.3,-8.8,5.1
58,2016-02-28,-6.8,-3.5,-10.7,4.5
59,2016-02-29,-3.6,-2.0,-5.3,13.9
60,2016-03-01,-5.1,-2.5,-7.8,14.5
61,2016-03-02,-5.1,-4.5,-5.7,8.2
62,2016-03-03,-5.2,-4.1,-6.3,4.8
63,2016-03-04,-3.5,-1.8,-7.2,4.3
64,2016-03-05,-4.0,-2.3,-6.4,4.3
65,2016-03-06,-1.4,5.4,-4.8,7.8
66,2016-03-07,2.2,6.4,-0.3,10.2
67,2016-03-08,0.7,4.1,-1.9,7.5
68,2016-03-09,-1.6,-0.8,-4.8,13.1
69,2016-03-10,-2.2,0.0,-5.6,6.3
70,2016-03-11,-3.1,-1.6,-5.0,7.6
71,2016-03-12,-2.0,-0.3,-4.4,7.6
72,2016-03-13,-1.0,1.2,-3.6,5.5
73,2016-03-14,0.4,1.5,-1.7,6.0
74,2016-03-15,-1.7,0.3,-5.4,7.7
75,2016-03-16,2.0,4.2,-5.8,7.0
76,2016-03-17,1.9,3.5,0.0,4.3
77,2016-03-18,3.4,9.0,0.3,5.5
78,2016-03-19,2.1,5.7,-0.3,7.3
79,2016-03-20,-1.6,-0.1,-2.6,11.9
80,2016-03-21,-0.3,1.3,-2.0,10.8
81,2016-03-22,1.9,2.8,1.0,10.0
82,2016-03-23,0.7,2.0,-0.9,5.8
83,2016-03-24,-1.2,0.0,-3.8,4.8
84,2016-03-25,0.3,2.7,-1.8,4.2
85,2016-03-26,0.4,3.4,-3.8,3.6
86,2016-03-27,4.4,7.3,1.8,9.1
87,2016-03-28,2.5,3.9,-1.5,6.1
88,2016-03-29,2.7,6.2,-1.5,5.2
89,2016-03-30,4.7,8.9,1.2,5.5
90,2016-03-31,3.6,7.6,1.5,5.0
91,2016-04-01,0.9,1.9,-0.1,9.0
92,2016-04-02,1.8,4.3,-0.5,6.2
93,2016-04-03,5.0,8.3,1.3,8.1
94,2016-04-04,4.4,7.5,-0.5,7.9
95,2016-04-05,3.8,9.4,0.7,7.2
96,2016-04-06,5.8,8.3,2.6,9.9
97,2016-04-07,8.3,13.4,5.0,8.3
98,2016-04-08,5.9,10.5,2.0,6.3
99,2016-04-09,1.8,4.4,0.3,6.2
100,2016-04-10,1.9,3.6,0.1,7.4
101,2016-04-11,1.6,2.5,0.4,10.4
102,2016-04-12,4.8,8.4,1.7,7.6
103,2016-04-13,3.2,6.1,0.6,5.4
104,2016-04-14,2.8,6.3,0.5,7.5
105,2016-04-15,1.4,2.9,0.3,11.2
106,2016-04-16,3.8,7.0,2.3,6.2
107,2016-04-17,2.2,3.9,0.5,11.5
108,2016-04-18,0.0,0.8,-0.8,9.3
109,2016-04-19,1.1,4.0,-2.7,3.1
110,2016-04-20,6.6,10.3,-1.0,9.2
111,2016-04-21,8.2,12.3,2.7,7.8
112,2016-04-22,2.7,5.3,1.1,10.0
