Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight
0,2016-01-01,-3.6,-2.1,-4.7,0.0
1,2016-01-02,-0.5,4.0,-4.7,0.0
2,2016-01-03,-3.3,0.0,-7.0,0.0
3,2016-01-04,-4.6,-3.0,-7.0,0.1
4,2016-01-05,-5.2,-4.1,-6.9,0.6
5,2016-01-06,-3.9,-1.0,-6.2,1.2
6,2016-01-07,-5.0,-4.3,-5.8,0.0
7,2016-01-08,-4.2,-2.3,-7.7,1.0
8,2016-01-09,-5.6,-4.2,-8.0,2.2
9,2016-01-10,-5.1,-3.1,-7.5,1.9
10,2016-01-11,-8.2,-6.1,-11.5,0.5
11,2016-01-12,-7.8,-4.6,-9.5,3.1
12,2016-01-13,-6.2,-4.0,-8.9,5.6
13,2016-01-14,-4.3,-2.6,-6.9,0.0
14,2016-01-15,-8.5,-5.7,-12.6,1.1
15,2016-01-16,-7.6,-5.7,-11.4,7.0
16,2016-01-17,-7.3,-5.7,-10.8,0.1
17,2016-01-18,-5.7,-1.9,-11.4,2.4
18,2016-01-19,-2.0,-1.0,-3.6,0.0
19,2016-01-20,-1.7,-1.0,-2.6,0.0
20,2016-01-21,-3.6,-2.4,-4.2,0.0
21,2016-01-22,-2.9,-1.3,-4.4,0.0
22,2016-01-23,-4.2,-2.1,-6.1,0.1
23,2016-01-24,-6.4,-5.1,-8.1,0.0
24,2016-01-25,-8.2,-6.3,-9.7,0.0
25,2016-01-26,-2.4,1.5,-7.2,6.2
26,2016-01-27,-4.0,0.1,-8.1,0.9
27,2016-01-28,-6.2,-3.9,-8.8,0.1
28,2016-01-29,-8.1,-7.1,-9.2,0.0
29,2016-01-30,-9.4,-6.5,-13.4,4.8
30,2016-01-31,-7.7,-6.2,-11.3,2.7
31,2016-02-01,-9.0,-7.6,-10.1,1.2
32,2016-02-02,-8.2,-4.7,-13.5,6.0
33,2016-02-03,-8.2,-6.1,-10.2,3.8
34,2016-02-04,-3.6,0.4,-9.2,2.4
35,2016-02-05,-3.1,0.9,-5.8,3.8
36,2016-02-06,-5.5,-2.9,-7.9,7.8
37,2016-02-07,-7.5,-5.0,-10.6,2.9
38,2016-02-08,-8.5,-6.0,-11.7,5.9
39,2016-02-09,-1.4,0.5,-6.1,0.0
40,2016-02-10,-3.1,1.1,-5.9,0.0
41,2016-02-11,-4.6,-2.7,-6.5,0.0
42,2016-02-12,-1.6,4.4,-9.1,1.3
43,2016-02-13,6.7,10.6,2.0,0.3
44,2016-02-14,-1.7,2.6,-2.7,0.0
45,2016-02-15,-6.2,-2.6,-10.1,2.7
46,2016-02-16,-6.6,-4.1,-9.9,7.6
47,2016-02-17,-5.1,-2.9,-7.4,1.7
48,2016-02-18,-3.7,1.3,-7.8,5.2
49,2016-02-19,0.9,5.6,-3.7,8.5
50,2016-02-20,-0.1,1.7,-2.5,6.8
51,2016-02-21,-3.2,-1.2,-4.6,0.0
52,2016-02-22,-5.2,-3.1,-10.0,1.9
53,2016-02-23,-3.7,1.1,-9.7,5.5
54,2016-02-24,-10.7,-7.4,-14.5,4.5
55,2016-02-25,-9.9,-4.7,-14.9,5.6
56,2016-02-26,-8.9,-6.2,-14.5,7.2
57,2016-02-27,-7.4,-3.4,-12.4,7.2
58,2016-02-28,-8.4,-5.4,-11.8,5.4
59,2016-02-29,-3.9,0.0,-8.4,0.0
60,2016-03-01,-4.8,0.4,-7.5,0.0
61,2016-03-02,-6.7,-5.4,-7.8,0.5
62,2016-03-03,-7.4,-5.5,-11.8,4.8
63,2016-03-04,-6.8,-4.4,-11.4,3.5
64,2016-03-05,-6.6,-4.0,-10.6,8.0
65,2016-03-06,1.0,11.5,-10.1,0.4
66,2016-03-07,4.7,12.3,0.6,3.1
67,2016-03-08,3.0,7.6,-0.8,3.5
68,2016-03-09,-2.3,-0.1,-4.9,7.7
69,2016-03-10,-3.4,-0.9,-6.7,10.0
70,2016-03-11,-3.8,-0.1,-7.3,7.9
71,2016-03-12,-4.1,-2.0,-7.7,9.6
72,2016-03-13,-2.0,1.7,-7.3,10.4
73,2016-03-14,1.5,5.2,-1.8,7.9
74,2016-03-15,-2.7,0.0,-4.5,5.5
75,2016-03-16,2.2,8.7,-4.9,7.3
76,2016-03-17,3.3,6.7,1.2,3.8
