Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,deepest_snowfall,total_snowfall,avg_wind_speed
0,2016-01-01,-1.8,1.1,-6.0,0.0,7.4,2,1,2.9
1,2016-01-02,2.6,6.0,-2.5,3.0,0.3,4,6,3.6
2,2016-01-03,0.8,3.4,-3.8,0.0,1.8,1,1,3.0
3,2016-01-04,-2.7,0.6,-6.3,0.0,0.8,1,1,2.2
4,2016-01-05,-3.4,-0.8,-6.3,0.0,1.0,1,1,3.3
5,2016-01-06,-1.5,1.9,-6.4,0.0,0.7,2,1,3.5
6,2016-01-07,-2.4,-0.8,-3.6,0.0,0.3,1,0,2.5
7,2016-01-08,-0.8,1.3,-3.4,0.0,0.6,1,0,2.8
8,2016-01-09,-2.8,-0.8,-5.7,0.0,1.2,2,1,2.7
9,2016-01-10,-3.1,0.6,-5.9,0.5,3.7,4,8,3.2
10,2016-01-11,-6.9,-3.7,-10.5,0.0,1.0,3,0,2.9
11,2016-01-12,-6.0,-3.7,-10.4,0.0,1.2,1,0,2.4
12,2016-01-13,-5.1,-1.2,-9.7,0.0,2.9,2,3,2.2
13,2016-01-14,-2.7,3.1,-6.1,4.0,4.0,8,7,3.1
14,2016-01-15,-4.9,-1.1,-9.3,1.0,3.8,9,3,1.8
15,2016-01-16,-6.2,-1.6,-11.8,0.0,1.3,8,0,1.9
16,2016-01-17,-7.4,-1.0,-12.6,0.0,8.2,8,1,2.3
17,2016-01-18,-3.3,0.8,-8.7,0.0,0.0,7,0,2.8
18,2016-01-19,-0.2,1.7,-1.6,0.0,0.0,7,0,2.6
19,2016-01-20,-0.3,2.0,-2.9,0.0,6.5,7,0,4.9
20,2016-01-21,-2.8,0.8,-5.8,0.0,8.3,5,0,3.5
21,2016-01-22,-2.7,0.5,-8.7,0.0,6.0,5,0,2.8
22,2016-01-23,-3.3,-0.3,-6.8,0.0,5.4,4,3,2.1
23,2016-01-24,-3.8,0.3,-6.7,0.0,2.8,4,2,1.6
24,2016-01-25,-5.0,-1.7,-9.9,0.0,8.9,3,0,2.2
25,2016-01-26,-1.8,0.6,-4.8,0.5,0.1,4,1,1.5
26,2016-01-27,-0.6,1.8,-3.2,0.5,5.9,6,7,2.8
27,2016-01-28,-3.0,1.0,-7.0,0.0,6.1,3,5,3.2
28,2016-01-29,-5.7,-2.2,-10.4,0.0,7.1,2,1,2.7
29,2016-01-30,-5.9,-2.3,-9.3,0.0,7.9,2,3,1.9
30,2016-01-31,-5.2,-2.5,-7.6,0.5,6.5,5,7,2.7
31,2016-02-01,-7.4,-2.7,-12.6,0.0,7.0,3,2,2.4
32,2016-02-02,-6.4,-1.3,-12.3,0.0,4.2,2,1,2.9
33,2016-02-03,-5.5,-0.4,-11.8,0.0,8.8,2,2,2.0
34,2016-02-04,-2.2,2.2,-7.4,1.0,6.2,5,3,1.7
35,2016-02-05,-1.1,0.7,-3.6,3.0,6.7,12,7,3.3
36,2016-02-06,-5.1,-0.4,-9.7,0.0,2.6,7,0,2.4
37,2016-02-07,-5.8,-0.8,-13.4,0.0,7.7,7,1,3.2
38,2016-02-08,-2.7,0.0,-5.7,0.0,8.9,7,2,2.6
39,2016-02-09,1.6,4.0,-0.4,2.5,2.2,9,4,3.0
40,2016-02-10,-0.9,1.2,-4.1,0.0,8.1,6,2,4.5
41,2016-02-11,-2.0,1.7,-4.8,0.0,8.1,4,0,3.3
42,2016-02-12,-1.2,4.4,-8.3,0.0,6.8,2,2,1.8
43,2016-02-13,3.0,4.0,1.1,0.5,0.0,1,0,2.1
44,2016-02-14,6.0,9.4,-0.7,14.0,0.0,2,2,4.1
45,2016-02-15,-4.2,-0.6,-8.9,0.0,3.6,2,4,4.1
46,2016-02-16,-5.1,-1.7,-10.2,0.5,4.7,1,2,2.4
47,2016-02-17,-2.6,0.1,-5.8,0.0,6.5,3,7,4.2
48,2016-02-18,-0.5,4.0,-6.8,0.0,4.3,1,1,1.5
49,2016-02-19,3.1,6.7,-0.7,0.5,2.9,1,1,2.6
50,2016-02-20,2.4,4.7,0.0,9.5,0.1,10,12,2.0
51,2016-02-21,0.7,3.0,-1.5,3.5,2.7,10,4,3.1
52,2016-02-22,-2.5,0.1,-5.9,0.0,6.8,6,1,3.0
53,2016-02-23,-2.1,2.0,-6.0,1.5,0.6,10,4,1.9
54,2016-02-24,-5.3,-2.3,-9.9,0.0,10.1,8,2,3.4
55,2016-02-25,-7.0,-1.5,-12.0,1.0,5.2,10,3,2.4
56,2016-02-26,-5.9,-0.4,-11.4,0.0,6.0,9,2,2.5
57,2016-02-27,-5.0,-0.8,-9.4,0.0,7.5,11,2,2.4
58,2016-02-28,-4.3,0.3,-10.4,0.0,10.5,10,1,2.2
59,2016-02-29,1.2,4.9,-5.7,1.5,0.0,9,3,5.5
60,2016-03-01,-1.3,1.1,-5.2,0.0,7.6,5,4,5.8
61,2016-03-02,-3.7,0.5,-8.3,0.0,7.2,5,2,2.4
62,2016-03-03,-3.0,2.4,-7.6,3.5,1.6,7,9,2.1
