Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature
0,2016-01-01,1.7,11.1,-3.3
1,2016-01-02,8.0,14.1,-1.2
2,2016-01-03,9.0,14.7,2.8
3,2016-01-04,7.5,14.8,0.3
4,2016-01-05,6.2,9.7,3.9
5,2016-01-06,5.0,7.7,0.4
6,2016-01-07,4.7,8.1,0.3
7,2016-01-08,3.1,4.2,0.7
8,2016-01-09,1.9,6.2,-2.1
9,2016-01-10,2.3,9.2,-1.7
10,2016-01-11,3.7,9.1,-1.2
11,2016-01-12,3.7,6.7,1.4
12,2016-01-13,1.8,5.3,-2.1
13,2016-01-14,2.0,6.8,-3.3
14,2016-01-15,-0.4,6.4,-4.6
15,2016-01-16,0.3,10.2,-6.3
16,2016-01-17,2.4,6.6,-3.5
17,2016-01-18,3.5,6.6,-2.0
18,2016-01-19,-2.0,-0.8,-3.0
19,2016-01-20,-2.6,0.7,-6.2
20,2016-01-21,-1.7,3.9,-7.5
21,2016-01-22,2.3,5.7,-0.5
22,2016-01-23,0.0,3.8,-3.5
23,2016-01-24,-6.6,-3.5,-8.8
24,2016-01-25,-3.5,-0.5,-9.0
25,2016-01-26,1.1,4.2,-4.2
26,2016-01-27,2.9,8.7,-1.5
27,2016-01-28,4.2,6.9,-0.3
28,2016-01-29,8.8,12.7,5.7
29,2016-01-30,6.7,8.5,2.9
30,2016-01-31,4.6,10.9,0.5
31,2016-02-01,2.8,4.7,-0.2
32,2016-02-02,1.8,4.8,-1.3
33,2016-02-03,2.3,4.9,-0.1
34,2016-02-04,3.1,9.0,-1.9
35,2016-02-05,2.5,8.7,-3.0
36,2016-02-06,0.9,5.2,-2.9
37,2016-02-07,0.2,5.6,-3.8
38,2016-02-08,1.0,7.4,-5.8
39,2016-02-09,4.9,8.7,-1.6
40,2016-02-10,2.5,13.4,-4.4
41,2016-02-11,4.3,16.2,-4.0
42,2016-02-12,11.3,15.1,2.9
43,2016-02-13,14.1,17.6,9.6
44,2016-02-14,9.4,16.7,2.3
45,2016-02-15,0.0,3.0,-2.1
46,2016-02-16,0.3,3.4,-2.0
47,2016-02-17,1.2,5.4,-3.6
48,2016-02-18,2.0,12.1,-5.3
49,2016-02-19,5.1,13.2,-2.5
50,2016-02-20,5.9,8.7,4.7
51,2016-02-21,2.6,6.7,-1.4
52,2016-02-22,2.7,9.6,-2.9
53,2016-02-23,3.9,6.8,1.2
54,2016-02-24,3.5,7.8,0.8
55,2016-02-25,0.1,3.0,-4.1
56,2016-02-26,0.0,7.5,-6.0
57,2016-02-27,4.1,12.6,-3.1
58,2016-02-28,8.1,16.6,-0.1
59,2016-02-29,2.6,11.3,-2.9
60,2016-03-01,-0.4,5.6,-6.2
61,2016-03-02,3.5,12.8,-3.1
62,2016-03-03,5.3,16.4,-4.0
63,2016-03-04,9.3,16.8,3.0
64,2016-03-05,11.8,19.7,4.0
65,2016-03-06,14.7,19.8,7.7
66,2016-03-07,13.7,22.9,9.2
67,2016-03-08,11.0,20.5,5.1
68,2016-03-09,7.1,10.2,4.4
69,2016-03-10,5.8,9.6,2.6
70,2016-03-11,3.2,6.7,-1.1
71,2016-03-12,2.9,10.0,-3.5
72,2016-03-13,3.5,8.6,-1.6
73,2016-03-14,4.8,8.4,2.6
74,2016-03-15,5.4,12.3,0.0
75,2016-03-16,6.8,15.9,-0.5
76,2016-03-17,9.0,18.9,-1.5
77,2016-03-18,11.4,13.8,7.7
78,2016-03-19,12.4,15.4,5.0
79,2016-03-20,7.1,13.1,1.0
80,2016-03-21,5.0,13.0,-1.4
81,2016-03-22,7.1,19.7,-3.8
82,2016-03-23,9.6,18.2,2.8
83,2016-03-24,6.0,10.3,2.2
84,2016-03-25,3.6,9.5,-2.5
85,2016-03-26,4.6,11.8,-3.2
86,2016-03-27,4.7,9.3,-0.4
87,2016-03-28,5.8,14.4,-2.2
88,2016-03-29,8.9,16.4,-0.4
89,2016-03-30,12.0,16.2,6.9
90,2016-03-31,10.6,16.1,4.4
91,2016-04-01,12.0,14.8,10.1
92,2016-04-02,14.2,19.4,8.4
93,2016-04-03,15.1,17.8,13.2
94,2016-04-04,13.9,16.8,11.2
95,2016-04-05,12.8,20.1,6.1
96,2016-04-06,13.3,19.4,6.1
97,2016-04-07,17.9,22.2,12.8
98,2016-04-08,14.0,19.6,8.6
99,2016-04-09,13.2,21.3,5.9
100,2016-04-10,13.0,20.8,8.0
101,2016-04-11,10.7,14.9,3.7
102,2016-04-12,10.1,17.7,2.3
103,2016-04-13,14.0,19.7,6.9
104,2016-04-14,16.0,22.7,7.7
105,2016-04-15,13.3,21.6,6.9
106,2016-04-16,13.9,23.2,4.3
107,2016-04-17,16.1,20.4,9.2
108,2016-04-18,10.3,14.2,3.4
109,2016-04-19,10.4,19.2,1.9
110,2016-04-20,13.1,22.6,1.8
111,2016-04-21,16.4,20.2,13.1
112,2016-04-22,17.4,24.6,12.1
113,2016-04-23,13.4,22.4,8.3
114,2016-04-24,13.1,17.2,9.9
115,2016-04-25,13.8,16.0,10.0
116,2016-04-26,18.3,23.7,14.5
117,2016-04-27,16.4,17.8,15.2
118,2016-04-28,13.9,17.4,10.3
119,2016-04-29,11.2,17.7,4.6
120,2016-04-30,13.2,23.0,2.3
121,2016-05-01,16.7,26.8,7.6
122,2016-05-02,17.4,25.4,8.3
123,2016-05-03,16.6,19.8,11.0
124,2016-05-04,16.0,21.8,8.7
125,2016-05-05,18.4,25.2,13.7
126,2016-05-06,16.5,19.2,13.2
127,2016-05-07,19.8,25.7,11.9
128,2016-05-08,16.0,23.3,9.8
129,2016-05-09,16.3,19.0,13.8
130,2016-05-10,18.9,20.7,17.0
131,2016-05-11,13.3,18.8,7.7
132,2016-05-12,14.3,24.9,5.6
133,2016-05-13,17.2,23.9,10.1
134,2016-05-14,18.4,25.1,11.1
135,2016-05-15,19.7,23.5,16.5
136,2016-05-16,15.7,23.1,6.9
137,2016-05-17,13.8,23.3,5.5
138,2016-05-18,15.2,25.8,5.3
139,2016-05-19,17.3,23.8,8.9
140,2016-05-20,18.9,25.1,13.1
141,2016-05-21,17.6,25.0,10.5
142,2016-05-22,17.7,26.2,8.4
143,2016-05-23,19.3,28.5,10.4
144,2016-05-24,19.5,25.9,10.8
145,2016-05-25,21.0,24.6,18.4
146,2016-05-26,21.8,25.1,19.5
147,2016-05-27,20.9,26.5,17.2
148,2016-05-28,17.2,18.4,16.2
149,2016-05-29,18.6,20.1,16.8
150,2016-05-30,20.8,27.3,13.3
151,2016-05-31,20.4,30.4,9.3
152,2016-06-01,18.3,23.3,14.9
153,2016-06-02,17.1,23.5,11.0
154,2016-06-03,17.8,25.7,9.3
155,2016-06-04,16.1,18.4,14.1
156,2016-06-05,16.3,18.2,15.3
157,2016-06-06,18.9,21.3,16.2
158,2016-06-07,19.4,23.6,17.6
159,2016-06-08,20.8,24.5,18.2
160,2016-06-09,20.4,24.8,16.7
161,2016-06-10,21.0,27.5,15.5
162,2016-06-11,22.5,27.2,17.7
163,2016-06-12,20.2,21.7,19.4
164,2016-06-13,20.6,25.3,17.0
165,2016-06-14,21.1,27.6,16.5
166,2016-06-15,22.8,28.5,17.1
167,2016-06-16,21.6,23.9,19.0
168,2016-06-17,20.0,24.2,15.9
169,2016-06-18,21.8,29.1,13.6
170,2016-06-19,22.4,25.7,20.4
171,2016-06-20,22.7,26.0,20.7
172,2016-06-21,23.8,28.0,20.8
173,2016-06-22,21.9,23.8,20.7
174,2016-06-23,23.5,27.2,20.4
175,2016-06-24,23.9,26.8,20.0
176,2016-06-25,19.3,23.6,15.7
177,2016-06-26,19.5,25.7,14.1
178,2016-06-27,16.9,22.5,13.9
179,2016-06-28,19.5,21.3,17.2
180,2016-06-29,21.3,24.5,19.2
181,2016-06-30,21.7,25.7,17.8
182,2016-07-01,23.5,29.7,17.2
183,2016-07-02,26.1,30.6,20.7
184,2016-07-03,26.0,31.2,23.2
185,2016-07-04,26.5,32.5,21.9
186,2016-07-05,26.3,33.1,21.1
187,2016-07-06,26.6,34.2,21.0
188,2016-07-07,25.0,30.5,20.1
189,2016-07-08,21.4,24.0,19.9
190,2016-07-09,24.2,30.9,19.9
191,2016-07-10,24.9,29.4,22.9
192,2016-07-11,24.0,25.5,22.9
193,2016-07-12,25.5,28.8,22.9
194,2016-07-13,23.6,24.9,22.7
195,2016-07-14,25.5,30.2,20.7
196,2016-07-15,22.3,27.4,18.3
197,2016-07-16,23.4,30.4,17.2
198,2016-07-17,25.8,30.1,22.7
199,2016-07-18,25.2,32.5,18.4
200,2016-07-19,25.3,30.9,20.7
201,2016-07-20,24.2,31.0,21.0
