Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure
0,2016-01-01,4.9,14.2,-2.3,1.0,5.9,1012.1,73,1031.5
1,2016-01-02,9.2,14.7,2.9,1.0,9.6,1006.8,81,1025.9
2,2016-01-03,13.1,19.1,10.7,0.9,14.0,1000.8,94,1019.4
3,2016-01-04,11.8,19.4,5.9,1.3,10.2,1001.5,77,1020.3
4,2016-01-05,10.7,15.0,8.4,2.1,10.8,1002.1,85,1021.0
5,2016-01-06,8.9,9.9,7.7,2.0,11.3,1000.5,99,1019.4
6,2016-01-07,7.8,11.5,4.8,1.7,7.9,1001.8,75,1020.8
7,2016-01-08,7.4,11.7,2.6,2.0,7.4,1001.1,73,1020.2
8,2016-01-09,6.0,12.1,1.3,1.7,6.3,1004.6,70,1023.8
9,2016-01-10,5.5,12.4,0.0,1.1,6.8,1005.1,77,1024.3
10,2016-01-11,7.0,9.2,5.5,1.3,9.2,1001.4,92,1020.5
11,2016-01-12,6.8,11.9,3.6,1.6,7.9,998.8,81,1017.8
12,2016-01-13,5.8,11.2,2.6,1.9,6.3,999.9,70,1019.0
13,2016-01-14,5.8,11.7,1.7,1.6,6.2,1001.3,69,1020.4
14,2016-01-15,5.2,10.1,0.6,1.5,5.8,1001.2,68,1020.4
15,2016-01-16,5.5,14.0,-1.3,1.1,6.0,1002.3,71,1021.5
16,2016-01-17,6.5,10.7,0.6,2.4,9.3,993.9,93,1012.9
17,2016-01-18,8.9,12.7,3.8,3.7,8.5,989.2,73,1007.9
18,2016-01-19,3.1,8.7,1.2,3.0,6.0,998.6,79,1018.0
19,2016-01-20,2.6,7.3,-0.7,2.0,4.7,1005.2,66,1024.7
20,2016-01-21,1.9,5.1,-1.7,1.0,5.8,1004.2,83,1023.7
21,2016-01-22,5.6,11.3,1.1,1.2,6.2,1003.3,70,1022.6
22,2016-01-23,5.3,11.2,1.1,1.9,6.3,1001.6,72,1020.8
23,2016-01-24,-1.7,1.4,-4.0,2.4,4.3,1000.5,79,1020.2
24,2016-01-25,-0.5,7.2,-7.2,1.6,4.3,1007.9,73,1027.6
25,2016-01-26,3.6,9.6,-2.6,1.8,6.4,1008.6,81,1028.1
26,2016-01-27,5.5,11.3,-0.7,1.1,7.1,1011.2,80,1030.6
27,2016-01-28,9.8,16.4,4.6,1.1,10.0,1008.6,82,1027.6
28,2016-01-29,13.7,19.0,10.5,1.7,15.5,998.9,98,1017.4
29,2016-01-30,13.1,15.2,7.6,1.6,13.2,998.8,87,1017.4
30,2016-01-31,8.5,16.2,2.7,1.4,8.4,1005.1,79,1024.2
31,2016-02-01,6.8,8.3,5.1,1.2,7.9,1003.5,80,1022.7
32,2016-02-02,5.4,11.4,1.1,1.4,5.4,1002.6,62,1021.9
33,2016-02-03,4.7,13.0,-1.5,1.3,5.4,1004.7,67,1024.1
34,2016-02-04,5.7,13.7,-2.0,1.3,5.8,1004.6,67,1023.8
35,2016-02-05,6.5,13.2,1.8,1.3,5.9,1000.7,63,1019.8
36,2016-02-06,4.3,10.0,-0.7,2.0,5.0,999.5,63,1018.8
37,2016-02-07,4.4,11.9,-2.1,1.7,4.5,1000.5,57,1019.7
38,2016-02-08,4.8,13.6,-2.5,1.5,5.4,1001.1,66,1020.3
39,2016-02-09,8.9,14.9,2.1,2.7,5.3,1001.7,50,1020.7
40,2016-02-10,7.7,17.7,-0.3,1.3,6.0,1006.2,62,1025.3
41,2016-02-11,9.2,18.3,0.7,1.4,8.8,1008.9,77,1028.0
42,2016-02-12,13.7,17.3,9.5,1.9,13.0,1005.8,82,1024.5
43,2016-02-13,18.4,20.6,16.2,3.9,19.5,995.8,92,1014.0
44,2016-02-14,12.2,18.7,6.3,3.5,11.9,992.2,81,1010.8
45,2016-02-15,3.9,7.4,0.5,3.8,5.0,997.6,62,1016.9
