,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,deepest_snowfall,total_snowfall,avg_wind_speed
0,2016-01-01,-0.9,2.5,-8.4,0.0,7,0,3.5
1,2016-01-02,3.7,5.7,-0.2,2.0,7,0,5.8
2,2016-01-03,1.2,4.2,-2.3,0.0,0,0,5.1
3,2016-01-04,-1.0,1.2,-4.4,0.0,0,0,3.0
4,2016-01-05,-3.0,-0.3,-4.6,3.0,10,13,4.7
5,2016-01-06,-1.4,0.9,-3.5,3.0,19,11,4.7
6,2016-01-07,-2.5,-0.7,-4.2,0.0,19,0,4.6
7,2016-01-08,-2.6,0.1,-9.4,3.5,20,9,2.9
8,2016-01-09,-3.4,-1.2,-10.2,0.0,18,0,3.8
9,2016-01-10,-3.5,0.6,-7.0,1.5,18,5,4.5
10,2016-01-11,-6.8,-5.1,-10.1,0.0,15,4,3.9
11,2016-01-12,-5.3,-2.1,-9.0,0.0,13,0,3.9
12,2016-01-13,-3.6,0.3,-8.4,1.5,15,3,2.7
13,2016-01-14,-3.6,1.6,-11.8,0.0,14,1,5.5
14,2016-01-15,-5.8,-0.5,-13.2,0.5,15,2,3.4
15,2016-01-16,-6.8,-1.8,-13.5,0.0,14,0,3.1
16,2016-01-17,-6.6,-0.9,-15.2,0.0,13,0,2.8
17,2016-01-18,-1.2,1.7,-6.9,7.5,17,8,7.3
18,2016-01-19,-0.7,0.7,-2.7,5.0,21,8,2.7
19,2016-01-20,-0.3,2.6,-3.9,0.0,20,0,4.0
20,2016-01-21,-2.8,1.2,-9.6,0.0,20,1,3.8
21,2016-01-22,-3.5,1.7,-11.1,0.0,20,0,3.6
22,2016-01-23,-4.2,-1.0,-11.4,0.0,19,0,2.9
23,2016-01-24,-2.8,2.0,-8.9,0.0,20,1,3.0
24,2016-01-25,-4.0,-0.1,-10.2,0.0,20,0,3.6
25,2016-01-26,1.5,3.2,-2.4,0.0,19,0,6.5
26,2016-01-27,0.3,2.1,-1.2,0.0,18,3,6.0
27,2016-01-28,-2.3,1.7,-5.3,3.5,29,13,5.1
28,2016-01-29,-4.6,-1.3,-7.8,0.0,25,0,2.8
29,2016-01-30,-4.7,-0.5,-10.3,0.0,22,1,2.0
30,2016-01-31,-5.6,-2.9,-8.0,0.0,23,3,3.7
31,2016-02-01,-6.3,-3.2,-9.5,0.0,23,1,3.0
32,2016-02-02,-5.8,-1.9,-10.8,0.0,23,1,3.7
33,2016-02-03,-4.4,0.4,-12.4,0.0,20,0,2.7
34,2016-02-04,-0.6,3.0,-7.0,0.0,21,2,3.4
35,2016-02-05,-1.7,0.4,-4.1,0.0,23,2,4.7
36,2016-02-06,-5.4,-1.7,-11.6,0.0,22,1,3.6
37,2016-02-07,-5.4,-0.8,-12.6,0.0,24,3,4.9
38,2016-02-08,-0.2,3.4,-4.8,0.5,24,1,3.1
39,2016-02-09,1.6,4.0,-2.4,1.0,22,1,4.9
40,2016-02-10,-1.8,1.8,-5.9,0.0,20,0,4.7
41,2016-02-11,-2.4,2.5,-7.3,0.0,19,0,2.8
42,2016-02-12,0.9,6.2,-5.1,0.0,19,0,2.2
43,2016-02-13,4.7,8.7,1.0,2.0,18,0,3.1
44,2016-02-14,5.8,10.6,0.4,10.5,8,0,5.9
45,2016-02-15,-5.2,0.5,-7.9,0.0,4,5,6.7
46,2016-02-16,-4.4,-1.4,-7.5,0.5,7,5,4.7
47,2016-02-17,-3.9,-0.7,-7.4,0.5,11,7,5.0
48,2016-02-18,2.2,6.2,-3.0,2.5,13,4,5.1
49,2016-02-19,3.2,7.1,-2.1,1.0,3,1,5.2
50,2016-02-20,2.2,4.7,-1.5,5.0,1,1,3.1
51,2016-02-21,0.7,4.8,-3.7,3.0,3,3,5.9
52,2016-02-22,-1.8,-0.1,-3.4,0.0,1,0,5.7
53,2016-02-23,0.5,4.9,-4.2,1.0,2,2,3.1
54,2016-02-24,-4.1,-1.2,-7.1,0.0,0,0,4.1
55,2016-02-25,-4.9,-0.7,-8.3,0.0,2,2,4.2
56,2016-02-26,-4.9,-0.4,-8.5,0.0,2,0,3.9
57,2016-02-27,-2.8,0.3,-6.5,0.5,6,6,3.7
58,2016-02-28,-2.3,2.4,-11.0,0.5,3,0,3.2
59,2016-02-29,3.3,7.5,-1.9,4.5,2,2,11.7
60,2016-03-01,-1.5,3.0,-4.2,0.0,1,1,8.0
61,2016-03-02,-3.0,1.5,-6.7,0.0,2,1,4.0
62,2016-03-03,-0.2,4.8,-4.7,1.5,5,5,3.6
63,2016-03-04,0.0,4.9,-6.0,0.0,0,0,2.6
64,2016-03-05,0.1,4.4,-7.7,0.0,0,0,3.7
65,2016-03-06,7.0,10.6,3.1,9.5,0,0,4.8
66,2016-03-07,5.7,10.3,2.5,1.5,0,0,4.5
67,2016-03-08,4.5,9.9,0.4,0.0,0,0,6.0
