Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,deepest_snowfall,total_snowfall
0,2016-01-01,-2.1,3.3,-8.4,0.0,6.6,1,1
1,2016-01-02,-0.3,9.6,-8.8,0.0,3.3,1,1
2,2016-01-03,1.9,11.9,-3.8,0.0,6.1,1,3
3,2016-01-04,3.0,11.3,-4.5,0.0,7.6,0,0
4,2016-01-05,3.9,9.9,-1.6,0.0,7.2,1,2
5,2016-01-06,-0.3,3.7,-3.2,0.0,1.4,1,4
6,2016-01-07,-0.6,4.4,-3.8,0.0,5.5,1,4
7,2016-01-08,-1.9,4.4,-7.8,0.0,6.5,1,3
8,2016-01-09,-1.5,4.6,-5.7,0.0,7.4,1,2
9,2016-01-10,-1.1,5.3,-8.2,0.0,4.9,1,3
10,2016-01-11,-1.6,3.3,-5.8,0.0,5.6,1,2
11,2016-01-12,-3.2,2.7,-7.3,0.0,4.6,1,2
12,2016-01-13,-4.3,2.0,-9.4,0.0,7.0,1,1
13,2016-01-14,-2.8,4.4,-9.1,0.0,4.5,1,2
14,2016-01-15,-2.7,3.6,-6.7,0.0,2.7,1,3
15,2016-01-16,-3.1,4.8,-9.6,0.0,5.2,1,2
16,2016-01-17,-3.2,2.9,-10.5,1.0,4.9,3,5
17,2016-01-18,-1.0,1.4,-3.0,48.0,0.0,43,40
18,2016-01-19,-4.4,0.5,-13.4,0.0,5.7,39,0
19,2016-01-20,-7.0,-2.1,-15.2,11.0,0.0,54,20
20,2016-01-21,-4.3,0.1,-9.5,0.0,5.3,53,2
21,2016-01-22,-5.7,-1.1,-10.6,0.0,1.9,43,1
22,2016-01-23,-6.0,-1.8,-10.3,0.0,4.5,42,0
23,2016-01-24,-7.7,-2.9,-14.4,1.5,3.4,43,8
24,2016-01-25,-7.8,-2.7,-14.9,2.0,2.5,45,3
25,2016-01-26,-8.3,1.1,-16.4,0.0,8.1,42,0
26,2016-01-27,-3.3,4.1,-13.3,0.0,5.1,39,0
27,2016-01-28,-1.1,6.5,-8.6,0.0,7.5,37,0
28,2016-01-29,-1.1,0.5,-3.5,11.0,0.0,45,12
29,2016-01-30,-2.2,1.6,-8.0,3.5,0.1,47,4
30,2016-01-31,-3.4,2.8,-8.9,0.0,5.9,44,3
31,2016-02-01,-3.2,1.4,-8.5,0.0,2.8,42,0
32,2016-02-02,-4.8,0.5,-10.3,0.0,5.7,42,0
33,2016-02-03,-5.3,0.3,-11.3,0.0,5.9,41,3
34,2016-02-04,-5.8,1.1,-13.2,0.0,7.4,40,0
35,2016-02-05,-1.3,4.9,-7.2,0.0,7.0,39,3
36,2016-02-06,-0.8,4.1,-5.0,0.0,4.8,37,2
37,2016-02-07,-5.7,-1.2,-13.4,0.0,8.5,33,1
38,2016-02-08,-6.6,-0.5,-15.7,0.0,3.8,34,3
39,2016-02-09,-3.6,3.5,-10.9,6.5,4.5,47,15
40,2016-02-10,-4.5,-2.4,-8.8,3.5,1.6,52,5
41,2016-02-11,-4.7,3.4,-10.5,0.0,8.5,48,0
42,2016-02-12,-2.6,5.2,-11.7,0.0,8.2,43,1
43,2016-02-13,2.0,12.4,-1.3,0.0,1.2,40,0
44,2016-02-14,2.5,6.9,0.8,5.0,0.4,36,2
45,2016-02-15,-1.5,4.0,-6.4,0.0,1.5,31,1
46,2016-02-16,-3.9,1.6,-9.2,0.0,6.7,30,1
47,2016-02-17,-4.8,1.8,-10.4,0.0,6.5,30,2
48,2016-02-18,-4.4,2.8,-12.3,0.0,8.9,31,2
49,2016-02-19,-0.7,8.2,-10.2,0.0,8.9,30,0
50,2016-02-20,1.3,6.0,-3.2,26.5,0.3,29,3
51,2016-02-21,1.4,4.9,-2.2,0.0,6.8,27,0
52,2016-02-22,-0.5,2.8,-4.2,0.0,7.9,25,0
53,2016-02-23,0.7,4.7,-3.3,0.0,4.9,23,0
54,2016-02-24,-2.4,0.8,-5.3,0.0,7.0,20,2
55,2016-02-25,-4.7,-0.1,-8.4,0.0,5.7,18,1
56,2016-02-26,-3.4,2.7,-8.8,0.0,7.2,17,2
57,2016-02-27,-1.3,4.2,-8.3,0.0,8.8,17,0
58,2016-02-28,1.0,6.1,-4.0,0.0,5.9,13,1
59,2016-02-29,0.6,7.6,-5.3,0.5,3.1,13,1
60,2016-03-01,-5.2,-2.1,-7.6,3.0,3.9,18,8
61,2016-03-02,-3.5,1.6,-10.0,0.0,1.6,14,0
62,2016-03-03,-0.4,6.8,-8.7,0.0,4.1,13,0
63,2016-03-04,0.7,6.6,-5.3,0.0,9.4,11,2
64,2016-03-05,1.1,7.7,-5.6,0.0,5.8,8,2
65,2016-03-06,4.2,9.7,0.9,0.0,3.2,4,1
66,2016-03-07,4.2,9.5,1.4,2.0,0.0,0,0
67,2016-03-08,6.7,16.1,-0.3,0.0,9.1,0,0
68,2016-03-09,1.4,4.2,-1.5,10.5,0.0,0,0
69,2016-03-10,-0.7,4.8,-3.9,0.0,4.1,0,0
70,2016-03-11,-2.2,1.3,-5.4,1.0,4.4,0,0
71,2016-03-12,-2.3,0.2,-4.3,0.0,0.2,0,0
72,2016-03-13,-1.3,0.4,-3.0,0.5,0.3,0,0
73,2016-03-14,-0.2,1.0,-1.3,5.5,0.0,0,0
74,2016-03-15,-0.9,3.5,-6.3,0.0,9.3,0,0
