,Unnamed: 0,calendar_date,precipitation
0,0,2016-01-01,0.0
1,1,2016-01-02,0.0
2,2,2016-01-03,0.0
3,3,2016-01-04,0.0
4,4,2016-01-05,0.0
5,5,2016-01-06,0.0
6,6,2016-01-07,0.0
7,7,2016-01-08,0.0
8,8,2016-01-09,0.0
9,9,2016-01-10,0.0
10,10,2016-01-11,0.0
11,11,2016-01-12,0.0
12,12,2016-01-13,0.0
13,13,2016-01-14,0.0
14,14,2016-01-15,0.0
15,15,2016-01-16,0.0
16,16,2016-01-17,3.0
17,17,2016-01-18,28.0
18,18,2016-01-19,2.0
19,19,2016-01-20,6.5
20,20,2016-01-21,0.0
21,21,2016-01-22,0.0
22,22,2016-01-23,3.5
23,23,2016-01-24,0.0
24,24,2016-01-25,0.0
25,25,2016-01-26,0.0
26,26,2016-01-27,0.0
27,27,2016-01-28,0.0
28,28,2016-01-29,35.0
29,29,2016-01-30,6.0
30,30,2016-01-31,0.0
31,31,2016-02-01,0.0
32,32,2016-02-02,0.0
33,33,2016-02-03,0.0
34,34,2016-02-04,0.0
35,35,2016-02-05,0.0
36,36,2016-02-06,0.0
37,37,2016-02-07,0.0
38,38,2016-02-08,0.0
39,39,2016-02-09,3.5
40,40,2016-02-10,0.0
41,41,2016-02-11,0.0
42,42,2016-02-12,0.0
43,43,2016-02-13,34.5
44,44,2016-02-14,41.0
45,45,2016-02-15,0.0
46,46,2016-02-16,0.0
47,47,2016-02-17,0.5
48,48,2016-02-18,0.0
49,49,2016-02-19,0.0
50,50,2016-02-20,43.5
51,51,2016-02-21,0.0
52,52,2016-02-22,0.0
53,53,2016-02-23,0.0
54,54,2016-02-24,0.0
55,55,2016-02-25,0.0
56,56,2016-02-26,0.0
57,57,2016-02-27,0.0
58,58,2016-02-28,0.0
59,59,2016-02-29,3.5
60,60,2016-03-01,0.5
61,61,2016-03-02,0.0
62,62,2016-03-03,0.0
63,63,2016-03-04,0.0
64,64,2016-03-05,0.0
65,65,2016-03-06,5.5
66,66,2016-03-07,14.5
67,67,2016-03-08,0.0
68,68,2016-03-09,26.0
69,69,2016-03-10,0.0
70,70,2016-03-11,0.0
71,71,2016-03-12,0.0
72,72,2016-03-13,1.0
73,73,2016-03-14,26.5
74,74,2016-03-15,0.0
75,75,2016-03-16,0.0
76,76,2016-03-17,0.0
77,77,2016-03-18,11.5
78,78,2016-03-19,42.5
79,79,2016-03-20,0.0
80,80,2016-03-21,0.0
81,81,2016-03-22,0.0
82,82,2016-03-23,0.0
83,83,2016-03-24,0.0
84,84,2016-03-25,0.0
85,85,2016-03-26,0.0
86,86,2016-03-27,0.0
87,87,2016-03-28,0.0
88,88,2016-03-29,0.0
89,89,2016-03-30,0.0
90,90,2016-03-31,0.0
91,91,2016-04-01,2.0
92,92,2016-04-02,0.0
93,93,2016-04-03,1.0
94,94,2016-04-04,34.0
95,95,2016-04-05,0.0
96,96,2016-04-06,0.0
97,97,2016-04-07,32.0
98,98,2016-04-08,0.0
99,99,2016-04-09,0.0
100,100,2016-04-10,0.0
101,101,2016-04-11,0.0
102,102,2016-04-12,0.0
103,103,2016-04-13,11.5
104,104,2016-04-14,13.5
105,105,2016-04-15,0.0
106,106,2016-04-16,0.0
107,107,2016-04-17,29.5
108,108,2016-04-18,0.0
109,109,2016-04-19,0.0
110,110,2016-04-20,0.0
111,111,2016-04-21,27.0
112,112,2016-04-22,0.5
113,113,2016-04-23,2.5
114,114,2016-04-24,1.5
115,115,2016-04-25,0.0
