,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure
0,2016-01-01,21.1,23.3,18.4,0.0,0.5,7.8,18.8,1021.5,75.0,1025.8
1,2016-01-02,21.5,24.7,20.2,58.5,0.2,4.6,23.6,1017.8,92.0,1022.1
2,2016-01-03,20.9,21.8,19.8,50.5,0.0,4.6,23.7,1016.0,96.0,1020.3
3,2016-01-04,22.5,25.1,20.0,16.0,2.5,3.8,25.2,1014.3,92.0,1018.5
4,2016-01-05,23.8,26.6,21.4,9.5,2.8,5.6,25.7,1012.6,87.0,1016.8
5,2016-01-06,,,,,,,,,,
6,2016-01-07,,,,,,,,,,
7,2016-01-08,18.6,20.4,17.1,42.5,0.1,11.6,18.7,1015.0,87.0,1019.3
8,2016-01-09,19.2,21.2,16.9,0.5,1.7,7.7,16.3,1017.3,73.0,1021.6
9,2016-01-10,21.1,25.5,18.3,27.5,3.3,4.3,19.8,1014.4,80.0,1018.7
10,2016-01-11,20.3,21.9,18.6,15.5,0.0,8.9,22.1,1010.5,93.0,1014.8
11,2016-01-12,19.1,21.6,16.9,4.0,0.5,10.7,18.0,1014.4,81.0,1018.7
12,2016-01-13,17.1,18.7,15.8,8.0,0.0,11.1,17.1,1015.5,88.0,1019.8
13,2016-01-14,17.2,19.1,15.3,2.5,0.0,9.8,16.2,1015.2,83.0,1019.5
14,2016-01-15,19.2,20.3,17.5,16.0,0.0,7.3,18.9,1011.0,85.0,1015.3
15,2016-01-16,20.3,22.4,18.5,5.0,0.3,7.6,19.4,1011.0,82.0,1015.2
16,2016-01-17,20.8,24.6,17.7,14.0,0.5,8.9,21.7,1005.0,88.0,1009.2
17,2016-01-18,17.7,19.9,16.8,0.0,3.3,10.4,13.5,1012.8,67.0,1017.1
18,2016-01-19,17.1,17.9,16.0,0.0,0.0,9.7,14.1,1017.8,72.0,1022.1
19,2016-01-20,17.5,19.7,15.5,8.0,0.0,8.8,17.2,1018.6,86.0,1022.9
20,2016-01-21,20.8,23.6,18.5,15.0,0.7,8.2,22.2,1011.7,90.0,1015.9
21,2016-01-22,19.1,22.4,17.2,4.5,0.6,7.2,19.5,1012.8,88.0,1017.1
22,2016-01-23,14.9,20.0,11.7,13.0,0.0,16.6,14.9,1018.3,86.0,1022.7
23,2016-01-24,9.4,12.2,8.0,0.5,0.0,15.8,8.5,1026.8,73.0,1031.3
24,2016-01-25,10.7,12.7,8.0,0.0,0.0,10.6,8.5,1027.4,66.0,1031.9
25,2016-01-26,15.6,19.3,12.2,,6.4,5.2,10.8,1024.6,60.0,1028.9
26,2016-01-27,20.3,22.5,15.8,,0.1,7.6,15.9,1021.1,67.0,1025.4
27,2016-01-28,22.7,25.3,21.2,2.5,0.4,7.5,22.0,1016.5,80.0,1020.7
28,2016-01-29,22.1,25.7,19.0,34.0,0.6,8.7,22.9,1012.9,86.0,1017.2
29,2016-01-30,19.6,21.2,18.4,15.0,0.0,9.7,20.1,1015.5,88.0,1019.8
30,2016-01-31,19.2,22.4,17.7,0.5,1.5,7.9,17.5,1018.1,79.0,1022.4
31,2016-02-01,17.3,20.7,14.5,6.0,0.0,12.0,18.0,1017.1,91.0,1021.5
32,2016-02-02,15.2,16.3,14.3,1.5,0.0,11.3,14.7,1018.7,85.0,1023.1
33,2016-02-03,17.2,18.5,15.3,2.5,0.0,9.8,16.2,1018.0,83.0,1022.3
34,2016-02-04,19.1,21.8,17.7,21.0,0.2,6.4,20.1,1015.7,91.0,1020.0
35,2016-02-05,17.8,19.5,15.8,15.5,0.8,13.6,16.8,1013.5,82.0,1017.8
36,2016-02-06,14.9,16.6,13.2,0.5,0.0,13.1,11.2,1017.2,66.0,1021.6
37,2016-02-07,13.6,16.1,12.5,,5.1,9.5,8.6,1020.4,55.0,1024.8
38,2016-02-08,15.2,19.5,9.9,,9.8,4.3,7.9,1020.0,47.0,1024.4
39,2016-02-09,16.1,21.4,10.1,,10.3,2.8,11.7,1018.6,64.0,1022.9
40,2016-02-10,20.6,24.0,16.4,,5.2,5.9,15.3,1016.4,63.0,1020.6
41,2016-02-11,23.0,24.2,21.6,,1.3,8.9,,1013.0,,1017.2
42,2016-02-12,22.0,24.0,19.5,255.0,0.0,7.5,,1010.7,,1014.9
43,2016-02-13,24.3,26.3,22.2,,9.3,7.3,,1009.2,,1013.3
