Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure
0,2016-01-01,18.7,21.1,16.8,8.7,3.9,12.5,1027.3,58,1028.1
1,2016-01-02,21.8,24.7,17.8,7.4,4.2,17.9,1022.7,69,1023.4
2,2016-01-03,21.1,23.4,19.7,0.0,2.6,22.8,1019.6,92,1020.3
3,2016-01-04,20.2,21.2,19.1,0.0,2.9,21.3,1019.3,90,1020.0
4,2016-01-05,22.7,25.8,19.7,1.6,3.7,24.4,1017.0,88,1017.7
5,2016-01-06,19.7,23.2,18.1,1.4,2.9,20.3,1017.3,89,1018.0
6,2016-01-07,19.3,21.2,18.0,2.2,5.5,14.2,1020.9,63,1021.6
7,2016-01-08,17.3,18.7,14.9,0.0,4.6,14.1,1020.1,72,1020.8
8,2016-01-09,17.4,20.0,16.4,2.8,4.0,12.3,1021.8,62,1022.6
9,2016-01-10,18.3,21.3,13.6,1.8,2.4,14.5,1020.4,70,1021.2
10,2016-01-11,19.5,20.9,17.7,0.0,4.9,19.2,1014.0,85,1014.7
11,2016-01-12,18.3,20.1,15.9,2.0,6.6,14.2,1018.1,67,1018.8
12,2016-01-13,15.8,16.7,14.2,0.0,5.2,12.1,1020.3,67,1021.1
13,2016-01-14,15.8,16.7,14.5,0.0,4.6,12.0,1019.4,67,1020.2
14,2016-01-15,17.0,19.2,13.4,0.2,2.5,13.9,1016.2,72,1016.9
15,2016-01-16,18.4,22.0,15.6,5.2,2.7,15.6,1016.3,74,1017.0
16,2016-01-17,20.3,22.0,18.3,0.1,6.2,18.6,1008.0,78,1008.7
17,2016-01-18,17.0,19.0,15.6,4.6,6.6,11.6,1015.0,60,1015.7
18,2016-01-19,14.7,17.0,13.8,1.8,5.0,9.5,1022.8,57,1023.6
19,2016-01-20,14.7,16.0,13.3,0.0,3.7,10.5,1024.5,62,1025.3
20,2016-01-21,17.4,20.0,15.4,0.0,5.8,17.4,1016.2,87,1017.0
21,2016-01-22,16.8,17.9,15.6,0.0,6.2,16.4,1016.9,86,1017.6
22,2016-01-23,14.4,16.7,11.1,0.0,8.8,13.5,1019.7,81,1020.5
23,2016-01-24,7.7,11.2,5.2,0.0,8.9,7.1,1027.9,67,1028.7
24,2016-01-25,9.5,12.4,5.9,0.5,5.8,7.3,1029.9,62,1030.7
25,2016-01-26,12.7,15.6,9.0,2.7,2.6,8.3,1029.6,56,1030.4
26,2016-01-27,17.3,20.0,13.5,2.2,4.0,12.7,1028.1,64,1028.8
27,2016-01-28,21.2,22.3,19.4,0.0,6.7,17.9,1022.8,71,1023.5
28,2016-01-29,22.5,26.0,18.2,2.6,5.8,21.6,1017.7,80,1018.4
29,2016-01-30,18.8,20.1,17.6,0.0,3.4,18.7,1019.2,86,1019.9
30,2016-01-31,19.4,22.0,17.6,4.8,3.6,14.4,1022.1,64,1022.8
31,2016-02-01,16.6,19.7,14.2,0.0,6.7,16.1,1020.0,85,1020.8
32,2016-02-02,14.4,15.5,13.3,0.0,6.4,12.7,1021.7,77,1022.5
33,2016-02-03,15.5,16.6,13.1,0.0,3.5,12.4,1022.9,71,1023.7
34,2016-02-04,17.5,20.0,15.7,1.2,3.2,13.9,1021.2,70,1022.0
35,2016-02-05,16.4,17.4,15.5,0.0,5.1,16.3,1016.9,87,1017.7
36,2016-02-06,14.2,16.9,11.7,0.0,7.5,11.3,1018.6,69,1019.4
37,2016-02-07,12.4,15.6,9.7,2.6,5.3,8.2,1022.1,57,1022.9
38,2016-02-08,12.4,16.4,8.0,4.5,4.4,7.0,1023.4,50,1024.2
39,2016-02-09,13.3,19.5,7.0,10.4,1.7,9.7,1023.2,66,1023.9
40,2016-02-10,18.5,22.2,13.6,7.2,4.7,12.5,1022.5,58,1023.2
41,2016-02-11,20.3,22.1,18.7,3.6,7.8,15.5,1021.0,65,1021.7
42,2016-02-12,22.1,24.1,20.7,0.1,9.0,20.7,1017.1,78,1017.8
43,2016-02-13,23.8,26.7,22.5,6.1,6.3,24.3,1014.3,82,1015.0
44,2016-02-14,18.3,23.1,13.2,0.0,6.5,18.3,1015.0,86,1015.8
45,2016-02-15,12.0,13.7,10.9,0.1,7.1,9.9,1021.8,70,1022.6
46,2016-02-16,11.7,14.5,9.7,1.4,4.1,8.0,1024.5,58,1025.3
47,2016-02-17,13.8,16.6,10.1,6.3,3.3,8.5,1024.7,54,1025.5
48,2016-02-18,15.8,19.4,11.9,0.6,2.3,10.9,1023.8,61,1024.6
49,2016-02-19,19.9,22.0,17.4,0.0,6.6,17.2,1020.3,74,1021.0
50,2016-02-20,17.7,20.8,14.3,0.6,6.3,15.6,1018.6,75,1019.3
51,2016-02-21,15.9,18.6,14.2,4.2,5.3,10.5,1026.0,58,1026.8
52,2016-02-22,18.5,21.4,15.4,1.7,5.5,15.4,1023.0,71,1023.8
53,2016-02-23,19.8,22.0,16.9,0.6,5.5,18.6,1019.9,80,1020.6
54,2016-02-24,16.1,18.1,14.6,0.0,7.4,12.7,1026.4,69,1027.2
55,2016-02-25,15.2,16.4,14.8,0.8,5.6,10.4,1030.1,60,1030.9
56,2016-02-26,16.4,19.7,14.4,2.7,4.0,10.7,1027.9,58,1028.7
57,2016-02-27,16.9,18.3,15.8,0.0,4.7,16.7,1021.8,87,1022.6
58,2016-02-28,19.6,23.0,17.6,7.1,2.8,17.7,1020.7,78,1021.4
59,2016-02-29,16.1,19.2,12.6,5.7,6.7,11.1,1024.9,60,1025.6
60,2016-03-01,13.6,17.3,11.9,2.7,4.1,8.3,1026.3,53,1027.1
61,2016-03-02,14.8,19.2,10.8,6.9,2.0,10.6,1025.4,64,1026.2
62,2016-03-03,17.8,22.5,11.7,8.1,3.2,13.7,1023.8,68,1024.5
63,2016-03-04,20.9,23.8,17.9,3.0,5.6,18.0,1021.6,73,1022.3
64,2016-03-05,21.4,23.3,20.0,0.8,6.8,22.5,1018.3,88,1019.0
65,2016-03-06,20.5,22.0,18.1,0.0,3.2,22.7,1014.9,94,1015.6
66,2016-03-07,20.9,25.1,17.7,9.7,1.8,20.6,1015.1,84,1015.8
67,2016-03-08,21.3,24.7,17.4,4.3,4.2,20.6,1014.6,82,1015.3
68,2016-03-09,20.1,22.9,17.4,0.0,5.7,19.4,1013.0,82,1013.7
69,2016-03-10,15.9,17.8,14.1,0.0,6.7,16.0,1016.9,88,1017.7
70,2016-03-11,14.5,15.2,13.8,0.0,5.5,11.7,1020.6,71,1021.4
71,2016-03-12,16.2,18.8,13.8,5.9,3.3,11.4,1020.9,61,1021.7
72,2016-03-13,20.9,23.6,17.6,4.1,7.1,19.4,1015.4,78,1016.1
73,2016-03-14,17.7,22.0,15.0,1.8,7.4,14.6,1013.8,71,1014.5
74,2016-03-15,17.2,20.2,15.1,3.1,4.3,11.6,1018.3,59,1019.0
75,2016-03-16,18.8,19.9,17.9,0.0,4.1,17.6,1016.0,81,1016.7
76,2016-03-17,21.3,24.4,17.8,0.8,2.9,21.0,1015.9,83,1016.6
77,2016-03-18,22.5,24.3,21.6,0.2,6.3,23.0,1013.2,85,1013.9
78,2016-03-19,21.6,23.3,19.5,0.2,4.6,22.2,1012.4,86,1013.1
79,2016-03-20,20.2,23.0,18.7,5.0,3.6,16.0,1015.8,68,1016.5
80,2016-03-21,20.3,23.1,18.9,8.1,3.7,14.8,1016.7,63,1017.4
81,2016-03-22,20.8,24.0,18.6,6.8,4.3,16.6,1015.7,68,1016.4
82,2016-03-23,21.5,25.4,18.6,0.5,5.1,21.5,1012.6,84,1013.3
83,2016-03-24,17.0,18.6,15.8,0.0,7.1,13.8,1016.9,71,1017.6
84,2016-03-25,16.3,17.8,14.7,0.1,4.3,14.0,1018.5,75,1019.3
85,2016-03-26,16.0,19.0,14.7,5.3,5.2,11.7,1019.9,65,1020.7
86,2016-03-27,15.0,17.4,12.9,2.5,4.3,10.1,1022.4,60,1023.2
87,2016-03-28,16.1,19.8,12.4,9.4,3.4,8.5,1024.9,47,1025.7
88,2016-03-29,16.6,21.4,10.0,7.0,2.6,11.1,1024.4,60,1025.1
89,2016-03-30,20.0,22.8,16.7,0.9,2.6,15.1,1020.7,65,1021.4
90,2016-03-31,21.7,25.3,19.4,3.0,4.9,20.2,1014.9,78,1015.6
91,2016-04-01,19.2,22.0,15.7,10.6,3.0,16.0,1014.9,73,1015.6
92,2016-04-02,19.8,24.4,14.9,8.9,2.4,16.2,1017.0,71,1017.7
93,2016-04-03,21.3,24.8,16.4,5.3,3.7,21.2,1015.1,83,1015.8
