,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure
0,2016-01-01,9.1,11.6,6.4,,9.6,5.1,6.3,1006.3,54.0,1029.2
1,2016-01-02,11.3,13.6,8.8,0.0,6.0,7.0,8.6,1002.6,64.0,1025.2
2,2016-01-03,12.6,15.3,9.9,2.0,3.9,3.2,11.8,997.0,81.0,1019.3
3,2016-01-04,13.9,16.3,12.2,,8.8,4.4,11.6,995.7,73.0,1018.0
4,2016-01-05,12.1,13.8,9.8,1.5,0.0,4.4,8.5,997.9,61.0,1020.3
5,2016-01-06,10.8,12.4,8.8,5.5,0.0,2.4,11.0,996.2,85.0,1018.7
6,2016-01-07,9.9,12.3,7.8,,7.0,6.8,7.2,994.3,59.0,1016.8
7,2016-01-08,8.6,10.9,5.9,,4.7,9.3,6.5,994.4,58.0,1017.0
8,2016-01-09,7.3,9.7,5.0,,9.7,6.7,5.4,998.4,53.0,1021.3
9,2016-01-10,8.5,11.2,6.0,,7.9,6.0,6.1,999.3,54.0,1022.0
10,2016-01-11,10.4,12.0,8.9,,0.5,3.5,7.5,996.7,60.0,1019.2
11,2016-01-12,8.6,11.0,6.6,3.5,4.3,6.0,7.2,991.9,64.0,1014.5
12,2016-01-13,7.4,10.0,5.5,0.0,5.6,8.2,6.1,992.6,59.0,1015.3
13,2016-01-14,6.6,10.0,4.6,,6.3,8.0,5.0,994.8,51.0,1017.6
14,2016-01-15,6.8,9.7,4.4,,6.6,5.7,5.2,996.2,53.0,1019.0
15,2016-01-16,8.6,12.1,6.0,,9.0,4.0,6.6,997.9,59.0,1020.6
16,2016-01-17,9.5,12.2,7.2,47.0,3.0,10.2,9.5,992.8,79.0,1015.3
17,2016-01-18,10.6,13.5,4.6,19.0,8.1,15.4,9.6,977.5,73.0,999.6
18,2016-01-19,3.5,5.4,1.3,2.0,1.5,16.5,5.2,987.5,66.0,1010.5
19,2016-01-20,3.9,7.4,1.2,,9.6,11.2,4.7,996.3,57.0,1019.4
20,2016-01-21,6.2,9.0,3.5,0.0,4.8,4.9,5.6,998.2,58.0,1021.1
21,2016-01-22,7.3,11.3,5.3,0.0,5.1,7.4,6.2,998.0,61.0,1020.8
22,2016-01-23,5.4,6.9,3.2,6.5,0.0,5.9,7.0,995.3,78.0,1018.2
23,2016-01-24,0.2,3.2,-3.0,0.0,3.2,12.0,3.4,991.1,55.0,1014.4
24,2016-01-25,2.0,5.2,-2.7,0.0,7.5,7.5,4.0,1000.3,57.0,1023.6
25,2016-01-26,5.3,8.2,2.2,,2.1,8.7,5.0,1002.4,55.0,1025.5
26,2016-01-27,8.1,10.8,5.6,,5.6,6.6,6.2,1005.5,58.0,1028.4
27,2016-01-28,10.2,12.9,7.6,0.0,1.3,4.6,9.1,1005.3,72.0,1028.0
28,2016-01-29,14.1,18.3,10.4,43.5,0.0,9.5,16.2,994.7,100.0,1016.9
