,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
0,2016-01-01,4.7,12.0,-1.4,,9.3,12.1,,,1.4,6.7,1026.8,81.0,1031.8,0.5
1,2016-01-02,9.6,15.1,4.0,0.0,0.5,5.11,,,1.0,9.3,1020.7,78.0,1025.5,10.0
2,2016-01-03,11.8,15.2,8.3,,0.0,4.14,,,1.0,11.8,1014.9,86.0,1019.7,8.0
3,2016-01-04,11.0,17.6,5.4,,8.6,10.97,,,1.4,10.3,1016.2,81.0,1021.0,5.5
4,2016-01-05,9.4,12.2,7.2,11.0,0.0,1.36,,,1.4,10.0,1017.4,85.0,1022.2,10.0
5,2016-01-06,8.3,10.4,6.0,0.5,0.0,2.19,,,1.0,10.1,1015.6,93.0,1020.4,10.0
6,2016-01-07,7.9,11.6,4.9,0.0,3.8,8.61,,,1.8,7.6,1016.7,74.0,1021.6,7.3
7,2016-01-08,6.7,7.6,5.7,0.0,0.0,2.0,,,1.3,6.9,1016.5,71.0,1021.4,10.0
8,2016-01-09,5.8,9.8,1.5,,3.4,7.56,,,1.3,6.1,1019.6,67.0,1024.5,7.5
9,2016-01-10,6.0,11.4,2.4,,5.4,9.14,,,1.3,6.7,1020.0,73.0,1024.9,6.0
10,2016-01-11,7.0,10.4,3.4,0.0,0.2,4.59,,,1.4,7.0,1016.4,71.0,1021.2,10.0
11,2016-01-12,6.2,9.1,3.7,0.0,0.1,4.0,,,1.4,7.0,1014.0,73.0,1018.9,9.0
12,2016-01-13,4.5,7.3,1.9,0.0,0.1,2.8,,,1.4,6.1,1015.1,73.0,1020.0,10.0
13,2016-01-14,5.5,10.0,0.8,0.0,2.9,7.19,,,1.6,5.7,1016.3,64.0,1021.2,7.3
14,2016-01-15,3.7,9.3,-1.0,,2.0,7.41,,,1.5,5.0,1016.4,66.0,1021.4,5.3
15,2016-01-16,5.7,14.1,-1.3,,9.6,12.94,,,1.5,5.3,1016.6,61.0,1021.5,2.8
16,2016-01-17,6.5,10.0,2.1,12.0,0.0,1.71,,,1.9,8.5,1007.8,86.0,1012.6,10.0
17,2016-01-18,7.2,11.4,1.8,2.0,2.0,5.05,,,4.0,7.5,1004.6,72.0,1009.4,9.0
18,2016-01-19,2.7,5.1,1.3,0.0,3.5,8.94,,,4.7,4.5,1014.0,60.0,1018.9,8.5
19,2016-01-20,2.6,6.4,-0.4,0.0,6.0,10.67,,,2.2,4.1,1021.0,56.0,1025.9,6.5
20,2016-01-21,1.5,5.0,-2.5,0.0,0.0,3.84,,,1.2,5.2,1019.6,77.0,1024.6,8.0
21,2016-01-22,4.7,9.3,-0.2,,5.2,10.33,,,1.8,6.6,1019.2,78.0,1024.1,8.0
22,2016-01-23,3.5,7.0,0.0,0.0,2.0,4.28,,,2.4,6.2,1017.8,79.0,1022.7,8.5
23,2016-01-24,-3.0,0.1,-5.5,1.5,0.1,4.12,4.0,4.0,3.2,3.7,1016.8,76.0,1021.8,10.0
24,2016-01-25,-1.1,2.7,-6.5,0.0,2.8,7.26,1.0,,0.9,4.6,1023.1,81.0,1028.1,7.3
25,2016-01-26,3.7,8.2,0.1,0.0,0.8,5.94,,,1.3,6.5,1023.3,82.0,1028.3,9.3
26,2016-01-27,6.0,10.6,0.9,,2.6,6.5,,,1.1,7.1,1025.5,77.0,1030.5,7.5
27,2016-01-28,8.2,10.1,5.9,2.5,0.0,1.86,,,1.0,9.7,1021.7,89.0,1026.5,10.0
28,2016-01-29,11.6,13.7,9.2,40.5,0.0,1.37,,,1.2,13.7,1012.4,100.0,1017.1,10.0
29,2016-01-30,11.1,14.9,7.7,0.5,3.6,9.08,,,1.8,10.7,1014.3,82.0,1019.1,8.0
30,2016-01-31,8.8,14.2,3.9,,8.3,13.63,,,1.6,8.1,1020.0,73.0,1024.9,3.5
31,2016-02-01,6.5,8.7,5.0,0.0,0.0,2.8,,,1.6,7.3,1018.7,75.0,1023.6,10.0
32,2016-02-02,5.2,9.3,1.3,0.0,3.2,9.98,,,1.6,5.9,1018.4,67.0,1023.4,9.0
33,2016-02-03,6.1,9.9,2.9,0.0,2.4,8.24,,,1.1,6.4,1020.2,69.0,1025.1,6.8
34,2016-02-04,5.8,11.0,1.3,,7.2,12.44,,,1.3,6.1,1020.0,68.0,1024.9,9.5
35,2016-02-05,5.6,11.2,1.3,,6.5,11.78,,,1.5,6.1,1016.3,69.0,1021.2,5.0
36,2016-02-06,4.6,9.2,1.3,0.0,4.6,10.74,,,2.1,5.3,1014.9,64.0,1019.8,8.8
37,2016-02-07,4.1,9.7,-0.7,0.0,6.7,11.51,,,1.4,5.2,1015.7,65.0,1020.6,2.8
38,2016-02-08,5.2,10.6,-0.6,,6.5,13.36,,,2.0,5.6,1015.7,65.0,1020.6,6.0
39,2016-02-09,8.4,13.1,2.8,0.0,9.4,15.68,,,2.9,5.1,1016.6,50.0,1021.5,1.8
40,2016-02-10,6.6,14.2,-0.7,,10.3,16.73,,,1.8,5.5,1021.0,59.0,1025.9,1.3
41,2016-02-11,9.1,17.7,1.1,,7.4,14.44,,,1.3,6.0,1022.4,57.0,1027.3,4.5
42,2016-02-12,12.9,20.0,8.3,0.5,0.7,5.14,,,1.3,10.6,1018.0,71.0,1022.7,9.8
43,2016-02-13,16.4,21.0,12.6,24.5,0.5,5.37,,,2.0,17.3,1008.0,92.0,1012.7,10.0
44,2016-02-14,10.7,17.8,5.5,0.5,0.0,1.47,,,5.0,10.6,1007.4,79.0,1012.1,9.5
45,2016-02-15,3.7,5.5,1.1,0.0,2.0,8.65,,,3.7,4.4,1013.6,56.0,1018.5,8.8
46,2016-02-16,3.9,7.2,0.8,0.0,2.1,8.5,,,1.9,5.7,1016.3,71.0,1021.2,9.5
47,2016-02-17,6.0,10.9,2.8,1.0,5.0,12.94,,,2.0,6.0,1019.0,66.0,1023.9,8.0
48,2016-02-18,6.1,12.4,-0.5,0.0,10.2,17.37,,,1.7,6.1,1021.3,68.0,1026.2,5.8
