Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight
0,2016-01-01,-0.7,2.9,-4.6,0.9
1,2016-01-02,1.4,4.3,-1.9,0.2
2,2016-01-03,1.7,3.4,0.6,0.0
3,2016-01-04,0.9,2.4,0.0,0.4
4,2016-01-05,-0.5,1.8,-4.9,0.0
5,2016-01-06,-1.2,0.3,-3.8,0.0
6,2016-01-07,-0.4,1.4,-2.1,0.6
7,2016-01-08,-1.2,0.9,-4.4,0.0
8,2016-01-09,-1.3,1.6,-5.2,2.0
9,2016-01-10,-0.6,1.7,-1.9,0.3
10,2016-01-11,-3.0,-1.4,-5.4,0.0
11,2016-01-12,-3.3,-2.0,-4.9,0.0
12,2016-01-13,-2.0,0.5,-3.6,0.8
13,2016-01-14,-1.5,1.2,-3.5,0.7
14,2016-01-15,-3.6,-0.9,-6.8,0.0
15,2016-01-16,-3.0,-0.2,-5.8,0.1
16,2016-01-17,-2.5,0.9,-5.1,2.0
17,2016-01-18,0.5,3.3,-6.0,0.0
18,2016-01-19,0.4,3.0,-0.8,0.1
19,2016-01-20,-0.2,2.4,-2.9,4.2
20,2016-01-21,-0.4,2.4,-2.9,5.1
21,2016-01-22,-2.4,-0.2,-5.1,1.5
22,2016-01-23,-2.9,0.0,-6.6,0.2
23,2016-01-24,-3.8,0.8,-11.0,4.7
24,2016-01-25,-1.8,-0.4,-3.4,4.2
25,2016-01-26,-0.4,2.5,-3.1,0.0
26,2016-01-27,0.9,2.5,-2.1,0.7
27,2016-01-28,0.0,2.1,-3.9,0.8
28,2016-01-29,-2.7,0.7,-7.0,0.6
29,2016-01-30,-1.5,0.6,-3.2,3.0
30,2016-01-31,-1.8,0.8,-3.0,1.7
31,2016-02-01,-3.0,-1.2,-5.0,1.8
32,2016-02-02,-3.1,-1.4,-4.6,0.1
33,2016-02-03,-1.8,0.6,-3.7,2.6
34,2016-02-04,-0.2,2.7,-3.1,3.0
35,2016-02-05,0.8,3.2,-0.9,0.7
36,2016-02-06,-2.1,1.1,-7.1,1.7
37,2016-02-07,-3.8,-0.2,-7.7,7.6
38,2016-02-08,-1.1,2.8,-4.7,3.6
39,2016-02-09,-0.4,2.8,-3.9,1.1
40,2016-02-10,-1.4,0.3,-3.4,1.0
41,2016-02-11,-1.8,3.3,-6.3,7.3
42,2016-02-12,-3.4,3.3,-11.1,6.3
