Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure
0,2016-01-01,7.9,13.1,3.8,2.6,5.6,1026.2,55,1028.3
1,2016-01-02,7.8,14.7,2.3,2.1,7.1,1023.1,68,1025.3
2,2016-01-03,10.0,15.2,7.1,1.7,10.1,1017.3,83,1019.4
3,2016-01-04,10.2,17.0,5.0,2.1,9.1,1015.3,74,1017.3
4,2016-01-05,10.3,15.9,5.3,1.5,7.8,1017.6,63,1019.7
5,2016-01-06,11.4,14.9,9.0,1.4,9.0,1015.8,67,1017.9
6,2016-01-07,10.1,15.3,5.2,3.1,5.6,1013.3,47,1015.4
7,2016-01-08,7.6,13.7,3.1,1.8,5.9,1014.2,57,1016.3
8,2016-01-09,7.1,12.6,2.2,2.6,5.0,1017.8,51,1019.9
9,2016-01-10,7.1,13.4,1.7,1.9,5.4,1019.0,55,1021.1
10,2016-01-11,7.7,12.6,3.0,1.7,6.1,1017.0,59,1019.1
11,2016-01-12,8.1,12.7,2.4,1.7,6.0,1011.8,57,1013.9
12,2016-01-13,6.5,12.8,1.2,2.6,4.8,1012.6,51,1014.7
13,2016-01-14,7.0,12.5,1.6,3.5,4.0,1014.3,40,1016.4
14,2016-01-15,6.0,11.5,1.2,2.1,4.4,1016.3,48,1018.4
15,2016-01-16,5.7,12.7,0.7,2.2,4.9,1018.5,55,1020.7
16,2016-01-17,6.8,11.8,1.0,2.0,5.7,1017.1,59,1019.2
17,2016-01-18,10.6,15.4,6.3,4.9,8.4,997.2,66,999.2
18,2016-01-19,4.5,8.2,1.1,5.0,3.5,1006.2,42,1008.3
19,2016-01-20,5.5,9.5,1.3,6.1,4.2,1013.7,46,1015.8
20,2016-01-21,5.9,10.8,1.1,1.7,5.0,1018.3,55,1020.4
21,2016-01-22,6.2,12.0,2.0,2.1,4.9,1018.8,53,1020.9
22,2016-01-23,4.4,9.2,0.6,1.6,5.8,1015.9,69,1018.0
23,2016-01-24,1.0,5.2,-1.9,5.1,2.3,1010.8,35,1012.9
24,2016-01-25,2.6,7.8,-1.8,4.1,2.9,1019.4,40,1021.5
25,2016-01-26,3.5,9.9,-1.9,2.1,4.1,1022.9,53,1025.1
26,2016-01-27,6.2,12.7,0.1,2.2,4.9,1025.4,53,1027.5
27,2016-01-28,8.5,14.6,2.1,2.2,6.6,1026.0,59,1028.1
28,2016-01-29,9.5,11.0,8.2,1.0,11.1,1017.5,93,1019.6
29,2016-01-30,10.0,12.5,7.1,1.3,10.7,1014.9,87,1017.0
30,2016-01-31,7.3,13.3,3.0,2.1,7.4,1019.9,74,1022.0
31,2016-02-01,7.8,11.7,3.9,1.6,6.7,1017.2,64,1019.3
32,2016-02-02,7.0,13.3,2.0,1.9,5.8,1016.0,60,1018.1
33,2016-02-03,4.6,11.8,-0.8,2.0,4.2,1019.7,53,1021.9
34,2016-02-04,5.8,12.2,-0.5,2.2,5.6,1019.3,60,1021.5
35,2016-02-05,7.1,13.4,1.7,2.2,5.7,1015.5,58,1017.6
36,2016-02-06,6.1,11.4,1.9,2.0,4.4,1011.8,50,1013.9
37,2016-02-07,5.4,12.4,0.2,2.5,3.7,1014.2,44,1016.4
38,2016-02-08,4.8,11.1,-0.3,2.2,5.0,1016.1,58,1018.2
39,2016-02-09,7.2,14.0,1.4,4.5,4.6,1012.4,48,1014.5
40,2016-02-10,6.8,12.4,1.8,2.8,3.8,1021.4,40,1023.5
41,2016-02-11,6.2,12.7,0.3,2.6,5.0,1027.5,54,1029.6
42,2016-02-12,9.2,11.4,4.6,1.0,10.4,1027.8,88,1029.9
