Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,avg_wind_speed,avg_local_pressure,avg_sea_pressure
0,2016-01-01,2.3,3.6,0.6,5.1,1015.9,1024.5
1,2016-01-02,5.2,6.7,3.1,4.9,1008.6,1017.0
2,2016-01-03,4.8,6.8,2.0,3.5,1007.7,1016.1
3,2016-01-04,1.9,4.0,0.2,4.1,1006.0,1014.5
4,2016-01-05,0.6,1.7,-0.8,6.8,1009.8,1018.3
5,2016-01-06,1.1,2.7,-0.7,4.3,1009.1,1017.6
6,2016-01-07,0.4,2.2,-1.1,5.4,1004.6,1013.1
7,2016-01-08,1.2,2.6,-0.3,5.1,1004.7,1013.2
8,2016-01-09,0.3,1.3,-1.5,5.1,1008.9,1017.5
9,2016-01-10,-0.2,2.2,-2.8,6.2,1007.5,1016.1
10,2016-01-11,-2.9,-1.5,-4.3,6.5,1010.3,1019.0
11,2016-01-12,-2.5,-1.1,-4.0,5.3,1007.2,1015.8
12,2016-01-13,-1.3,1.6,-3.3,3.1,1002.8,1011.4
13,2016-01-14,-1.2,1.7,-2.7,5.5,1004.8,1013.4
14,2016-01-15,-1.0,0.1,-2.2,4.4,1009.5,1018.1
15,2016-01-16,-1.2,0.0,-3.1,5.9,1011.7,1020.3
16,2016-01-17,-1.8,0.3,-3.9,3.4,1014.6,1023.3
17,2016-01-18,0.6,2.4,-4.0,3.3,996.3,1004.8
18,2016-01-19,0.9,3.3,-1.0,2.8,987.8,996.1
19,2016-01-20,1.3,3.8,-0.5,6.6,998.6,1007.1
20,2016-01-21,0.1,1.8,-3.0,6.5,1008.1,1016.7
21,2016-01-22,-1.9,-0.6,-3.1,5.0,1010.9,1019.6
22,2016-01-23,-1.7,-0.6,-3.1,4.1,1008.6,1017.2
23,2016-01-24,-0.6,1.7,-2.7,3.6,994.6,1003.1
24,2016-01-25,-1.3,0.5,-2.5,6.5,1005.4,1014.0
25,2016-01-26,1.8,4.3,-0.6,3.9,1011.1,1019.6
26,2016-01-27,1.8,3.7,0.0,4.7,1013.7,1022.2
27,2016-01-28,0.8,2.8,-1.0,4.7,1018.2,1026.9
28,2016-01-29,-0.5,0.4,-1.1,5.4,1019.3,1028.0
29,2016-01-30,-0.7,2.1,-1.7,3.2,1014.2,1022.9
30,2016-01-31,-2.1,-0.9,-3.5,4.7,1013.1,1021.8
31,2016-02-01,-3.2,-1.8,-4.3,4.2,1013.3,1022.0
32,2016-02-02,-2.5,-1.4,-3.5,4.8,1010.1,1018.8
33,2016-02-03,-0.8,1.1,-2.6,3.8,1013.9,1022.6
34,2016-02-04,0.7,3.4,-2.0,3.2,1008.8,1017.3
35,2016-02-05,0.5,2.7,-1.1,5.1,1007.6,1016.2
36,2016-02-06,-1.9,0.0,-4.5,4.0,1007.5,1016.1
37,2016-02-07,-2.0,1.3,-4.5,6.0,1008.9,1017.5
38,2016-02-08,1.8,4.5,-0.6,3.1,1007.9,1016.4
