,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity
0,2016-01-01,0.7,7.1,-4.8,,9.3,,,2.1,3.2,923.0,54.0
1,2016-01-02,0.3,9.6,-6.5,,7.8,,,1.8,4.0,920.4,66.0
2,2016-01-03,3.2,15.5,-4.0,,7.6,,,1.3,4.5,916.6,65.0
3,2016-01-04,4.5,17.3,-4.1,,9.3,,,1.7,4.2,913.8,57.0
4,2016-01-05,4.0,12.9,-3.5,,7.6,,,1.6,4.5,915.8,59.0
5,2016-01-06,3.3,7.4,-0.6,,0.7,,,1.8,6.1,915.4,79.0
6,2016-01-07,2.9,9.5,-1.4,,7.2,,,1.7,5.2,911.2,73.0
7,2016-01-08,1.4,8.6,-4.0,,7.4,,,1.6,4.1,911.7,63.0
8,2016-01-09,0.6,8.7,-5.9,,9.2,,,1.6,4.3,915.2,69.0
9,2016-01-10,1.8,8.8,-4.5,,9.4,,,1.9,3.5,915.2,53.0
10,2016-01-11,0.7,7.4,-5.2,,4.1,,,1.6,4.7,915.0,72.0
11,2016-01-12,-1.0,0.4,-5.3,0.0,0.0,,,1.8,5.3,912.0,94.0
12,2016-01-13,-2.6,5.4,-8.5,,9.0,,,1.5,3.6,910.9,73.0
13,2016-01-14,-0.7,7.3,-7.0,,9.3,,,1.7,2.9,910.6,55.0
14,2016-01-15,-0.7,6.6,-7.9,0.0,7.0,,,1.9,3.8,913.6,68.0
15,2016-01-16,1.1,8.0,-3.7,,8.9,,,1.6,4.4,916.2,70.0
16,2016-01-17,-0.4,5.2,-5.9,7.5,4.2,6.0,6.0,1.7,4.6,918.5,78.0
17,2016-01-18,0.5,5.5,-1.8,55.0,2.0,40.0,34.0,3.3,5.7,899.8,91.0
18,2016-01-19,-2.8,2.0,-8.8,0.5,9.5,33.0,1.0,3.6,2.7,900.5,53.0
19,2016-01-20,-3.1,2.1,-11.1,0.0,9.4,30.0,,4.0,2.5,907.6,52.0
20,2016-01-21,-2.6,3.8,-11.0,,8.0,29.0,,1.4,3.0,914.9,60.0
