Unnamed: 0,calendar_date,avg_wind_speed
0,2016-01-01,4.2
1,2016-01-02,6.3
2,2016-01-03,4.6
3,2016-01-04,3.8
4,2016-01-05,6.1
5,2016-01-06,5.4
6,2016-01-07,8.6
7,2016-01-08,6.8
8,2016-01-09,6.1
9,2016-01-10,2.4
10,2016-01-11,6.0
11,2016-01-12,10.9
12,2016-01-13,8.3
13,2016-01-14,7.3
14,2016-01-15,3.3
15,2016-01-16,2.8
16,2016-01-17,10.1
17,2016-01-18,11.4
18,2016-01-19,8.8
19,2016-01-20,5.2
20,2016-01-21,7.2
21,2016-01-22,7.7
22,2016-01-23,14.0
23,2016-01-24,15.8
24,2016-01-25,10.5
25,2016-01-26,4.4
26,2016-01-27,4.9
27,2016-01-28,10.1
28,2016-01-29,9.0
29,2016-01-30,5.8
30,2016-01-31,5.1
31,2016-02-01,9.7
32,2016-02-02,10.2
33,2016-02-03,5.8
34,2016-02-04,2.9
35,2016-02-05,7.8
36,2016-02-06,12.5
37,2016-02-07,9.3
38,2016-02-08,7.4
39,2016-02-09,2.6
40,2016-02-10,4.9
41,2016-02-11,10.2
42,2016-02-12,13.4
43,2016-02-13,9.2
44,2016-02-14,9.9
45,2016-02-15,12.3
46,2016-02-16,7.8
47,2016-02-17,5.2
48,2016-02-18,2.5
49,2016-02-19,7.9
50,2016-02-20,10.8
51,2016-02-21,7.5
52,2016-02-22,6.6
53,2016-02-23,9.5
54,2016-02-24,11.5
55,2016-02-25,8.7
56,2016-02-26,4.7
57,2016-02-27,4.7
58,2016-02-28,3.9
59,2016-02-29,11.5
60,2016-03-01,6.5
61,2016-03-02,2.7
62,2016-03-03,3.6
63,2016-03-04,6.0
64,2016-03-05,8.7
65,2016-03-06,4.5
66,2016-03-07,2.6
67,2016-03-08,6.1
68,2016-03-09,9.1
69,2016-03-10,10.5
70,2016-03-11,9.4
71,2016-03-12,4.2
72,2016-03-13,10.0
73,2016-03-14,12.1
74,2016-03-15,5.4
75,2016-03-16,4.6
76,2016-03-17,5.4
77,2016-03-18,10.0
78,2016-03-19,6.4
79,2016-03-20,5.7
80,2016-03-21,4.6
81,2016-03-22,5.1
82,2016-03-23,7.7
83,2016-03-24,11.2
84,2016-03-25,7.2
85,2016-03-26,8.5
86,2016-03-27,6.9
87,2016-03-28,5.3
88,2016-03-29,4.0
89,2016-03-30,4.5
90,2016-03-31,8.0
91,2016-04-01,5.0
92,2016-04-02,3.0
93,2016-04-03,5.7
94,2016-04-04,4.7
95,2016-04-05,2.8
96,2016-04-06,6.0
97,2016-04-07,6.9
98,2016-04-08,4.1
99,2016-04-09,3.5
100,2016-04-10,4.4
101,2016-04-11,6.1
102,2016-04-12,5.2
103,2016-04-13,8.0
104,2016-04-14,6.1
105,2016-04-15,4.6
106,2016-04-16,8.7
107,2016-04-17,6.9
108,2016-04-18,6.6
109,2016-04-19,5.2
110,2016-04-20,6.1
111,2016-04-21,7.0
112,2016-04-22,4.5
113,2016-04-23,5.9
114,2016-04-24,4.9
115,2016-04-25,5.8
116,2016-04-26,3.0
117,2016-04-27,6.5
118,2016-04-28,9.0
119,2016-04-29,7.2
120,2016-04-30,3.1
121,2016-05-01,6.3
122,2016-05-02,10.0
123,2016-05-03,9.2
124,2016-05-04,5.4
125,2016-05-05,10.0
126,2016-05-06,8.0
127,2016-05-07,4.7
128,2016-05-08,5.8
129,2016-05-09,6.8
130,2016-05-10,8.9
131,2016-05-11,6.4
132,2016-05-12,3.8
133,2016-05-13,4.4
134,2016-05-14,3.8
135,2016-05-15,6.9
136,2016-05-16,8.8
137,2016-05-17,5.8
138,2016-05-18,3.7
139,2016-05-19,5.3
140,2016-05-20,3.7
141,2016-05-21,2.1
142,2016-05-22,6.2
143,2016-05-23,2.5
144,2016-05-24,2.5
145,2016-05-25,2.7
146,2016-05-26,3.0
147,2016-05-27,2.4
148,2016-05-28,3.5
149,2016-05-29,4.9
150,2016-05-30,4.9
151,2016-05-31,1.4
152,2016-06-01,4.1
153,2016-06-02,5.0
154,2016-06-03,6.5
155,2016-06-04,3.6
156,2016-06-05,4.3
157,2016-06-06,3.3
158,2016-06-07,3.4
159,2016-06-08,3.4
160,2016-06-09,3.3
161,2016-06-10,2.7
162,2016-06-11,6.4
163,2016-06-12,8.3
164,2016-06-13,9.1
165,2016-06-14,3.0
166,2016-06-15,6.6
167,2016-06-16,7.8
168,2016-06-17,6.3
169,2016-06-18,6.7
170,2016-06-19,6.4
171,2016-06-20,6.5
172,2016-06-21,5.2
173,2016-06-22,5.7
174,2016-06-23,5.3
175,2016-06-24,6.3
176,2016-06-25,5.7
177,2016-06-26,4.6
178,2016-06-27,6.8
179,2016-06-28,7.2
180,2016-06-29,6.0
181,2016-06-30,4.9
182,2016-07-01,7.2
183,2016-07-02,7.1
184,2016-07-03,6.1
185,2016-07-04,7.0
186,2016-07-05,6.2
187,2016-07-06,4.5
188,2016-07-07,7.2
189,2016-07-08,8.8
190,2016-07-09,9.5
191,2016-07-10,9.6
192,2016-07-11,11.0
193,2016-07-12,9.9
194,2016-07-13,8.3
195,2016-07-14,7.6
196,2016-07-15,7.6
197,2016-07-16,7.5
198,2016-07-17,5.4
199,2016-07-18,4.6
200,2016-07-19,2.9
201,2016-07-20,2.6
202,2016-07-21,3.0
203,2016-07-22,2.2
204,2016-07-23,2.1
205,2016-07-24,2.7
206,2016-07-25,2.4
207,2016-07-26,2.2
208,2016-07-27,2.2
209,2016-07-28,2.4
210,2016-07-29,2.1
211,2016-07-30,3.5
212,2016-07-31,3.5
213,2016-08-01,5.2
214,2016-08-02,2.9
215,2016-08-03,2.0
216,2016-08-04,2.6
217,2016-08-05,2.6
218,2016-08-06,4.6
219,2016-08-07,5.0
220,2016-08-08,8.3
221,2016-08-09,5.4
222,2016-08-10,4.9
223,2016-08-11,4.8
224,2016-08-12,3.1
225,2016-08-13,3.0
226,2016-08-14,3.3
227,2016-08-15,2.7
228,2016-08-16,2.0
229,2016-08-17,2.2
230,2016-08-18,3.5
231,2016-08-19,2.4
232,2016-08-20,3.5
233,2016-08-21,3.3
234,2016-08-22,3.4
235,2016-08-23,3.2
236,2016-08-24,6.0
237,2016-08-25,6.4
238,2016-08-26,7.3
239,2016-08-27,7.2
240,2016-08-28,9.0
241,2016-08-29,8.0
242,2016-08-30,6.2
243,2016-08-31,3.1
244,2016-09-01,2.8
245,2016-09-02,2.5
246,2016-09-03,3.2
247,2016-09-04,3.0
248,2016-09-05,5.0
249,2016-09-06,8.1
250,2016-09-07,5.6
251,2016-09-08,4.5
252,2016-09-09,5.0
253,2016-09-10,2.8
254,2016-09-11,3.2
255,2016-09-12,2.8
256,2016-09-13,4.6
257,2016-09-14,7.8
258,2016-09-15,6.4
259,2016-09-16,7.5
260,2016-09-17,10.9
261,2016-09-18,11.7
262,2016-09-19,9.9
263,2016-09-20,7.7
264,2016-09-21,5.0
265,2016-09-22,4.8
266,2016-09-23,5.7
267,2016-09-24,4.1
268,2016-09-25,4.7
269,2016-09-26,8.2
270,2016-09-27,11.6
271,2016-09-28,11.5
272,2016-09-29,7.8
273,2016-09-30,3.5
274,2016-10-01,3.2
275,2016-10-02,4.1
276,2016-10-03,10.9
277,2016-10-04,15.1
278,2016-10-05,3.5
279,2016-10-06,4.6
280,2016-10-07,7.0
281,2016-10-08,8.3
282,2016-10-09,5.8
283,2016-10-10,5.0
284,2016-10-11,3.8
285,2016-10-12,6.8
286,2016-10-13,7.4
287,2016-10-14,7.0
288,2016-10-15,5.9
289,2016-10-16,2.8
290,2016-10-17,3.7
291,2016-10-18,4.7
292,2016-10-19,4.1
293,2016-10-20,5.4
294,2016-10-21,5.3
295,2016-10-22,5.9
296,2016-10-23,8.6
297,2016-10-24,6.4
298,2016-10-25,1.9
299,2016-10-26,2.5
300,2016-10-27,1.9
301,2016-10-28,2.4
302,2016-10-29,10.3
303,2016-10-30,6.8
304,2016-10-31,4.5
305,2016-11-01,11.1
306,2016-11-02,9.3
307,2016-11-03,9.3
308,2016-11-04,4.7
309,2016-11-05,2.6
310,2016-11-06,3.3
311,2016-11-07,3.0
312,2016-11-08,2.3
313,2016-11-09,10.0
314,2016-11-10,5.6
315,2016-11-11,6.1
316,2016-11-12,3.0
317,2016-11-13,3.0
318,2016-11-14,2.2
319,2016-11-15,6.8
320,2016-11-16,4.4
321,2016-11-17,2.3
322,2016-11-18,3.5
323,2016-11-19,4.2
324,2016-11-20,3.9
325,2016-11-21,4.6
326,2016-11-22,5.7
327,2016-11-23,9.3
328,2016-11-24,10.2
329,2016-11-25,5.3
330,2016-11-26,5.6
331,2016-11-27,10.2
332,2016-11-28,9.9
333,2016-11-29,6.0
334,2016-11-30,2.7
335,2016-12-01,6.8
336,2016-12-02,7.1
337,2016-12-03,4.3
338,2016-12-04,4.0
339,2016-12-05,5.6
340,2016-12-06,9.3
341,2016-12-07,4.2
342,2016-12-08,3.4
343,2016-12-09,4.7
344,2016-12-10,4.9
345,2016-12-11,4.6
346,2016-12-12,5.9
347,2016-12-13,7.6
348,2016-12-14,11.6
349,2016-12-15,10.7
350,2016-12-16,10.6
351,2016-12-17,4.7
352,2016-12-18,4.9
353,2016-12-19,3.3
354,2016-12-20,5.0
355,2016-12-21,8.3
356,2016-12-22,9.3
357,2016-12-23,10.4
358,2016-12-24,5.7
359,2016-12-25,4.2
360,2016-12-26,4.8
361,2016-12-27,10.7
362,2016-12-28,7.2
363,2016-12-29,9.4
364,2016-12-30,5.7
365,2016-12-31,3.5
366,2017-01-01,3.7
367,2017-01-02,4.5
368,2017-01-03,2.9
369,2017-01-04,2.3
370,2017-01-05,4.5
371,2017-01-06,5.1
372,2017-01-07,2.9
373,2017-01-08,8.7
374,2017-01-09,9.0
375,2017-01-10,6.3
376,2017-01-11,5.5
377,2017-01-12,3.2
378,2017-01-13,9.4
379,2017-01-14,9.6
380,2017-01-15,9.2
381,2017-01-16,7.2
382,2017-01-17,2.9
383,2017-01-18,7.2
384,2017-01-19,5.2
385,2017-01-20,11.6
386,2017-01-21,5.2
387,2017-01-22,9.7
388,2017-01-23,8.8
389,2017-01-24,5.9
390,2017-01-25,5.7
391,2017-01-26,5.5
392,2017-01-27,2.8
393,2017-01-28,4.6
394,2017-01-29,6.8
395,2017-01-30,8.9
396,2017-01-31,5.5
397,2017-02-01,6.8
398,2017-02-02,7.9
399,2017-02-03,3.5
400,2017-02-04,4.9
401,2017-02-05,8.2
402,2017-02-06,9.6
403,2017-02-07,5.5
404,2017-02-08,2.0
405,2017-02-09,13.2
