Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,deepest_snowfall,total_snowfall
0,2016-01-01,3.1,5.9,-0.9,0,0
1,2016-01-02,6.1,10.4,1.1,0,0
2,2016-01-03,5.7,9.4,2.9,0,0
3,2016-01-04,3.0,4.2,1.7,0,0
4,2016-01-05,3.0,4.4,1.6,0,0
5,2016-01-06,2.5,6.2,0.4,0,0
6,2016-01-07,2.4,3.5,0.4,0,0
7,2016-01-08,2.2,3.9,0.2,3,3
8,2016-01-09,1.8,3.7,-0.1,1,1
9,2016-01-10,1.6,4.8,-0.3,2,3
10,2016-01-11,0.2,1.4,-1.6,3,3
11,2016-01-12,0.3,1.6,-1.1,5,4
12,2016-01-13,1.0,5.3,-1.0,6,4
13,2016-01-14,1.4,4.2,-0.1,2,0
14,2016-01-15,-0.4,2.3,-2.3,2,2
15,2016-01-16,-0.7,1.2,-2.7,12,14
16,2016-01-17,0.9,3.3,-3.5,12,0
17,2016-01-18,0.8,3.1,-1.3,13,6
18,2016-01-19,2.6,5.7,0.5,9,9
19,2016-01-20,2.0,4.5,-1.5,9,2
20,2016-01-21,1.5,2.6,-0.2,12,7
21,2016-01-22,0.3,1.4,-1.4,12,4
22,2016-01-23,-0.1,1.8,-3.6,13,2
23,2016-01-24,-0.9,2.3,-5.2,12,3
24,2016-01-25,0.7,2.7,-1.5,11,5
25,2016-01-26,3.1,5.7,1.0,11,1
26,2016-01-27,3.5,6.6,0.8,6,2
27,2016-01-28,3.3,5.2,0.0,2,0
28,2016-01-29,0.1,2.1,-1.4,0,0
29,2016-01-30,0.6,3.0,-1.3,0,0
30,2016-01-31,1.1,2.7,-0.5,2,2
31,2016-02-01,-0.6,0.6,-3.0,3,3
32,2016-02-02,0.3,2.7,-1.2,8,9
33,2016-02-03,-0.3,2.8,-2.1,13,12
34,2016-02-04,1.4,4.7,-3.0,11,4
35,2016-02-05,3.0,4.8,1.2,4,0
36,2016-02-06,0.1,2.9,-3.1,8,10
37,2016-02-07,-0.7,1.7,-3.6,10,4
38,2016-02-08,0.8,4.5,-2.3,9,1
39,2016-02-09,2.1,5.0,-0.5,6,6
40,2016-02-10,1.2,3.3,-0.3,7,5
41,2016-02-11,1.4,5.1,-3.0,6,0
42,2016-02-12,2.2,11.5,-4.6,4,0
43,2016-02-13,4.4,8.5,1.7,2,0
44,2016-02-14,8.6,15.3,4.9,0,0
45,2016-02-15,0.2,5.0,-3.3,0,0
46,2016-02-16,-0.9,1.7,-3.4,19,22
47,2016-02-17,0.2,1.7,-3.7,25,7
48,2016-02-18,3.5,6.2,1.2,18,0
49,2016-02-19,5.9,8.9,0.8,5,2
50,2016-02-20,5.1,8.3,2.7,0,0
51,2016-02-21,5.2,9.2,1.3,0,0
52,2016-02-22,1.3,3.9,-1.6,0,0
53,2016-02-23,0.9,4.3,-0.9,0,0
54,2016-02-24,-0.6,3.9,-2.4,0,0
55,2016-02-25,-0.7,2.9,-2.7,16,16
56,2016-02-26,-0.5,2.2,-5.1,21,6
57,2016-02-27,0.8,3.6,-7.3,12,9
58,2016-02-28,1.3,5.9,-6.3,13,1
59,2016-02-29,4.7,9.2,2.2,2,0
60,2016-03-01,0.0,2.7,-2.1,4,4
61,2016-03-02,1.6,4.6,-1.5,6,3
62,2016-03-03,4.6,7.6,-0.3,4,4
63,2016-03-04,2.6,7.0,-1.2,0,0
64,2016-03-05,5.2,13.1,-2.5,0,0
65,2016-03-06,9.6,14.8,6.2,0,0
66,2016-03-07,7.8,10.8,4.0,0,0
67,2016-03-08,6.7,11.5,3.0,0,0
68,2016-03-09,3.7,6.0,1.4,0,0
69,2016-03-10,1.0,4.0,-0.8,0,0
70,2016-03-11,1.5,4.6,-1.9,0,0
71,2016-03-12,1.4,5.6,-2.3,0,0
72,2016-03-13,3.1,9.0,-4.1,0,0
73,2016-03-14,4.8,10.2,0.0,0,0
74,2016-03-15,4.8,7.1,1.1,0,0
75,2016-03-16,8.9,11.7,6.5,0,0
76,2016-03-17,9.7,14.4,2.7,0,0
77,2016-03-18,11.1,20.8,1.4,0,0
78,2016-03-19,9.1,12.0,6.9,0,0
79,2016-03-20,5.9,7.3,3.1,0,0
80,2016-03-21,4.6,8.5,-0.2,0,0
81,2016-03-22,7.4,9.2,3.0,0,0
82,2016-03-23,5.0,8.8,0.3,0,0
83,2016-03-24,2.4,6.7,-1.2,0,0
84,2016-03-25,2.9,5.9,-1.0,1,1
85,2016-03-26,3.7,8.4,-0.6,0,0
86,2016-03-27,4.2,10.8,-1.7,0,0
87,2016-03-28,5.4,12.2,-1.0,0,0
88,2016-03-29,6.6,13.5,-0.9,0,0
89,2016-03-30,7.2,17.3,1.5,0,0
90,2016-03-31,8.0,12.6,1.2,0,0
91,2016-04-01,9.4,17.9,0.8,0,0
92,2016-04-02,10.6,16.0,7.0,0,0
93,2016-04-03,10.6,16.9,7.2,0,0
94,2016-04-04,6.2,9.6,1.9,0,0
95,2016-04-05,7.3,12.3,-0.8,0,0
96,2016-04-06,8.6,12.3,3.1,0,0
97,2016-04-07,9.5,14.1,3.0,0,0
98,2016-04-08,10.5,13.8,7.8,0,0
99,2016-04-09,11.1,15.8,5.4,0,0
100,2016-04-10,7.1,14.1,1.3,0,0
