Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,solar_radiation,avg_wind_speed,avg_local_pressure,avg_sea_pressure,cloud_cover
0,2016-01-01,4.8,10.2,2.2,4.7,7.6,2.0,1027.0,1029.2,3.3
1,2016-01-02,7.7,13.7,3.2,3.6,7.85,3.3,1022.0,1024.2,6.7
2,2016-01-03,9.0,14.8,4.5,3.4,6.19,1.9,1017.1,1019.2,8.7
3,2016-01-04,9.4,15.5,4.4,3.6,6.04,2.4,1016.1,1018.2,6.7
4,2016-01-05,7.9,11.8,5.1,0.1,4.08,1.5,1019.1,1021.3,10.0
5,2016-01-06,7.6,10.3,5.9,0.1,3.5,1.5,1017.3,1019.4,10.0
6,2016-01-07,6.2,10.0,3.7,1.2,4.43,2.0,1015.1,1017.3,8.7
7,2016-01-08,4.7,5.7,3.6,0.2,1.85,2.2,1014.8,1017.0,10.0
8,2016-01-09,4.5,7.3,2.4,0.6,4.96,2.3,1018.6,1020.8,9.7
9,2016-01-10,4.9,6.4,3.6,0.6,2.0,2.3,1019.8,1022.0,10.0
10,2016-01-11,5.1,7.8,3.4,1.0,4.9,1.5,1018.0,1020.2,10.0
11,2016-01-12,3.6,6.9,1.8,5.2,9.52,3.0,1014.8,1017.0,7.7
12,2016-01-13,3.7,8.5,1.2,1.0,4.59,2.8,1013.1,1015.3,10.0
13,2016-01-14,2.9,4.5,1.6,0.1,2.29,2.9,1014.4,1016.6,9.3
14,2016-01-15,2.9,6.2,1.2,1.1,4.74,2.1,1017.4,1019.6,10.0
15,2016-01-16,3.2,8.3,0.7,1.3,5.71,1.6,1019.9,1022.1,9.7
16,2016-01-17,3.3,6.9,0.3,0.9,5.64,1.5,1018.0,1020.2,9.7
17,2016-01-18,6.1,8.1,4.0,0.0,2.94,3.6,997.8,999.9,10.0
18,2016-01-19,0.5,5.1,-1.4,0.2,3.8,6.7,1005.4,1007.6,9.3
19,2016-01-20,3.4,6.4,-0.2,1.4,4.97,4.0,1013.4,1015.6,9.7
20,2016-01-21,1.9,5.1,0.1,2.7,7.96,2.0,1020.0,1022.2,10.0
21,2016-01-22,0.5,3.0,-2.6,0.4,4.33,1.7,1022.2,1024.4,9.7
22,2016-01-23,2.0,6.5,-1.4,3.7,7.59,2.9,1016.3,1018.5,10.0
23,2016-01-24,-1.2,3.3,-5.2,0.0,2.64,6.0,1010.1,1012.3,10.0
24,2016-01-25,-1.5,1.3,-5.2,1.2,6.65,1.9,1019.5,1021.7,10.0
25,2016-01-26,1.8,5.4,-2.8,7.3,12.72,2.6,1022.5,1024.7,5.7
26,2016-01-27,3.6,7.4,1.5,2.7,7.98,2.2,1025.9,1028.1,9.0
27,2016-01-28,4.3,8.9,1.1,1.5,6.52,1.7,1026.4,1028.6,9.3
28,2016-01-29,3.6,4.7,2.6,0.0,1.67,1.3,1018.9,1021.1,10.0
29,2016-01-30,4.9,8.5,2.8,4.0,9.05,3.6,1018.9,1021.1,9.3
30,2016-01-31,5.3,10.9,0.9,8.0,12.61,2.1,1021.3,1023.4,6.3
31,2016-02-01,3.3,5.1,1.0,0.0,4.75,3.0,1019.4,1021.6,9.7
32,2016-02-02,2.1,7.1,-1.2,5.9,11.08,2.3,1019.7,1021.9,6.0
33,2016-02-03,2.3,7.7,-1.4,7.6,13.63,1.8,1022.2,1024.4,5.3
34,2016-02-04,2.5,7.0,-1.4,1.3,5.22,2.8,1019.8,1022.0,9.3
35,2016-02-05,4.9,8.2,2.4,2.9,7.88,2.0,1016.6,1018.8,9.7
36,2016-02-06,3.7,8.3,1.9,2.3,7.86,2.6,1013.7,1015.9,10.0
37,2016-02-07,2.2,6.3,-1.1,7.9,13.69,3.2,1017.6,1019.8,5.0
38,2016-02-08,3.8,9.9,-1.6,10.2,15.2,2.7,1015.8,1018.0,2.7
39,2016-02-09,4.9,8.5,2.4,0.7,3.53,3.8,1012.3,1014.5,10.0
40,2016-02-10,3.0,7.0,-0.3,3.3,8.64,2.6,1023.8,1026.0,7.0
41,2016-02-11,3.5,10.5,-2.0,10.2,15.32,2.0,1028.7,1030.9,0.0
42,2016-02-12,8.8,16.2,0.4,4.4,10.99,4.2,1025.5,1027.6,9.7
43,2016-02-13,13.3,16.7,9.9,0.0,3.06,3.9,1014.5,1016.6,10.0
44,2016-02-14,11.9,15.9,8.0,0.0,0.78,2.3,1002.3,1004.4,10.0
45,2016-02-15,2.9,8.2,0.0,0.0,6.25,3.9,1008.1,1010.2,10.0
46,2016-02-16,0.5,1.7,-0.7,0.0,3.18,2.3,1013.3,1015.5,10.0
47,2016-02-17,1.3,3.8,-0.4,0.8,5.56,1.9,1017.7,1019.9,7.7
48,2016-02-18,3.8,10.0,-0.5,8.3,16.55,2.9,1022.9,1025.0,4.7
49,2016-02-19,6.9,13.2,0.7,4.9,10.94,2.4,1025.0,1027.2,6.3
50,2016-02-20,6.3,8.3,4.7,0.0,2.08,2.1,1016.1,1018.2,10.0
51,2016-02-21,6.4,8.4,3.0,3.4,9.72,3.5,1021.6,1023.7,7.7
52,2016-02-22,4.7,7.7,2.2,0.2,7.42,1.3,1028.3,1030.5,10.0
53,2016-02-23,6.1,9.8,2.8,0.4,5.24,2.2,1022.6,1024.8,10.0
54,2016-02-24,3.1,6.3,0.5,3.2,10.88,4.0,1025.1,1027.3,8.7
55,2016-02-25,2.3,7.6,-0.2,7.5,16.19,1.9,1027.3,1029.5,5.3
56,2016-02-26,1.2,2.7,-0.1,0.5,3.27,2.2,1026.9,1029.1,8.0
57,2016-02-27,4.4,10.2,-0.6,3.9,9.79,3.0,1024.1,1026.3,7.7
58,2016-02-28,8.3,15.3,1.9,7.7,15.23,2.8,1021.6,1023.7,3.3
59,2016-02-29,5.9,14.0,-0.1,0.0,1.84,3.6,1012.4,1014.5,10.0
60,2016-03-01,1.0,3.4,-1.1,3.4,10.05,3.3,1021.0,1023.2,10.0
