Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,deepest_snowfall,total_snowfall,avg_wind_speed
0,2016-01-01,5.2,8.9,1.5,4.6,0,0,4.2
1,2016-01-02,11.0,13.3,6.4,0.8,0,0,7.4
2,2016-01-03,12.3,15.9,9.2,6.0,0,0,5.8
3,2016-01-04,10.7,14.9,6.9,0.6,0,0,6.3
4,2016-01-05,8.2,10.5,4.9,0.0,0,0,4.9
5,2016-01-06,7.0,9.8,4.3,0.2,0,0,3.5
6,2016-01-07,4.3,7.4,1.5,0.0,0,0,3.2
7,2016-01-08,4.3,6.3,2.8,0.0,0,0,4.5
8,2016-01-09,4.1,6.8,0.5,0.8,0,0,2.9
9,2016-01-10,5.5,7.5,3.7,0.0,0,0,6.2
10,2016-01-11,2.7,4.6,1.6,0.4,0,0,4.5
11,2016-01-12,2.0,3.5,0.6,0.0,0,0,4.2
12,2016-01-13,3.4,7.4,0.4,0.5,0,0,5.4
13,2016-01-14,2.3,4.2,0.6,0.0,0,0,5.0
14,2016-01-15,2.8,4.3,1.2,0.0,0,0,4.0
15,2016-01-16,3.2,6.6,1.6,0.6,0,0,4.4
16,2016-01-17,3.9,7.0,0.9,2.7,0,0,3.6
17,2016-01-18,5.7,8.0,3.8,0.0,0,0,5.2
18,2016-01-19,0.0,4.8,-1.8,0.0,9,12,11.3
19,2016-01-20,2.9,6.0,-1.1,1.0,7,0,7.4
20,2016-01-21,1.9,4.1,0.4,2.1,2,3,4.3
21,2016-01-22,0.8,2.3,-0.3,0.2,4,7,4.0
22,2016-01-23,0.9,3.8,-0.7,0.6,8,10,2.1
23,2016-01-24,-1.5,1.3,-3.6,0.2,40,48,10.0
24,2016-01-25,-0.3,2.3,-3.1,2.0,44,11,5.2
25,2016-01-26,2.7,5.4,-1.4,4.3,40,0,4.1
26,2016-01-27,5.9,7.4,3.7,1.2,31,0,6.8
27,2016-01-28,6.1,7.8,4.0,0.7,14,0,4.1
28,2016-01-29,3.2,6.3,1.9,0.0,6,1,8.3
29,2016-01-30,4.3,6.7,1.7,2.9,0,0,4.1
30,2016-01-31,4.6,8.3,2.6,3.6,0,0,3.5
31,2016-02-01,2.1,2.9,0.9,0.0,0,0,4.0
32,2016-02-02,1.6,2.7,0.2,0.0,0,0,3.2
33,2016-02-03,2.3,6.4,0.0,4.7,1,1,3.6
34,2016-02-04,3.9,7.3,0.7,0.3,0,0,5.5
35,2016-02-05,4.8,9.0,2.2,3.3,0,0,3.8
36,2016-02-06,2.5,6.5,0.5,0.2,3,3,4.7
37,2016-02-07,0.6,3.2,-1.5,4.5,7,5,3.5
38,2016-02-08,2.3,7.3,-2.6,9.6,3,1,3.4
39,2016-02-09,2.8,5.6,0.7,0.0,0,0,6.6
40,2016-02-10,2.3,3.9,0.9,1.7,0,0,5.3
41,2016-02-11,3.7,8.2,0.0,8.6,0,0,3.6
42,2016-02-12,7.3,13.2,0.7,8.3,0,0,2.3
43,2016-02-13,11.1,16.2,7.9,0.0,0,0,1.7
44,2016-02-14,11.9,19.1,6.5,0.0,0,0,7.0
45,2016-02-15,1.7,6.5,-0.4,0.0,0,0,4.2
46,2016-02-16,1.4,4.4,-1.6,2.7,0,0,6.2
47,2016-02-17,1.2,2.9,0.4,0.0,0,0,4.6
48,2016-02-18,4.9,10.4,0.2,9.8,0,0,4.4
49,2016-02-19,8.7,12.8,3.2,3.5,0,0,6.3
50,2016-02-20,6.9,10.1,5.3,0.0,0,0,2.3
51,2016-02-21,5.6,8.7,2.1,0.9,0,0,7.4
52,2016-02-22,3.8,6.8,1.2,3.9,0,0,3.3
53,2016-02-23,6.9,9.6,4.1,0.3,0,0,5.8
54,2016-02-24,1.9,5.3,-0.1,0.9,14,14,3.5
55,2016-02-25,1.5,4.7,-0.9,4.1,26,17,3.7
56,2016-02-26,1.5,3.8,-1.3,0.9,14,5,5.7
