Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight
0,2016-01-01,-0.6,1.6,-4.9,1.2
1,2016-01-02,1.8,6.8,-7.1,0.9
2,2016-01-03,4.6,7.6,0.5,2.2
3,2016-01-04,1.1,5.1,-1.9,1.3
4,2016-01-05,-1.3,0.9,-2.4,2.5
5,2016-01-06,-0.5,2.1,-3.4,1.9
6,2016-01-07,-0.8,0.7,-2.3,1.8
7,2016-01-08,-0.8,1.8,-5.4,3.0
8,2016-01-09,-2.3,0.4,-7.6,4.5
9,2016-01-10,-2.2,2.3,-6.2,2.8
10,2016-01-11,-4.3,-1.6,-8.3,3.8
11,2016-01-12,-3.5,-0.8,-5.3,2.4
12,2016-01-13,-2.6,2.1,-5.1,6.7
13,2016-01-14,-2.2,1.3,-7.8,5.8
14,2016-01-15,-5.0,-0.6,-9.8,2.3
15,2016-01-16,-4.6,-0.1,-10.2,3.9
16,2016-01-17,-3.8,0.7,-7.5,4.7
17,2016-01-18,-1.9,0.9,-8.7,0.0
18,2016-01-19,-1.6,2.1,-8.1,1.0
19,2016-01-20,-2.3,0.4,-9.6,0.2
20,2016-01-21,-2.9,0.8,-8.3,1.4
21,2016-01-22,-3.7,-1.7,-7.2,3.7
22,2016-01-23,-4.3,-0.6,-7.9,2.8
23,2016-01-24,-4.4,0.0,-8.4,2.3
24,2016-01-25,-3.4,-0.7,-7.9,3.1
25,2016-01-26,-0.9,3.4,-6.0,1.7
26,2016-01-27,0.2,2.9,-5.1,4.2
27,2016-01-28,-0.3,2.5,-5.4,2.0
28,2016-01-29,-4.0,-1.0,-8.6,1.5
29,2016-01-30,-4.2,1.2,-8.6,6.7
30,2016-01-31,-2.7,0.6,-6.2,5.7
31,2016-02-01,-5.5,-1.5,-11.4,3.3
32,2016-02-02,-5.3,-1.1,-11.2,4.9
33,2016-02-03,-2.7,1.5,-5.6,5.8
34,2016-02-04,-3.1,3.0,-11.0,3.4
35,2016-02-05,-0.3,3.0,-3.2,5.6
36,2016-02-06,-2.7,1.8,-8.0,6.6
37,2016-02-07,-5.4,-0.5,-11.9,7.1
38,2016-02-08,-2.2,3.0,-6.7,3.0
39,2016-02-09,0.4,5.7,-6.9,3.1
40,2016-02-10,-2.0,0.8,-4.3,4.5
41,2016-02-11,-2.7,1.9,-7.1,3.8
42,2016-02-12,-1.2,9.4,-10.9,6.9
43,2016-02-13,6.6,13.3,0.1,4.6
44,2016-02-14,8.7,16.8,1.9,4.8
45,2016-02-15,-1.9,3.5,-6.1,4.0
46,2016-02-16,-3.3,0.3,-6.5,4.8
47,2016-02-17,-3.4,0.5,-7.1,1.6
48,2016-02-18,1.6,5.0,-4.5,3.1
