Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure
0,2016-01-01,8.1,12.2,3.6,5.5,4.4,7.5,1026.8,70,1029.4
1,2016-01-02,12.1,14.9,9.2,4.6,6.0,8.9,1021.3,63,1023.8
2,2016-01-03,12.3,15.9,8.4,2.2,3.3,10.9,1016.5,76,1019.0
3,2016-01-04,12.3,15.3,7.4,4.4,4.3,9.8,1016.9,68,1019.5
4,2016-01-05,8.3,12.4,5.0,0.0,2.2,7.8,1020.2,73,1022.8
5,2016-01-06,8.6,11.6,6.0,0.7,2.9,7.7,1018.2,70,1020.8
6,2016-01-07,8.6,10.3,7.2,1.2,4.8,6.4,1017.0,57,1019.6
7,2016-01-08,6.2,8.2,3.3,0.0,5.1,6.4,1016.3,68,1018.9
8,2016-01-09,7.0,8.3,5.9,0.9,5.3,5.6,1019.9,56,1022.5
9,2016-01-10,8.1,10.0,6.8,2.9,4.7,6.2,1021.1,57,1023.7
10,2016-01-11,7.8,10.8,5.0,1.9,2.7,6.4,1019.0,61,1021.6
11,2016-01-12,5.7,8.6,3.5,0.9,2.9,7.0,1015.6,78,1018.2
12,2016-01-13,4.0,6.5,1.4,0.3,5.3,6.5,1014.4,80,1017.0
13,2016-01-14,5.7,7.7,2.4,0.6,5.7,5.8,1016.7,63,1019.3
14,2016-01-15,5.2,8.6,2.1,1.9,2.9,6.0,1018.3,69,1020.9
15,2016-01-16,6.3,12.2,1.5,6.6,2.4,6.2,1019.4,66,1022.0
16,2016-01-17,5.6,9.3,3.6,0.0,3.5,7.1,1013.7,79,1016.3
17,2016-01-18,6.0,10.0,1.8,0.0,7.3,7.2,1002.7,77,1005.3
18,2016-01-19,1.0,3.1,-1.5,0.8,11.7,4.7,1011.2,72,1013.8
19,2016-01-20,3.4,6.1,-1.1,0.5,4.3,5.9,1020.6,76,1023.2
20,2016-01-21,3.7,6.8,1.6,2.0,3.2,6.7,1019.9,85,1022.5
21,2016-01-22,5.0,8.6,2.6,4.8,3.8,6.8,1021.0,79,1023.6
22,2016-01-23,2.8,5.4,-0.5,0.0,4.3,5.6,1019.7,75,1022.3
23,2016-01-24,-3.0,0.7,-5.0,0.0,8.6,3.8,1015.8,78,1018.5
24,2016-01-25,1.1,2.4,0.2,0.0,6.1,5.0,1021.8,75,1024.4
25,2016-01-26,3.7,6.2,1.9,0.0,6.5,6.1,1022.3,77,1024.9
26,2016-01-27,7.6,10.0,5.4,1.9,6.2,6.7,1025.9,64,1028.5
27,2016-01-28,6.8,8.5,4.0,0.0,2.3,8.8,1024.8,89,1027.4
28,2016-01-29,7.1,8.0,6.1,0.0,2.5,9.8,1016.5,97,1019.1
29,2016-01-30,7.8,12.0,4.4,4.8,4.3,8.2,1018.5,78,1021.1
30,2016-01-31,6.9,10.3,3.2,2.1,3.2,7.2,1021.7,73,1024.3
31,2016-02-01,7.4,9.6,5.9,1.8,3.4,6.5,1019.9,63,1022.5
32,2016-02-02,5.8,9.2,1.5,3.7,3.9,6.5,1019.2,72,1021.8
33,2016-02-03,5.0,10.3,0.0,4.8,3.0,6.4,1021.4,74,1024.0
34,2016-02-04,6.8,9.5,4.6,3.6,5.6,5.7,1020.3,58,1022.9
35,2016-02-05,6.5,9.7,3.5,6.0,3.3,6.0,1017.4,63,1019.9
36,2016-02-06,5.0,7.3,1.8,0.2,3.7,5.4,1015.9,63,1018.5
37,2016-02-07,3.0,7.0,0.7,5.9,4.3,5.7,1017.6,76,1020.2
38,2016-02-08,6.0,9.3,0.7,4.2,6.9,5.7,1014.9,62,1017.5
39,2016-02-09,8.1,10.9,6.1,5.0,7.6,5.0,1015.8,47,1018.4
40,2016-02-10,6.7,11.8,1.9,9.9,2.7,5.3,1023.4,56,1026.0
41,2016-02-11,6.4,14.0,0.5,9.3,2.7,5.8,1025.6,62,1028.2
42,2016-02-12,13.0,19.4,4.6,1.7,4.0,9.4,1020.1,63,1022.6
43,2016-02-13,16.6,22.7,12.6,2.0,2.8,16.1,1009.1,86,1011.6
44,2016-02-14,11.6,20.1,6.7,0.0,11.5,11.6,1004.4,82,1006.9
45,2016-02-15,3.7,6.8,1.7,0.5,6.8,5.1,1012.2,65,1014.8
46,2016-02-16,3.2,7.7,0.8,0.6,7.1,5.7,1014.9,75,1017.5
47,2016-02-17,5.0,8.3,2.8,2.0,5.7,4.7,1019.9,54,1022.5
48,2016-02-18,7.3,12.0,1.4,7.9,5.8,5.9,1021.6,57,1024.2
49,2016-02-19,10.6,13.8,8.2,4.4,4.6,8.4,1023.7,65,1026.3
50,2016-02-20,8.2,9.8,6.3,0.0,2.7,9.5,1016.2,87,1018.8
51,2016-02-21,5.3,8.4,1.4,5.5,3.8,5.0,1024.4,57,1027.0
52,2016-02-22,5.4,9.4,0.8,1.3,1.9,5.1,1027.7,58,1030.3
53,2016-02-23,7.6,11.5,4.5,2.2,2.8,7.1,1023.3,69,1025.9
54,2016-02-24,4.2,8.7,1.7,2.1,5.0,6.1,1024.9,75,1027.5
55,2016-02-25,2.6,8.0,-0.5,3.0,2.8,4.9,1028.4,68,1031.1
56,2016-02-26,6.1,10.2,-0.1,4.7,5.1,5.3,1027.0,57,1029.6
57,2016-02-27,8.6,12.3,5.4,1.7,5.9,7.4,1022.4,67,1025.0
58,2016-02-28,10.9,16.6,3.9,6.4,4.2,9.0,1018.5,71,1021.0
59,2016-02-29,4.8,12.7,-0.6,0.2,6.4,6.0,1017.1,68,1019.7
60,2016-03-01,2.1,4.3,-0.3,0.0,3.5,5.7,1022.4,81,1025.0
61,2016-03-02,7.5,11.4,3.4,8.7,4.9,6.1,1023.0,59,1025.6
62,2016-03-03,10.9,16.3,7.2,10.1,4.7,8.6,1023.1,66,1025.6
63,2016-03-04,11.4,16.0,6.8,0.0,2.2,11.7,1024.4,86,1027.0
64,2016-03-05,16.1,23.3,8.4,10.4,4.6,11.2,1021.5,65,1024.0
65,2016-03-06,16.4,19.1,13.1,0.1,3.1,14.5,1016.2,79,1018.7
