Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,avg_wind_speed,avg_local_pressure,avg_sea_pressure
0,2016-01-01,7.7,12.2,3.6,9.6,4.8,1020.5,1026.4
1,2016-01-02,8.5,14.8,2.0,9.1,3.4,1018.5,1024.4
2,2016-01-03,10.9,16.4,5.6,4.7,3.6,1012.4,1018.2
3,2016-01-04,12.1,17.0,6.5,9.2,4.6,1010.1,1015.8
4,2016-01-05,11.8,15.5,7.8,6.6,4.7,1012.3,1018.1
5,2016-01-06,10.5,13.8,7.9,0.6,4.0,1011.1,1016.9
6,2016-01-07,9.4,13.2,5.8,9.2,5.2,1008.3,1014.1
7,2016-01-08,7.4,11.7,3.1,5.5,3.9,1009.8,1015.6
8,2016-01-09,7.6,12.3,3.8,9.5,4.3,1012.8,1018.7
9,2016-01-10,7.7,11.5,3.7,9.6,5.0,1013.7,1019.6
10,2016-01-11,7.8,12.3,3.7,7.0,3.5,1012.2,1018.1
11,2016-01-12,7.8,10.5,5.4,0.5,2.8,1007.6,1013.5
12,2016-01-13,6.5,11.0,2.7,8.2,3.5,1008.3,1014.2
13,2016-01-14,6.2,9.6,2.3,8.7,4.2,1009.5,1015.4
14,2016-01-15,6.1,10.6,3.1,8.6,4.9,1011.1,1017.0
15,2016-01-16,6.5,11.5,0.7,9.9,4.1,1013.1,1019.0
16,2016-01-17,7.2,12.0,0.9,5.6,2.7,1013.5,1019.3
17,2016-01-18,9.3,12.2,6.4,1.8,6.5,992.0,997.7
18,2016-01-19,3.4,6.5,0.4,5.5,7.3,1001.1,1007.0
19,2016-01-20,2.9,7.3,-0.3,4.9,6.3,1007.5,1013.4
20,2016-01-21,5.0,9.3,1.5,6.7,5.2,1012.9,1018.9
21,2016-01-22,5.9,11.8,2.8,8.1,4.3,1013.6,1019.5
22,2016-01-23,4.7,9.1,2.9,0.0,2.7,1011.3,1017.2
23,2016-01-24,1.0,3.3,-2.4,9.4,7.1,1004.5,1010.4
24,2016-01-25,0.9,6.1,-3.7,9.9,4.9,1013.9,1020.0
25,2016-01-26,4.0,8.8,-0.2,9.9,3.6,1018.5,1024.5
26,2016-01-27,6.7,11.2,1.4,9.4,4.7,1020.2,1026.1
27,2016-01-28,9.0,13.2,4.7,9.3,4.5,1020.9,1026.8
28,2016-01-29,8.3,9.6,6.6,0.0,2.5,1014.1,1020.0
29,2016-01-30,7.7,9.0,6.0,0.0,1.7,1011.2,1017.0
30,2016-01-31,7.5,12.6,3.5,9.7,3.0,1014.9,1020.8
31,2016-02-01,6.8,8.9,4.8,0.0,2.9,1013.0,1018.9
32,2016-02-02,6.9,12.5,3.1,8.7,3.0,1011.4,1017.3
33,2016-02-03,5.7,11.4,2.0,6.5,3.8,1014.7,1020.6
34,2016-02-04,6.1,11.2,0.8,9.7,4.1,1014.7,1020.7
35,2016-02-05,8.5,13.8,4.7,9.5,4.3,1010.5,1016.4
36,2016-02-06,6.9,11.2,1.9,4.4,3.9,1006.9,1012.7
37,2016-02-07,5.8,11.3,1.3,10.3,3.8,1009.2,1015.1
38,2016-02-08,5.0,12.1,-2.2,10.2,2.4,1011.8,1017.7
39,2016-02-09,5.9,11.0,1.5,6.7,5.1,1007.8,1013.7
40,2016-02-10,5.1,10.2,1.3,10.5,5.6,1015.4,1021.3
41,2016-02-11,6.8,13.0,-0.4,10.4,2.5,1023.2,1029.2
42,2016-02-12,8.5,10.8,5.1,0.0,3.0,1024.4,1030.4
43,2016-02-13,13.0,17.1,7.6,1.0,2.4,1014.2,1020.0
44,2016-02-14,16.0,18.6,12.3,0.5,4.9,997.7,1003.3
45,2016-02-15,8.9,12.3,3.0,7.5,6.1,998.8,1004.6
46,2016-02-16,4.4,8.4,0.8,9.7,4.5,1008.5,1014.5
47,2016-02-17,5.3,10.3,1.0,9.9,4.5,1012.0,1017.9
48,2016-02-18,6.2,12.0,1.7,8.0,2.5,1019.1,1025.0
49,2016-02-19,9.2,15.6,2.4,10.2,3.4,1021.0,1026.9
50,2016-02-20,10.3,15.2,6.6,0.0,3.7,1011.8,1017.6
51,2016-02-21,9.2,12.6,4.8,10.5,7.5,1011.7,1017.5
52,2016-02-22,8.1,11.4,4.2,0.4,3.0,1021.9,1027.9
53,2016-02-23,9.8,14.5,6.5,5.6,3.8,1016.1,1021.9
54,2016-02-24,7.6,13.0,2.9,7.8,5.5,1015.4,1021.3
55,2016-02-25,5.5,10.9,-0.5,11.0,4.8,1020.2,1026.2
56,2016-02-26,5.5,10.5,2.0,9.4,5.4,1020.7,1026.6
57,2016-02-27,7.2,12.3,0.8,9.5,3.0,1020.4,1026.4
58,2016-02-28,10.7,16.3,4.7,10.2,3.2,1018.4,1024.2
59,2016-02-29,9.0,12.9,2.9,0.8,4.6,1005.8,1011.6
60,2016-03-01,3.8,8.2,0.7,11.0,6.8,1012.5,1018.5
61,2016-03-02,5.8,11.0,1.0,11.0,5.4,1017.1,1023.0
62,2016-03-03,9.9,16.0,2.5,10.8,4.5,1018.4,1024.3
63,2016-03-04,11.5,17.3,5.5,10.9,2.5,1023.3,1029.1
64,2016-03-05,12.5,18.6,6.8,5.8,2.5,1024.5,1030.3
65,2016-03-06,14.9,18.7,10.6,2.8,2.6,1019.6,1025.3
66,2016-03-07,14.9,16.8,13.5,0.0,2.6,1010.9,1016.6
67,2016-03-08,16.7,23.0,10.2,10.3,3.4,1008.5,1014.1
