Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,avg_wind_speed
0,2016-01-01,0.5,1.7,-0.9,8.1,12.8
1,2016-01-02,3.9,6.2,1.2,0.0,12.1
2,2016-01-03,2.3,3.7,1.2,3.3,11.7
3,2016-01-04,0.5,1.7,-1.0,2.9,12.0
4,2016-01-05,-1.4,-0.2,-2.6,4.2,15.3
5,2016-01-06,-0.4,2.5,-2.7,2.9,15.0
6,2016-01-07,-1.0,0.0,-1.9,2.4,14.0
7,2016-01-08,-0.7,0.6,-2.3,3.8,11.7
8,2016-01-09,-1.2,0.1,-2.7,4.3,11.8
9,2016-01-10,-1.1,0.8,-4.3,2.5,11.8
10,2016-01-11,-4.8,-3.2,-6.8,3.6,14.2
11,2016-01-12,-3.9,-2.8,-5.3,2.8,12.7
12,2016-01-13,-2.3,-0.6,-4.1,7.2,7.1
13,2016-01-14,-1.6,2.2,-4.8,6.1,9.6
14,2016-01-15,-4.0,-2.3,-5.2,3.2,5.6
15,2016-01-16,-2.5,-1.0,-4.2,4.9,8.3
16,2016-01-17,-2.9,-1.0,-5.6,9.0,4.2
17,2016-01-18,-2.4,-1.2,-3.4,0.0,19.0
18,2016-01-19,-0.2,1.9,-2.5,0.0,17.2
19,2016-01-20,1.3,3.1,-1.1,3.0,6.2
20,2016-01-21,-1.2,0.2,-3.0,9.2,9.7
21,2016-01-22,-1.0,0.2,-2.7,9.0,11.8
22,2016-01-23,-1.4,-0.4,-2.1,8.0,10.6
23,2016-01-24,-3.3,-1.9,-5.4,0.0,8.0
24,2016-01-25,-3.9,-2.0,-6.2,7.3,9.2
25,2016-01-26,-0.1,1.5,-2.4,1.5,10.0
26,2016-01-27,0.3,1.5,-1.3,7.0,11.9
27,2016-01-28,-1.6,0.5,-4.4,7.9,14.7
28,2016-01-29,-4.0,-2.6,-5.7,6.1,12.6
29,2016-01-30,-4.4,-2.9,-6.1,5.7,4.3
30,2016-01-31,-3.7,-2.8,-5.5,7.2,11.8
31,2016-02-01,-4.4,-2.8,-6.2,7.3,11.1
32,2016-02-02,-3.7,-1.5,-5.9,7.6,8.7
33,2016-02-03,-3.0,-1.0,-6.6,9.4,8.5
34,2016-02-04,-0.4,1.3,-2.0,4.8,5.3
35,2016-02-05,-0.5,1.0,-2.6,8.1,12.4
36,2016-02-06,-2.7,-1.2,-4.3,2.7,9.5
37,2016-02-07,-3.1,-0.6,-5.1,8.6,13.1
38,2016-02-08,-1.7,-0.1,-2.9,8.9,6.9
39,2016-02-09,-0.9,1.0,-2.1,1.3,6.2
40,2016-02-10,-0.2,1.3,-3.0,9.0,13.6
41,2016-02-11,-1.3,1.8,-3.6,9.9,7.0
42,2016-02-12,0.0,3.0,-3.5,6.7,5.1
43,2016-02-13,3.9,5.7,1.8,0.0,4.1
44,2016-02-14,2.0,7.0,0.2,0.0,10.7
45,2016-02-15,-3.3,0.7,-6.3,4.2,15.1
46,2016-02-16,-4.4,-2.3,-6.7,3.1,8.6
47,2016-02-17,-2.2,-0.1,-3.7,1.6,12.7
48,2016-02-18,-0.2,2.4,-3.4,5.7,9.8
49,2016-02-19,2.8,4.4,1.7,4.6,8.4
50,2016-02-20,1.5,3.4,-0.4,0.8,9.7
51,2016-02-21,0.5,1.9,-1.3,3.2,13.0
52,2016-02-22,-1.4,-0.1,-2.2,7.7,13.7
53,2016-02-23,0.0,2.2,-2.1,1.2,4.4
54,2016-02-24,-4.3,0.3,-6.9,9.2,6.0
55,2016-02-25,-5.0,-2.3,-8.2,6.8,8.4
56,2016-02-26,-3.0,-1.0,-4.9,9.2,8.7
57,2016-02-27,-2.9,-1.4,-5.8,9.2,7.9
58,2016-02-28,-2.5,-0.1,-4.9,9.7,4.0
59,2016-02-29,-0.7,0.8,-3.7,0.0,9.6
60,2016-03-01,-1.3,0.8,-3.2,8.0,17.0
61,2016-03-02,-2.2,-0.7,-3.7,7.8,9.5
62,2016-03-03,-3.2,-2.1,-4.0,2.0,9.1
63,2016-03-04,-2.1,-0.1,-4.4,10.5,6.4
64,2016-03-05,-1.6,0.6,-5.2,10.8,3.4
65,2016-03-06,1.9,4.9,-2.4,0.0,6.1
66,2016-03-07,3.0,5.9,1.4,7.8,9.1
67,2016-03-08,1.2,3.4,0.1,0.2,10.5
68,2016-03-09,0.0,1.1,-1.4,5.4,10.2
69,2016-03-10,-1.0,0.9,-3.7,10.0,4.5
70,2016-03-11,-1.0,0.8,-2.3,10.9,7.9
71,2016-03-12,-0.8,1.0,-2.6,11.2,7.2
72,2016-03-13,-0.1,3.1,-2.9,7.9,3.2
73,2016-03-14,1.0,3.5,-2.4,10.6,3.4
74,2016-03-15,0.6,3.3,-2.2,7.3,7.5
75,2016-03-16,2.3,5.1,-0.6,9.1,9.3
76,2016-03-17,3.7,6.1,2.0,10.7,7.6
77,2016-03-18,6.5,10.4,2.5,7.6,2.8
78,2016-03-19,4.8,8.5,1.3,0.0,3.8
79,2016-03-20,1.4,3.4,-0.5,3.9,3.2
80,2016-03-21,0.1,1.7,-1.9,11.8,8.8
81,2016-03-22,1.2,3.4,-1.0,11.0,6.1
82,2016-03-23,1.5,3.8,-0.1,9.0,5.9
83,2016-03-24,0.5,3.0,-1.1,11.8,4.3
84,2016-03-25,0.5,3.7,-1.7,6.8,5.0
85,2016-03-26,1.4,4.6,-0.9,11.8,4.4
86,2016-03-27,3.5,6.1,0.2,11.2,6.2
87,2016-03-28,4.0,6.5,2.4,6.7,6.6
88,2016-03-29,2.9,5.0,1.1,10.9,4.5
89,2016-03-30,4.2,8.5,1.6,4.9,5.8
90,2016-03-31,4.0,6.4,2.4,10.6,5.7
91,2016-04-01,2.5,4.6,1.4,5.6,9.8
92,2016-04-02,1.9,3.8,0.9,0.2,7.1
93,2016-04-03,4.8,6.3,2.9,0.0,7.5
94,2016-04-04,3.4,6.0,2.2,2.6,4.6
95,2016-04-05,4.0,7.3,-1.1,11.4,6.3
96,2016-04-06,4.1,6.9,2.3,12.4,8.5
97,2016-04-07,5.4,9.1,2.1,1.4,4.9
98,2016-04-08,4.4,6.7,2.8,0.1,7.3
99,2016-04-09,4.1,9.9,1.6,6.7,7.8
100,2016-04-10,3.2,5.0,1.8,9.9,7.1
101,2016-04-11,1.9,5.6,0.2,5.6,6.4
102,2016-04-12,2.7,5.3,0.4,11.9,8.6
103,2016-04-13,6.0,8.7,2.5,1.1,4.3
104,2016-04-14,5.8,11.7,2.7,7.8,4.8
105,2016-04-15,3.5,4.9,2.3,11.4,12.2
106,2016-04-16,4.3,8.3,1.6,10.7,7.0
107,2016-04-17,4.6,8.3,2.9,0.0,12.0
108,2016-04-18,4.5,8.2,2.7,1.9,13.0
109,2016-04-19,2.8,4.0,1.7,0.2,3.9
110,2016-04-20,5.0,7.7,1.6,12.8,4.4
111,2016-04-21,8.4,11.8,5.2,10.5,3.2
112,2016-04-22,7.0,13.6,3.8,9.6,10.4
113,2016-04-23,2.8,5.0,1.4,0.0,8.7
114,2016-04-24,4.9,7.6,2.9,5.1,5.9
115,2016-04-25,6.1,9.1,2.7,11.7,3.6
116,2016-04-26,4.1,8.7,1.8,6.9,6.3
117,2016-04-27,4.2,6.5,2.8,6.0,3.6
118,2016-04-28,4.0,6.4,0.8,4.8,10.9
119,2016-04-29,2.9,6.6,0.4,0.0,12.7
120,2016-04-30,3.5,5.7,0.5,12.0,13.2
121,2016-05-01,4.1,7.2,1.9,11.4,5.7
122,2016-05-02,5.6,8.9,2.6,11.8,3.2
123,2016-05-03,10.2,12.8,6.4,0.8,3.8
124,2016-05-04,8.8,11.7,5.9,1.0,7.6
125,2016-05-05,7.2,9.5,5.5,5.7,10.4
126,2016-05-06,6.2,11.8,3.5,7.3,6.3
127,2016-05-07,6.3,9.8,3.7,0.9,9.1
128,2016-05-08,7.0,9.7,4.9,12.0,12.4
129,2016-05-09,8.8,13.3,4.5,10.8,3.9
130,2016-05-10,7.0,11.0,4.4,4.1,16.0
131,2016-05-11,5.3,6.3,4.4,0.0,19.8
132,2016-05-12,6.0,8.9,3.9,5.7,10.2
133,2016-05-13,9.0,14.3,4.9,12.7,6.6
134,2016-05-14,9.4,14.0,6.1,11.0,5.3
135,2016-05-15,7.7,10.4,6.0,12.4,6.1
136,2016-05-16,8.1,10.8,6.3,0.1,9.0
137,2016-05-17,8.0,10.9,6.3,2.5,7.1
138,2016-05-18,9.4,14.6,6.0,13.0,5.9
139,2016-05-19,9.5,12.4,7.0,11.6,5.6
140,2016-05-20,8.8,11.9,6.8,12.9,7.6
141,2016-05-21,10.0,13.0,6.6,12.5,5.9
142,2016-05-22,9.6,13.7,7.5,5.7,6.8
143,2016-05-23,11.3,14.1,8.7,12.6,5.5
144,2016-05-24,10.5,13.6,8.8,7.0,11.3
145,2016-05-25,10.1,13.9,7.8,0.0,7.3
146,2016-05-26,10.9,15.0,7.8,0.0,4.9
147,2016-05-27,10.4,13.0,7.9,6.5,6.9
148,2016-05-28,10.7,13.5,7.2,13.7,7.9
149,2016-05-29,10.0,12.9,6.8,13.5,6.9
150,2016-05-30,7.0,8.8,5.8,4.5,10.1
151,2016-05-31,8.5,13.1,7.2,0.0,7.1
152,2016-06-01,9.0,11.1,7.4,3.5,6.3
153,2016-06-02,9.0,10.9,7.1,1.9,3.4
154,2016-06-03,9.0,11.3,6.6,5.7,5.5
155,2016-06-04,7.5,9.7,6.0,0.5,6.4
156,2016-06-05,7.8,9.8,5.9,0.0,5.6
157,2016-06-06,10.2,12.6,8.4,14.1,6.1
158,2016-06-07,12.9,16.3,9.7,11.3,4.4
159,2016-06-08,15.2,17.2,13.1,3.6,2.4
160,2016-06-09,13.9,15.2,11.0,0.0,2.2
161,2016-06-10,11.9,14.1,9.6,10.7,7.4
162,2016-06-11,12.1,17.2,9.3,14.2,4.2
163,2016-06-12,10.3,12.4,9.1,3.2,10.1
164,2016-06-13,10.6,12.4,9.0,0.0,9.4
165,2016-06-14,11.1,12.0,10.4,0.0,9.6
166,2016-06-15,10.1,11.3,9.1,0.3,7.9
167,2016-06-16,11.1,14.1,9.8,0.0,10.5
168,2016-06-17,10.9,14.6,10.0,0.0,9.3
169,2016-06-18,10.9,13.0,9.8,0.0,4.3
170,2016-06-19,10.5,12.2,9.2,4.8,6.7
171,2016-06-20,12.3,15.6,10.8,0.0,7.0
172,2016-06-21,12.2,14.4,11.5,3.1,11.7
173,2016-06-22,12.3,16.3,10.6,4.9,10.7
174,2016-06-23,10.7,11.7,9.3,0.3,15.2
175,2016-06-24,9.8,11.3,8.7,4.7,8.1
176,2016-06-25,11.0,11.6,10.4,0.5,12.5
177,2016-06-26,11.4,14.7,10.2,0.3,8.5
178,2016-06-27,12.8,15.3,10.9,11.7,6.5
179,2016-06-28,14.7,18.6,11.3,10.9,3.8
180,2016-06-29,12.8,14.4,10.4,2.8,5.8
181,2016-06-30,16.4,19.4,11.2,3.4,3.5
182,2016-07-01,15.1,18.8,12.7,0.0,5.4
183,2016-07-02,15.9,18.8,13.2,0.5,5.7
184,2016-07-03,14.1,16.2,12.0,5.8,10.2
185,2016-07-04,13.3,15.4,11.2,4.2,7.5
186,2016-07-05,11.8,13.6,10.4,1.4,5.8
187,2016-07-06,12.2,12.9,10.7,0.0,7.0
188,2016-07-07,13.6,15.8,12.1,13.1,6.4
189,2016-07-08,14.0,15.9,12.1,5.2,9.3
190,2016-07-09,15.1,18.5,12.9,6.8,5.9
191,2016-07-10,15.6,17.5,14.2,4.4,5.7
192,2016-07-11,16.3,18.1,15.2,0.8,2.4
193,2016-07-12,16.8,19.2,15.4,9.8,4.0
194,2016-07-13,16.2,17.5,15.2,4.3,6.8
195,2016-07-14,15.0,15.9,14.5,1.0,12.6
196,2016-07-15,16.4,18.0,14.4,12.9,10.1
197,2016-07-16,15.7,17.1,14.8,0.8,3.4
198,2016-07-17,15.6,16.5,15.2,0.0,3.9
199,2016-07-18,15.4,16.0,15.0,0.0,9.7
200,2016-07-19,15.2,16.0,14.5,0.0,7.7
201,2016-07-20,15.2,18.2,14.1,0.8,6.2
202,2016-07-21,16.0,17.8,15.0,6.6,4.2
203,2016-07-22,14.9,15.9,14.4,1.9,8.0
204,2016-07-23,15.5,17.1,14.3,5.0,8.5
205,2016-07-24,15.9,17.7,14.6,6.2,8.0
206,2016-07-25,16.0,18.4,14.9,2.8,3.4
207,2016-07-26,16.2,17.2,15.0,0.0,3.2
208,2016-07-27,17.2,18.3,16.0,0.0,6.0
209,2016-07-28,18.6,19.3,17.0,0.0,6.5
210,2016-07-29,19.7,20.7,18.4,0.0,2.6
