Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,avg_wind_speed,avg_local_pressure,avg_sea_pressure,cloud_cover
0,2016-01-01,6.4,11.6,2.6,7.5,2.5,1027.4,1029.4,5.8
1,2016-01-02,9.9,14.1,6.1,6.4,3.5,1021.8,1023.8,7.5
2,2016-01-03,10.0,16.5,5.5,5.8,2.4,1017.1,1019.1,6.5
3,2016-01-04,9.2,15.3,4.5,2.9,2.8,1016.8,1018.8,5.0
4,2016-01-05,7.2,10.8,4.7,0.1,2.3,1020.2,1022.2,7.5
5,2016-01-06,7.0,12.3,2.9,3.3,2.4,1018.1,1020.1,10.0
6,2016-01-07,5.1,7.0,2.5,0.0,2.0,1016.7,1018.7,9.8
7,2016-01-08,4.6,9.4,1.0,1.7,3.2,1015.9,1017.9,9.3
8,2016-01-09,5.5,9.8,2.5,2.0,2.4,1019.6,1021.6,9.5
9,2016-01-10,6.5,10.0,2.7,1.1,3.2,1020.7,1022.7,9.5
10,2016-01-11,6.2,10.6,3.9,2.4,2.5,1019.1,1021.1,9.8
11,2016-01-12,3.1,4.7,1.6,0.0,1.9,1016.1,1018.1,10.0
12,2016-01-13,3.2,8.2,0.5,1.4,2.9,1014.1,1016.1,7.8
13,2016-01-14,3.9,7.6,0.8,2.7,3.0,1016.2,1018.2,7.5
14,2016-01-15,3.7,7.4,1.0,3.8,2.6,1018.6,1020.6,9.0
15,2016-01-16,4.1,9.2,1.5,3.8,1.9,1020.7,1022.7,7.8
16,2016-01-17,4.6,9.3,0.2,0.3,1.8,1016.4,1018.4,10.0
17,2016-01-18,4.5,8.6,0.9,0.3,4.2,1000.5,1002.5,9.5
18,2016-01-19,-0.1,1.9,-2.0,3.0,7.0,1008.3,1010.3,9.5
19,2016-01-20,4.2,8.3,-1.8,3.1,5.8,1017.6,1019.6,9.3
20,2016-01-21,2.5,4.3,1.1,0.0,1.7,1020.4,1022.4,10.0
21,2016-01-22,2.0,3.3,0.6,0.0,1.8,1022.2,1024.2,10.0
22,2016-01-23,2.0,7.1,-0.8,1.2,3.9,1018.2,1020.2,10.0
23,2016-01-24,-3.5,-0.8,-5.4,4.8,5.6,1013.9,1015.9,8.0
24,2016-01-25,0.7,4.9,-4.3,6.0,3.6,1021.0,1023.0,6.8
25,2016-01-26,2.8,7.6,-3.5,1.4,3.5,1022.8,1024.8,7.5
26,2016-01-27,5.8,9.5,2.8,2.8,2.6,1026.3,1028.3,10.0
27,2016-01-28,5.8,11.9,0.9,0.5,2.3,1026.2,1028.2,9.5
28,2016-01-29,6.2,7.8,4.9,0.0,1.3,1018.7,1020.7,10.0
29,2016-01-30,7.0,9.6,5.7,1.0,2.7,1020.3,1022.3,10.0
30,2016-01-31,6.4,10.4,3.5,3.9,2.2,1021.9,1023.9,7.0
31,2016-02-01,4.6,6.0,2.9,0.0,2.1,1019.7,1021.7,10.0
32,2016-02-02,3.3,5.0,1.6,0.0,1.8,1020.2,1022.2,10.0
33,2016-02-03,3.3,7.9,1.3,2.4,1.7,1022.6,1024.6,9.3
34,2016-02-04,4.9,10.6,0.4,5.3,3.2,1020.1,1022.1,8.3
35,2016-02-05,5.2,10.6,2.0,4.1,2.5,1017.2,1019.2,7.5
36,2016-02-06,3.2,7.5,0.2,2.7,2.7,1015.3,1017.3,10.0
37,2016-02-07,1.5,3.8,-1.5,2.4,3.0,1018.7,1020.7,7.5
38,2016-02-08,3.0,10.0,-3.0,7.0,3.2,1015.9,1017.8,7.0
39,2016-02-09,4.9,7.1,2.5,0.7,5.0,1014.4,1016.4,9.0
40,2016-02-10,4.6,8.9,-0.2,4.8,3.1,1024.5,1026.5,6.3
41,2016-02-11,4.7,13.4,-1.6,10.0,2.4,1027.9,1029.9,1.0
42,2016-02-12,11.9,17.5,1.8,7.0,5.2,1023.4,1025.4,7.5
43,2016-02-13,15.8,18.6,12.5,0.0,3.5,1011.8,1013.7,10.0
44,2016-02-14,12.7,19.5,6.9,0.0,5.1,1002.8,1004.7,10.0
45,2016-02-15,1.8,7.0,-0.1,0.0,2.9,1010.2,1012.2,10.0
46,2016-02-16,1.5,5.5,-3.1,8.4,2.7,1014.3,1016.3,4.0
47,2016-02-17,1.8,3.5,0.5,0.3,2.4,1019.3,1021.3,10.0
48,2016-02-18,3.5,10.6,-1.5,9.6,3.2,1022.9,1024.9,1.3
49,2016-02-19,8.2,15.7,2.8,7.4,2.8,1024.7,1026.7,6.5
50,2016-02-20,6.2,8.3,5.0,0.0,2.2,1016.5,1018.5,10.0
51,2016-02-21,4.7,7.7,2.2,1.1,3.3,1023.5,1025.5,9.8
52,2016-02-22,4.9,10.2,0.4,5.0,2.0,1028.6,1030.6,10.0
53,2016-02-23,6.9,9.9,2.8,0.7,2.9,1023.2,1025.2,10.0
54,2016-02-24,2.2,7.3,-0.3,0.0,3.1,1026.6,1028.6,9.3
55,2016-02-25,2.3,6.5,-1.2,4.9,2.5,1028.4,1030.4,7.0
56,2016-02-26,3.5,8.5,0.7,3.7,3.2,1027.4,1029.4,6.5
57,2016-02-27,6.9,11.5,2.3,0.0,3.8,1023.7,1025.7,10.0
58,2016-02-28,9.4,15.3,1.2,8.6,4.1,1020.3,1022.2,3.3
59,2016-02-29,5.4,13.2,-0.1,3.1,5.7,1014.7,1016.7,10.0
60,2016-03-01,1.9,4.8,-0.1,1.5,4.4,1022.2,1024.2,8.3
61,2016-03-02,4.9,11.5,-0.1,7.6,3.1,1022.9,1024.9,5.5
