Unnamed: 0,calendar_date,deepest_snowfall
0,2016-01-01,0
1,2016-01-02,0
2,2016-01-03,0
3,2016-01-04,0
4,2016-01-05,0
5,2016-01-06,4
6,2016-01-07,3
7,2016-01-08,1
8,2016-01-09,1
9,2016-01-10,4
10,2016-01-11,3
11,2016-01-12,2
12,2016-01-13,2
13,2016-01-14,6
14,2016-01-15,18
15,2016-01-16,18
16,2016-01-17,12
17,2016-01-18,40
18,2016-01-19,76
19,2016-01-20,70
20,2016-01-21,64
21,2016-01-22,60
22,2016-01-23,57
23,2016-01-24,55
24,2016-01-25,53
25,2016-01-26,52
26,2016-01-27,50
27,2016-01-28,48
28,2016-01-29,47
29,2016-01-30,54
30,2016-01-31,53
31,2016-02-01,48
32,2016-02-02,47
33,2016-02-03,46
34,2016-02-04,45
35,2016-02-05,49
36,2016-02-06,47
37,2016-02-07,46
38,2016-02-08,45
39,2016-02-09,53
40,2016-02-10,52
41,2016-02-11,47
42,2016-02-12,46
43,2016-02-13,46
44,2016-02-14,38
45,2016-02-15,32
46,2016-02-16,35
47,2016-02-17,40
48,2016-02-18,40
49,2016-02-19,33
50,2016-02-20,41
51,2016-02-21,63
52,2016-02-22,63
53,2016-02-23,58
54,2016-02-24,55
55,2016-02-25,54
56,2016-02-26,53
57,2016-02-27,51
58,2016-02-28,49
59,2016-02-29,84
60,2016-03-01,89
61,2016-03-02,80
62,2016-03-03,86
63,2016-03-04,85
64,2016-03-05,79
65,2016-03-06,75
66,2016-03-07,69
67,2016-03-08,52
68,2016-03-09,49
69,2016-03-10,49
70,2016-03-11,49
71,2016-03-12,48
72,2016-03-13,47
73,2016-03-14,46
74,2016-03-15,48
75,2016-03-16,46
76,2016-03-17,39
77,2016-03-18,33
78,2016-03-19,27
79,2016-03-20,23
80,2016-03-21,23
81,2016-03-22,20
82,2016-03-23,18
83,2016-03-24,16
84,2016-03-25,15
85,2016-03-26,13
86,2016-03-27,9
87,2016-03-28,6
88,2016-03-29,3
89,2016-03-30,0
90,2016-03-31,0
91,2016-04-01,0
92,2016-04-02,0
93,2016-04-03,0
94,2016-04-04,0
95,2016-04-05,0
96,2016-04-06,0
97,2016-04-07,0
98,2016-04-08,0
99,2016-04-09,0
100,2016-04-10,0
101,2016-04-11,0
102,2016-04-12,0
103,2016-04-13,0
104,2016-04-14,0
105,2016-04-15,0
106,2016-04-16,0
107,2016-04-17,0
108,2016-04-18,0
109,2016-04-19,0
110,2016-04-20,0
111,2016-04-21,0
112,2016-04-22,0
113,2016-04-23,0
114,2016-04-24,0
115,2016-04-25,0
116,2016-04-26,0
117,2016-04-27,0
118,2016-04-28,0
119,2016-04-29,0
120,2016-04-30,0
121,2016-05-01,0
122,2016-05-02,0
123,2016-05-03,0
124,2016-05-04,0
125,2016-05-05,0
126,2016-05-06,0
127,2016-05-07,0
128,2016-05-08,0
129,2016-05-09,0
130,2016-05-10,0
131,2016-05-11,0
132,2016-05-12,0
133,2016-05-13,0
134,2016-05-14,0
135,2016-05-15,0
136,2016-05-16,0
137,2016-05-17,0
138,2016-05-18,0
139,2016-05-19,0
140,2016-05-20,0
141,2016-05-21,0
142,2016-05-22,0
143,2016-05-23,0
144,2016-05-24,0
145,2016-05-25,0
146,2016-05-26,0
147,2016-05-27,0
148,2016-05-28,0
149,2016-05-29,0
150,2016-05-30,0
151,2016-05-31,0
152,2016-06-01,0
153,2016-06-02,0
154,2016-06-03,0
155,2016-06-04,0
156,2016-06-05,0
157,2016-06-06,0
158,2016-06-07,0
159,2016-06-08,0
160,2016-06-09,0
161,2016-06-10,0
162,2016-06-11,0
163,2016-06-12,0
164,2016-06-13,0
165,2016-06-14,0
166,2016-06-15,0
167,2016-06-16,0
168,2016-06-17,0
169,2016-06-18,0
170,2016-06-19,0
171,2016-06-20,0
172,2016-06-21,0
173,2016-06-22,0
174,2016-06-23,0
175,2016-06-24,0
176,2016-06-25,0
177,2016-06-26,0
178,2016-06-27,0
179,2016-06-28,0
180,2016-06-29,0
181,2016-06-30,0
182,2016-07-01,0
183,2016-07-02,0
184,2016-07-03,0
185,2016-07-04,0
186,2016-07-05,0
187,2016-07-06,0
188,2016-07-07,0
189,2016-07-08,0
190,2016-07-09,0
191,2016-07-10,0
192,2016-07-11,0
193,2016-07-12,0
194,2016-07-13,0
195,2016-07-14,0
196,2016-07-15,0
197,2016-07-16,0
198,2016-07-17,0
199,2016-07-18,0
200,2016-07-19,0
201,2016-07-20,0
202,2016-07-21,0
203,2016-07-22,0
204,2016-07-23,0
205,2016-07-24,0
206,2016-07-25,0
207,2016-07-26,0
208,2016-07-27,0
209,2016-07-28,0
210,2016-07-29,0
211,2016-07-30,0
212,2016-07-31,0
213,2016-08-01,0
214,2016-08-02,0
215,2016-08-03,0
216,2016-08-04,0
217,2016-08-05,0
218,2016-08-06,0
219,2016-08-07,0
220,2016-08-08,0
221,2016-08-09,0
222,2016-08-10,0
223,2016-08-11,0
224,2016-08-12,0
225,2016-08-13,0
226,2016-08-14,0
227,2016-08-15,0
228,2016-08-16,0
229,2016-08-17,0
230,2016-08-18,0
231,2016-08-19,0
232,2016-08-20,0
233,2016-08-21,0
234,2016-08-22,0
235,2016-08-23,0
236,2016-08-24,0
237,2016-08-25,0
238,2016-08-26,0
239,2016-08-27,0
240,2016-08-28,0
241,2016-08-29,0
242,2016-08-30,0
243,2016-08-31,0
244,2016-09-01,0
245,2016-09-02,0
246,2016-09-03,0
247,2016-09-04,0
248,2016-09-05,0
249,2016-09-06,0
250,2016-09-07,0
251,2016-09-08,0
252,2016-09-09,0
253,2016-09-10,0
254,2016-09-11,0
255,2016-09-12,0
256,2016-09-13,0
257,2016-09-14,0
258,2016-09-15,0
259,2016-09-16,0
260,2016-09-17,0
261,2016-09-18,0
262,2016-09-19,0
263,2016-09-20,0
264,2016-09-21,0
265,2016-09-22,0
266,2016-09-23,0
267,2016-09-24,0
268,2016-09-25,0
269,2016-09-26,0
270,2016-09-27,0
271,2016-09-28,0
272,2016-09-29,0
273,2016-09-30,0
274,2016-10-01,0
275,2016-10-02,0
276,2016-10-03,0
277,2016-10-04,0
278,2016-10-05,0
279,2016-10-06,0
280,2016-10-07,0
281,2016-10-08,0
282,2016-10-09,0
283,2016-10-10,0
284,2016-10-11,0
285,2016-10-12,0
286,2016-10-13,0
287,2016-10-14,0
288,2016-10-15,0
289,2016-10-16,0
290,2016-10-17,0
291,2016-10-18,0
292,2016-10-19,0
293,2016-10-20,0
294,2016-10-21,0
295,2016-10-22,0
296,2016-10-23,0
297,2016-10-24,0
298,2016-10-25,0
299,2016-10-26,0
300,2016-10-27,0
301,2016-10-28,0
302,2016-10-29,0
303,2016-10-30,0
304,2016-10-31,0
305,2016-11-01,0
306,2016-11-02,0
307,2016-11-03,0
308,2016-11-04,0
309,2016-11-05,0
310,2016-11-06,0
311,2016-11-07,0
312,2016-11-08,0
313,2016-11-09,0
314,2016-11-10,0
315,2016-11-11,0
316,2016-11-12,0
317,2016-11-13,0
318,2016-11-14,0
319,2016-11-15,0
320,2016-11-16,0
321,2016-11-17,0
322,2016-11-18,0
323,2016-11-19,0
324,2016-11-20,0
325,2016-11-21,0
326,2016-11-22,0
327,2016-11-23,0
328,2016-11-24,0
329,2016-11-25,0
330,2016-11-26,0
331,2016-11-27,2
332,2016-11-28,0
333,2016-11-29,0
334,2016-11-30,0
335,2016-12-01,0
336,2016-12-02,4
337,2016-12-03,3
338,2016-12-04,1
339,2016-12-05,0
340,2016-12-06,0
341,2016-12-07,0
342,2016-12-08,0
343,2016-12-09,9
344,2016-12-10,8
345,2016-12-11,8
346,2016-12-12,8
347,2016-12-13,12
348,2016-12-14,13
349,2016-12-15,16
350,2016-12-16,17
351,2016-12-17,15
352,2016-12-18,14
353,2016-12-19,8
354,2016-12-20,8
355,2016-12-21,8
356,2016-12-22,46
357,2016-12-23,78
358,2016-12-24,79
359,2016-12-25,71
360,2016-12-26,66
361,2016-12-27,58
362,2016-12-28,57
363,2016-12-29,55
364,2016-12-30,58
365,2016-12-31,66
366,2017-01-01,61
367,2017-01-02,58
368,2017-01-03,57
369,2017-01-04,59
370,2017-01-05,60
371,2017-01-06,58
372,2017-01-07,57
373,2017-01-08,56
374,2017-01-09,63
375,2017-01-10,64
376,2017-01-11,63
377,2017-01-12,62
378,2017-01-13,62
379,2017-01-14,60
380,2017-01-15,59
381,2017-01-16,77
382,2017-01-17,76
383,2017-01-18,72
384,2017-01-19,98
385,2017-01-20,91
386,2017-01-21,85
387,2017-01-22,92
388,2017-01-23,93
389,2017-01-24,87
390,2017-01-25,84
391,2017-01-26,81
392,2017-01-27,78
393,2017-01-28,72
394,2017-01-29,70
395,2017-01-30,75
396,2017-01-31,75
397,2017-02-01,77
398,2017-02-02,76
399,2017-02-03,74
400,2017-02-04,72
401,2017-02-05,71
402,2017-02-06,87
403,2017-02-07,86
404,2017-02-08,84
405,2017-02-09,83
406,2017-02-10,81
407,2017-02-11,80
408,2017-02-12,79
409,2017-02-13,77
410,2017-02-14,78
411,2017-02-15,77
412,2017-02-16,75
413,2017-02-17,70
414,2017-02-18,64
415,2017-02-19,62
416,2017-02-20,86
417,2017-02-21,86
418,2017-02-22,82
419,2017-02-23,89
420,2017-02-24,89
421,2017-02-25,86
422,2017-02-26,91
423,2017-02-27,87
424,2017-02-28,85
425,2017-03-01,82
426,2017-03-02,78
427,2017-03-03,71
428,2017-03-04,68
429,2017-03-05,68
430,2017-03-06,85
431,2017-03-07,87
432,2017-03-08,73
433,2017-03-09,70
434,2017-03-10,69
435,2017-03-11,68
436,2017-03-12,66
437,2017-03-13,64
438,2017-03-14,64
439,2017-03-15,63
440,2017-03-16,63
441,2017-03-17,60
442,2017-03-18,58
443,2017-03-19,57
444,2017-03-20,54
445,2017-03-21,61
446,2017-03-22,69
447,2017-03-23,62
448,2017-03-24,61
449,2017-03-25,58
450,2017-03-26,56
451,2017-03-27,55
452,2017-03-28,53
453,2017-03-29,51
454,2017-03-30,71
455,2017-03-31,73
456,2017-04-01,66
457,2017-04-02,62
458,2017-04-03,55
459,2017-04-04,52
460,2017-04-05,49
461,2017-04-06,38
462,2017-04-07,23
463,2017-04-08,8
464,2017-04-09,5
465,2017-04-10,1
466,2017-04-11,0
467,2017-04-12,0
468,2017-04-13,0
469,2017-04-14,0
470,2017-04-15,0
471,2017-04-16,0
472,2017-04-17,0
473,2017-04-18,0
474,2017-04-19,0
475,2017-04-20,0
476,2017-04-21,0
477,2017-04-22,0
478,2017-04-23,0
479,2017-04-24,0
480,2017-04-25,0
481,2017-04-26,0
482,2017-04-27,0
483,2017-04-28,0
484,2017-04-29,0
485,2017-04-30,0
486,2017-05-01,0
487,2017-05-02,0
488,2017-05-03,0
489,2017-05-04,0
490,2017-05-05,0
491,2017-05-06,0
492,2017-05-07,0
493,2017-05-08,0
494,2017-05-09,0
495,2017-05-10,0
496,2017-05-11,0
497,2017-05-12,0
498,2017-05-13,0
499,2017-05-14,0
500,2017-05-15,0
501,2017-05-16,0
502,2017-05-17,0
503,2017-05-18,0
504,2017-05-19,0
505,2017-05-20,0
506,2017-05-21,0
507,2017-05-22,0
508,2017-05-23,0
509,2017-05-24,0
510,2017-05-25,0
511,2017-05-26,0
512,2017-05-27,0
513,2017-05-28,0
514,2017-05-29,0
515,2017-05-30,0
516,2017-05-31,0
