Unnamed: 0,calendar_date,avg_wind_speed
0,2016-01-01,1.9
1,2016-01-02,3.0
2,2016-01-03,1.7
3,2016-01-04,1.2
4,2016-01-05,1.3
5,2016-01-06,2.1
6,2016-01-07,2.8
7,2016-01-08,1.6
8,2016-01-09,2.0
9,2016-01-10,1.0
10,2016-01-11,0.9
11,2016-01-12,3.2
12,2016-01-13,2.2
13,2016-01-14,1.7
14,2016-01-15,1.3
15,2016-01-16,1.4
16,2016-01-17,4.8
17,2016-01-18,6.0
18,2016-01-19,5.9
19,2016-01-20,2.4
20,2016-01-21,2.0
21,2016-01-22,3.5
22,2016-01-23,3.4
23,2016-01-24,8.2
24,2016-01-25,2.8
25,2016-01-26,2.1
26,2016-01-27,1.0
27,2016-01-28,3.7
28,2016-01-29,4.1
29,2016-01-30,1.5
30,2016-01-31,1.8
31,2016-02-01,2.4
32,2016-02-02,1.9
33,2016-02-03,2.0
34,2016-02-04,1.8
35,2016-02-05,1.9
36,2016-02-06,3.0
37,2016-02-07,2.7
38,2016-02-08,4.6
39,2016-02-09,2.0
40,2016-02-10,1.3
41,2016-02-11,4.0
42,2016-02-12,6.8
43,2016-02-13,5.4
44,2016-02-14,2.9
45,2016-02-15,4.2
46,2016-02-16,3.6
47,2016-02-17,2.8
48,2016-02-18,1.0
49,2016-02-19,3.3
50,2016-02-20,4.4
51,2016-02-21,2.2
52,2016-02-22,2.8
53,2016-02-23,3.4
54,2016-02-24,4.0
55,2016-02-25,2.4
56,2016-02-26,1.5
57,2016-02-27,1.7
58,2016-02-28,2.4
59,2016-02-29,4.0
60,2016-03-01,2.0
61,2016-03-02,1.5
62,2016-03-03,1.6
63,2016-03-04,3.4
64,2016-03-05,4.0
65,2016-03-06,2.5
66,2016-03-07,1.4
67,2016-03-08,2.5
68,2016-03-09,3.9
69,2016-03-10,2.5
70,2016-03-11,2.5
71,2016-03-12,2.0
72,2016-03-13,3.6
73,2016-03-14,3.8
74,2016-03-15,2.4
75,2016-03-16,2.2
76,2016-03-17,4.1
77,2016-03-18,4.5
78,2016-03-19,2.7
79,2016-03-20,2.0
80,2016-03-21,2.0
81,2016-03-22,2.5
82,2016-03-23,2.0
83,2016-03-24,3.3
84,2016-03-25,2.4
85,2016-03-26,3.1
86,2016-03-27,2.5
87,2016-03-28,2.8
88,2016-03-29,1.6
89,2016-03-30,1.4
90,2016-03-31,2.9
91,2016-04-01,3.5
92,2016-04-02,2.2
93,2016-04-03,2.1
94,2016-04-04,3.1
95,2016-04-05,1.5
96,2016-04-06,1.7
97,2016-04-07,3.5
98,2016-04-08,1.8
99,2016-04-09,1.7
100,2016-04-10,3.0
101,2016-04-11,2.4
102,2016-04-12,4.0
103,2016-04-13,3.1
104,2016-04-14,2.8
105,2016-04-15,2.8
106,2016-04-16,5.4
107,2016-04-17,3.4
108,2016-04-18,1.9
109,2016-04-19,2.8
110,2016-04-20,3.6
111,2016-04-21,4.3
