Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature
0,2016-01-01,-4.7,-3.2,-6.3
1,2016-01-02,-2.0,-0.1,-4.1
2,2016-01-03,-3.2,-2.1,-4.7
3,2016-01-04,-5.2,-3.0,-7.5
4,2016-01-05,-6.5,-4.8,-7.7
5,2016-01-06,-5.3,-3.4,-6.8
6,2016-01-07,-6.2,-5.1,-7.5
7,2016-01-08,-5.4,-3.2,-7.6
8,2016-01-09,-6.4,-5.0,-7.9
9,2016-01-10,-7.0,-4.8,-12.8
10,2016-01-11,-11.8,-8.9,-18.2
11,2016-01-12,-9.5,-6.9,-13.8
12,2016-01-13,-8.1,-5.4,-10.9
13,2016-01-14,-8.6,-6.1,-15.3
14,2016-01-15,-17.3,-7.7,-25.3
15,2016-01-16,-14.4,-7.9,-18.2
16,2016-01-17,-14.5,-7.0,-25.2
17,2016-01-18,-9.8,-2.0,-22.4
18,2016-01-19,-2.0,-1.4,-3.1
19,2016-01-20,-3.6,-2.8,-4.7
20,2016-01-21,-7.3,-2.0,-11.9
21,2016-01-22,-5.2,-2.0,-12.7
22,2016-01-23,-6.1,-4.0,-11.5
23,2016-01-24,-11.7,-6.5,-20.6
24,2016-01-25,-15.2,-7.6,-27.1
25,2016-01-26,-2.6,0.4,-7.6
26,2016-01-27,-4.1,-0.7,-5.4
27,2016-01-28,-7.4,-3.6,-9.8
28,2016-01-29,-9.4,-6.9,-11.8
29,2016-01-30,-15.7,-7.6,-26.0
30,2016-01-31,-10.8,-7.6,-16.3
31,2016-02-01,-11.7,-9.2,-14.9
32,2016-02-02,-10.6,-6.8,-14.8
33,2016-02-03,-10.7,-6.4,-22.5
34,2016-02-04,-4.2,-1.2,-10.2
35,2016-02-05,-4.8,-2.2,-8.1
36,2016-02-06,-8.1,-5.6,-13.2
37,2016-02-07,-8.3,-4.9,-12.3
38,2016-02-08,-10.9,-6.0,-18.9
39,2016-02-09,-11.1,-4.6,-19.0
40,2016-02-10,-4.3,-1.9,-14.1
41,2016-02-11,-7.0,-2.4,-16.0
42,2016-02-12,-1.3,2.0,-6.9
43,2016-02-13,2.4,4.0,0.4
44,2016-02-14,-4.5,0.7,-7.7
45,2016-02-15,-9.5,-5.6,-13.6
46,2016-02-16,-7.9,-5.8,-10.5
47,2016-02-17,-6.9,-5.6,-8.0
48,2016-02-18,-3.2,-0.2,-7.3
49,2016-02-19,-1.5,2.0,-4.9
50,2016-02-20,-1.3,1.0,-5.0
51,2016-02-21,-3.6,-2.2,-7.2
52,2016-02-22,-6.0,-2.6,-9.7
53,2016-02-23,-6.6,-2.8,-14.3
54,2016-02-24,-14.1,-8.9,-24.0
55,2016-02-25,-11.2,-7.6,-14.9
56,2016-02-26,-10.0,-6.1,-18.5
57,2016-02-27,-11.0,-5.6,-20.4
58,2016-02-28,-10.5,-3.7,-23.0
59,2016-02-29,-5.6,-1.8,-13.6
60,2016-03-01,-6.0,-2.0,-14.9
61,2016-03-02,-10.7,-3.2,-18.9
62,2016-03-03,-14.4,-3.3,-25.2
63,2016-03-04,-13.1,-2.5,-21.7
64,2016-03-05,-9.0,0.9,-20.2
65,2016-03-06,-1.7,3.9,-12.7
