Unnamed: 0,calendar_date,precipitation,deepest_snowfall
0,2016-01-01,10.0,8
1,2016-01-02,18.0,4
2,2016-01-03,16.0,0
3,2016-01-04,11.5,0
4,2016-01-05,31.0,4
5,2016-01-06,6.5,4
6,2016-01-07,6.5,0
7,2016-01-08,16.0,2
8,2016-01-09,1.0,0
9,2016-01-10,28.5,2
10,2016-01-11,3.5,5
11,2016-01-12,9.0,15
12,2016-01-13,11.0,19
13,2016-01-14,17.0,22
14,2016-01-15,4.0,29
15,2016-01-16,5.0,31
16,2016-01-17,7.5,39
17,2016-01-18,7.5,29
18,2016-01-19,41.0,31
19,2016-01-20,15.5,40
20,2016-01-21,12.0,48
21,2016-01-22,8.0,53
22,2016-01-23,3.0,54
23,2016-01-24,16.5,72
24,2016-01-25,10.0,74
25,2016-01-26,4.0,73
26,2016-01-27,36.5,58
27,2016-01-28,9.5,48
28,2016-01-29,0.0,44
29,2016-01-30,9.0,54
30,2016-01-31,14.0,82
31,2016-02-01,4.0,88
32,2016-02-02,4.0,71
33,2016-02-03,9.0,75
34,2016-02-04,5.0,67
35,2016-02-05,10.0,56
36,2016-02-06,12.5,71
37,2016-02-07,2.0,72
38,2016-02-08,0.0,65
39,2016-02-09,11.0,58
40,2016-02-10,4.0,62
41,2016-02-11,0.0,59
42,2016-02-12,0.0,55
43,2016-02-13,0.5,51
44,2016-02-14,9.0,44
45,2016-02-15,12.5,28
46,2016-02-16,11.5,41
47,2016-02-17,8.0,48
48,2016-02-18,0.5,44
49,2016-02-19,8.5,31
50,2016-02-20,11.0,22
51,2016-02-21,10.0,19
52,2016-02-22,0.0,12
53,2016-02-23,12.0,11
54,2016-02-24,2.5,13
55,2016-02-25,9.0,26
56,2016-02-26,13.5,39
57,2016-02-27,8.5,40
58,2016-02-28,0.5,20
59,2016-02-29,17.5,16
60,2016-03-01,3.5,17
61,2016-03-02,6.5,26
62,2016-03-03,12.5,17
63,2016-03-04,0.0,11
64,2016-03-05,0.0,8
