Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,deepest_snowfall,total_snowfall
0,2016-01-01,0.1,3.8,-4.5,0.0,0,0
1,2016-01-02,2.8,6.1,-1.1,2.5,0,0
2,2016-01-03,5.4,7.1,3.6,0.5,0,0
3,2016-01-04,3.9,6.6,2.0,1.0,0,0
4,2016-01-05,0.8,2.7,-0.5,0.0,0,0
5,2016-01-06,1.5,3.3,0.2,0.0,0,0
6,2016-01-07,1.2,3.2,-0.5,0.0,0,0
7,2016-01-08,0.8,3.4,-0.9,0.5,0,0
8,2016-01-09,0.6,3.4,-0.9,0.0,0,0
9,2016-01-10,0.1,4.1,-2.6,3.0,1,1
10,2016-01-11,-2.1,0.1,-3.9,0.0,0,0
11,2016-01-12,-1.7,0.6,-4.0,0.0,0,0
12,2016-01-13,-0.7,2.0,-3.8,0.0,0,0
13,2016-01-14,-0.7,1.6,-4.3,2.0,0,0
14,2016-01-15,-3.1,1.7,-7.0,0.0,0,0
15,2016-01-16,-2.9,0.7,-7.1,0.0,0,0
16,2016-01-17,-1.5,1.7,-4.5,0.0,0,0
17,2016-01-18,-0.7,2.7,-3.6,22.0,9,9
18,2016-01-19,0.5,2.6,-2.2,20.0,24,32
19,2016-01-20,-0.2,3.5,-4.0,1.0,24,2
20,2016-01-21,0.4,2.8,-1.1,0.0,19,1
21,2016-01-22,-1.3,1.7,-5.3,0.0,17,3
22,2016-01-23,-1.3,1.3,-5.9,0.0,17,3
23,2016-01-24,-2.2,1.4,-4.9,4.0,24,10
24,2016-01-25,-2.3,0.4,-7.9,0.5,23,2
25,2016-01-26,0.6,3.6,-2.4,0.0,20,1
26,2016-01-27,2.4,4.1,0.7,1.0,15,2
27,2016-01-28,2.1,4.2,-1.1,0.0,12,0
28,2016-01-29,-1.1,1.8,-4.4,0.0,10,0
29,2016-01-30,-0.7,2.4,-2.7,0.0,11,2
30,2016-01-31,-0.2,2.6,-2.0,0.0,11,1
31,2016-02-01,-1.7,0.2,-2.9,0.0,10,3
32,2016-02-02,-2.1,0.5,-3.7,0.0,12,6
33,2016-02-03,-0.5,2.6,-4.1,0.0,10,2
34,2016-02-04,0.4,4.2,-5.5,0.0,9,3
35,2016-02-05,2.0,4.5,0.5,0.0,7,1
36,2016-02-06,0.2,3.9,-2.9,0.0,6,1
37,2016-02-07,-1.9,1.4,-4.5,0.5,12,8
38,2016-02-08,0.2,5.2,-3.1,0.5,13,3
39,2016-02-09,2.0,6.3,-0.9,0.0,5,1
40,2016-02-10,0.0,2.3,-1.0,2.5,10,8
41,2016-02-11,1.0,5.0,-2.8,0.0,5,1
42,2016-02-12,0.3,6.6,-6.8,0.0,4,0
43,2016-02-13,3.5,6.3,0.2,0.0,4,2
44,2016-02-14,5.7,13.1,2.9,1.0,0,0
45,2016-02-15,-0.4,5.3,-4.1,2.0,0,0
46,2016-02-16,-1.6,1.9,-4.3,1.0,0,0
47,2016-02-17,-1.2,1.0,-3.1,2.5,0,0
48,2016-02-18,1.9,8.4,-2.8,0.0,0,0
49,2016-02-19,3.4,9.2,-2.3,4.5,0,0
50,2016-02-20,4.2,6.2,1.2,17.0,0,0
51,2016-02-21,3.8,7.4,0.2,4.0,0,0
52,2016-02-22,0.6,4.0,-2.0,0.0,0,0
53,2016-02-23,0.2,3.8,-3.2,2.5,0,0
54,2016-02-24,-0.9,1.5,-3.0,1.0,0,0
55,2016-02-25,-1.3,2.7,-3.4,0.0,0,0
56,2016-02-26,-0.9,3.1,-5.4,1.0,0,0
57,2016-02-27,0.9,4.7,-2.1,7.5,9,9
58,2016-02-28,1.0,4.7,-3.2,2.5,13,4
59,2016-02-29,3.2,6.4,1.2,4.0,0,0
60,2016-03-01,-1.1,1.7,-2.9,2.5,2,2
61,2016-03-02,-1.1,1.3,-3.4,3.0,0,0
62,2016-03-03,1.5,7.1,-4.1,13.0,16,16
63,2016-03-04,2.1,7.6,-3.9,0.0,2,0
64,2016-03-05,3.3,9.7,-2.7,0.0,0,0
65,2016-03-06,6.3,9.4,3.9,0.0,0,0
66,2016-03-07,8.5,12.6,5.0,3.0,0,0
67,2016-03-08,8.2,11.8,4.0,0.0,0,0
68,2016-03-09,3.6,6.6,2.0,0.0,0,0
69,2016-03-10,1.8,5.9,-1.3,0.0,0,0
70,2016-03-11,1.3,5.4,-1.5,0.0,0,0
71,2016-03-12,1.1,6.2,-3.6,0.0,0,0
72,2016-03-13,2.5,8.6,-5.3,0.0,0,0
73,2016-03-14,6.0,11.4,1.2,0.0,0,0
74,2016-03-15,4.7,8.0,1.3,0.0,0,0
75,2016-03-16,7.6,13.6,2.7,0.0,0,0
76,2016-03-17,9.9,16.1,1.8,0.0,0,0
77,2016-03-18,10.6,20.7,1.0,0.0,0,0
78,2016-03-19,10.4,15.4,6.3,1.5,0,0
79,2016-03-20,6.9,10.7,3.5,0.0,0,0
80,2016-03-21,3.9,7.7,0.5,0.0,0,0
81,2016-03-22,5.2,9.0,1.6,4.5,0,0
82,2016-03-23,4.7,8.2,1.5,0.0,0,0
83,2016-03-24,3.2,8.4,-1.0,0.0,0,0
84,2016-03-25,2.9,7.6,-1.4,0.0,0,0
85,2016-03-26,4.4,10.2,-0.1,0.0,0,0
86,2016-03-27,5.3,13.1,-2.9,0.0,0,0
87,2016-03-28,7.2,14.5,-0.7,0.0,0,0
88,2016-03-29,8.3,16.5,-0.1,0.0,0,0
89,2016-03-30,9.3,17.1,4.9,0.5,0,0
90,2016-03-31,8.5,14.1,1.4,4.5,0,0
91,2016-04-01,7.7,16.4,0.0,0.0,0,0
92,2016-04-02,6.9,8.9,5.3,0.0,0,0
93,2016-04-03,11.3,16.5,6.3,4.5,0,0
94,2016-04-04,6.6,10.8,3.2,32.5,0,0
95,2016-04-05,8.1,15.8,0.3,0.0,0,0
96,2016-04-06,9.5,15.0,3.8,0.0,0,0
97,2016-04-07,6.7,10.5,2.3,42.5,0,0
98,2016-04-08,11.1,14.4,7.8,1.5,0,0
99,2016-04-09,11.6,19.5,4.1,0.0,0,0
100,2016-04-10,9.0,16.2,4.1,0.0,0,0
101,2016-04-11,3.9,7.4,1.3,1.0,0,0
102,2016-04-12,7.0,12.6,1.4,0.0,0,0
103,2016-04-13,10.5,17.8,2.5,0.0,0,0
104,2016-04-14,14.6,20.8,10.2,3.0,0,0
105,2016-04-15,8.6,13.9,5.7,0.5,0,0
106,2016-04-16,10.6,16.7,4.8,0.0,0,0
107,2016-04-17,11.8,17.2,6.3,16.0,0,0
108,2016-04-18,13.2,16.2,11.0,0.0,0,0
109,2016-04-19,11.0,15.5,6.9,0.0,0,0
110,2016-04-20,10.7,16.2,5.1,0.0,0,0
111,2016-04-21,12.8,18.9,5.4,1.0,0,0
112,2016-04-22,14.9,19.2,11.6,4.5,0,0
113,2016-04-23,14.3,19.1,10.8,0.0,0,0
114,2016-04-24,14.1,20.2,8.0,0.0,0,0
115,2016-04-25,12.9,22.1,3.3,0.0,0,0
116,2016-04-26,14.9,22.8,7.5,0.0,0,0
117,2016-04-27,11.7,19.2,5.5,0.0,0,0
118,2016-04-28,9.4,11.3,8.1,29.5,0,0
119,2016-04-29,8.1,11.9,5.5,3.5,0,0
120,2016-04-30,9.7,14.1,5.4,0.0,0,0
121,2016-05-01,7.9,9.3,6.1,12.0,0,0
122,2016-05-02,9.7,14.1,5.3,0.0,0,0
