,calendar_date,precipitation,deepest_snowfall,total_snowfall
0,2016-01-01,1.0,45,2
1,2016-01-02,6.5,40,0
2,2016-01-03,0.0,21,0
3,2016-01-04,2.5,25,6
4,2016-01-05,6.0,32,7
5,2016-01-06,6.0,34,8
6,2016-01-07,4.0,42,10
7,2016-01-08,11.0,50,13
8,2016-01-09,2.0,49,4
9,2016-01-10,9.0,60,13
10,2016-01-11,7.0,69,12
11,2016-01-12,9.0,74,14
12,2016-01-13,4.0,72,6
13,2016-01-14,10.0,78,11
14,2016-01-15,2.0,74,4
15,2016-01-16,7.5,79,10
16,2016-01-17,1.0,79,0
17,2016-01-18,12.0,75,6
18,2016-01-19,18.5,89,15
19,2016-01-20,1.0,86,0
20,2016-01-21,8.5,94,15
21,2016-01-22,10.5,105,14
22,2016-01-23,1.0,103,3
23,2016-01-24,2.5,97,3
24,2016-01-25,4.0,100,7
25,2016-01-26,0.5,97,0
26,2016-01-27,2.0,95,3
27,2016-01-28,3.0,97,7
28,2016-01-29,0.0,92,2
29,2016-01-30,0.0,88,0
30,2016-01-31,1.5,91,7
31,2016-02-01,2.5,95,7
32,2016-02-02,6.0,104,12
33,2016-02-03,0.5,102,2
34,2016-02-04,2.0,97,6
35,2016-02-05,0.5,96,2
36,2016-02-06,3.0,100,10
37,2016-02-07,8.0,104,9
38,2016-02-08,0.5,103,0
39,2016-02-09,9.5,103,10
40,2016-02-10,14.0,119,17
41,2016-02-11,3.0,122,7
42,2016-02-12,0.0,115,0
43,2016-02-13,15.5,106,0
44,2016-02-14,50.5,83,1
45,2016-02-15,5.0,77,10
46,2016-02-16,8.0,85,10
47,2016-02-17,7.0,90,10
48,2016-02-18,1.0,89,0
49,2016-02-19,4.5,82,0
50,2016-02-20,15.0,81,7
51,2016-02-21,11.0,89,10
52,2016-02-22,0.0,85,0
53,2016-02-23,7.5,93,14
54,2016-02-24,6.5,105,14
55,2016-02-25,0.5,100,0
56,2016-02-26,10.0,112,16
57,2016-02-27,1.5,105,2
58,2016-02-28,0.0,100,0
