Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,deepest_snowfall
0,2016-01-01,0.1,2.8,-2.6,0.4,17
1,2016-01-02,0.8,9.3,-4.0,4.7,12
2,2016-01-03,3.3,11.1,-0.5,5.0,6
3,2016-01-04,5.3,12.3,0.6,4.4,2
4,2016-01-05,5.3,7.8,2.2,4.1,0
5,2016-01-06,3.4,5.9,0.1,0.6,0
6,2016-01-07,1.5,4.7,-0.7,0.0,0
7,2016-01-08,0.4,6.0,-3.0,4.0,0
8,2016-01-09,0.9,4.3,-1.3,4.3,0
9,2016-01-10,1.6,5.6,-2.4,4.4,0
10,2016-01-11,0.2,3.0,-1.5,5.3,1
11,2016-01-12,-0.4,2.1,-2.2,3.5,0
12,2016-01-13,-0.6,5.7,-3.9,4.8,0
13,2016-01-14,-0.5,4.8,-3.6,3.7,0
14,2016-01-15,-0.4,3.0,-3.9,4.0,0
15,2016-01-16,-0.4,3.3,-3.0,2.0,0
16,2016-01-17,-0.2,4.2,-4.8,0.4,0
17,2016-01-18,0.5,5.0,-1.0,0.0,31
18,2016-01-19,-0.9,2.5,-6.6,3.2,25
19,2016-01-20,-3.2,0.3,-7.8,0.0,38
20,2016-01-21,-1.4,0.2,-2.5,0.0,47
21,2016-01-22,-2.0,-0.2,-3.4,0.0,46
22,2016-01-23,-1.8,2.3,-5.8,2.3,43
23,2016-01-24,-5.6,-0.4,-9.7,2.0,53
24,2016-01-25,-3.9,-2.1,-9.0,0.0,53
25,2016-01-26,-2.7,4.9,-8.2,6.1,49
26,2016-01-27,-0.5,5.7,-6.6,6.0,42
27,2016-01-28,2.4,7.5,-2.2,5.3,35
28,2016-01-29,1.2,2.4,0.2,0.0,32
29,2016-01-30,0.6,3.1,-0.5,0.3,34
30,2016-01-31,1.3,5.1,-1.7,4.8,29
31,2016-02-01,-0.5,2.1,-2.6,3.2,26
32,2016-02-02,-1.4,0.3,-2.8,0.0,27
33,2016-02-03,-1.0,2.5,-4.1,5.0,29
34,2016-02-04,-1.1,5.2,-5.3,4.9,24
35,2016-02-05,1.3,5.3,-1.9,5.8,25
36,2016-02-06,0.6,4.5,-1.6,3.5,23
37,2016-02-07,-2.8,-0.8,-6.7,0.0,21
38,2016-02-08,-2.5,3.6,-7.0,3.2,21
39,2016-02-09,-1.4,5.0,-5.8,3.0,52
40,2016-02-10,-2.7,-1.4,-3.6,0.0,104
41,2016-02-11,-0.8,4.1,-5.3,7.5,95
42,2016-02-12,-0.7,8.0,-7.3,6.9,67
43,2016-02-13,3.3,9.5,0.8,1.6,55
44,2016-02-14,4.2,11.3,1.1,1.9,42
45,2016-02-15,0.0,5.8,-3.9,1.7,35
