,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
0,2016-01-01,-3.0,0.3,-4.9,1.5,0.3,2.64,23.0,,3.0,3.1,1017.7,62,1019.2,9.8
1,2016-01-02,-0.1,1.7,-2.6,5.5,0.2,1.76,23.0,7.0,3.2,4.3,1007.9,71,1009.4,10.0
2,2016-01-03,-2.6,-1.7,-3.4,0.5,0.9,3.35,23.0,1.0,4.8,2.7,1008.2,54,1009.7,9.0
3,2016-01-04,-4.1,-3.1,-5.4,1.0,0.5,3.0,18.0,,4.7,2.2,1008.0,49,1009.5,9.3
4,2016-01-05,-5.7,-4.2,-7.6,0.5,0.1,2.15,13.0,1.0,4.9,2.2,1008.7,55,1010.2,9.5
5,2016-01-06,-4.7,-3.5,-5.8,2.5,0.0,1.51,15.0,3.0,5.0,2.7,1007.9,62,1009.4,10.0
6,2016-01-07,-5.2,-3.5,-6.4,1.0,0.0,1.72,14.0,1.0,3.8,2.4,1004.8,56,1006.3,10.0
7,2016-01-08,-4.3,-3.0,-5.4,1.0,1.0,3.53,14.0,,4.0,2.4,1004.9,54,1006.4,10.0
8,2016-01-09,-5.8,-4.1,-7.0,3.5,0.0,2.17,18.0,7.0,4.1,2.5,1009.5,62,1011.0,10.0
9,2016-01-10,-6.2,-4.7,-8.0,3.5,0.3,2.41,21.0,6.0,3.4,2.3,1008.4,61,1009.9,9.8
10,2016-01-11,-8.9,-7.1,-10.4,6.5,0.0,1.93,29.0,10.0,3.9,1.9,1011.7,60,1013.2,8.3
11,2016-01-12,-8.3,-7.4,-10.0,2.0,0.2,3.08,26.0,,4.6,1.8,1008.0,56,1009.5,10.0
12,2016-01-13,-6.6,-5.1,-8.0,5.5,0.0,2.35,32.0,10.0,3.2,2.6,1007.6,70,1009.1,10.0
13,2016-01-14,-7.0,-5.2,-9.4,2.0,0.0,3.23,31.0,1.0,8.2,2.7,1010.4,74,1011.9,10.0
14,2016-01-15,-7.6,-5.6,-9.8,14.0,0.0,1.96,52.0,32.0,2.4,2.5,1014.5,74,1016.0,10.0
15,2016-01-16,-6.3,-4.9,-7.4,22.0,0.4,2.07,66.0,26.0,2.8,3.0,1014.7,78,1016.2,10.0
16,2016-01-17,-6.2,-4.6,-7.7,6.0,0.4,3.88,66.0,3.0,2.2,2.8,1020.3,73,1021.8,8.0
17,2016-01-18,-4.2,-0.7,-8.6,1.5,5.3,6.05,58.0,,6.6,3.0,1018.3,66,1019.8,8.3
18,2016-01-19,-1.5,-0.6,-2.5,12.5,0.0,1.32,52.0,,16.2,4.5,1004.8,83,1006.3,10.0
19,2016-01-20,-2.3,-1.6,-3.0,0.0,0.0,4.11,44.0,,11.2,3.2,1008.6,62,1010.1,10.0
20,2016-01-21,-2.6,-1.5,-3.8,0.0,0.4,3.86,41.0,2.0,8.1,3.5,1011.7,70,1013.2,9.0
21,2016-01-22,-1.8,-0.1,-3.5,5.0,0.0,2.41,45.0,7.0,8.4,4.6,1012.5,86,1014.0,10.0
22,2016-01-23,-4.8,-2.9,-6.4,1.0,0.4,3.78,39.0,1.0,6.9,2.8,1013.5,64,1015.0,10.0
23,2016-01-24,-7.4,-5.8,-8.4,0.0,5.7,7.8,35.0,,6.2,1.9,1005.3,54,1006.8,7.3
24,2016-01-25,-6.7,-3.2,-9.1,1.5,1.2,4.75,38.0,4.0,4.3,2.4,1008.5,63,1010.0,10.0
25,2016-01-26,-1.6,-0.3,-3.4,0.5,1.5,4.59,36.0,,5.2,3.0,1010.8,56,1012.3,9.8
26,2016-01-27,-3.8,-1.2,-5.4,1.5,1.2,4.47,34.0,3.0,5.2,2.7,1013.5,59,1015.0,9.8
27,2016-01-28,-7.4,-4.1,-9.4,3.0,0.2,3.0,38.0,7.0,5.2,2.2,1018.2,63,1019.7,10.0
28,2016-01-29,-8.0,-6.1,-9.4,2.5,1.3,5.63,37.0,4.0,3.7,2.0,1023.0,59,1024.5,9.8
29,2016-01-30,-8.5,-6.7,-10.1,7.5,0.2,5.55,49.0,14.0,2.1,2.4,1020.7,74,1022.2,10.0
30,2016-01-31,-8.4,-7.0,-9.4,3.5,1.3,5.29,51.0,3.0,3.5,1.9,1015.7,58,1017.2,9.8
31,2016-02-01,-9.1,-7.4,-10.8,4.5,0.8,4.41,51.0,6.0,3.2,2.0,1016.5,65,1018.0,9.8
32,2016-02-02,-7.3,-5.7,-9.3,2.5,0.2,3.59,50.0,3.0,4.1,2.3,1012.3,64,1013.8,9.8
33,2016-02-03,-6.0,-3.8,-9.4,2.0,0.8,4.92,51.0,4.0,2.9,2.5,1016.4,65,1017.9,9.5
34,2016-02-04,-2.0,1.3,-6.7,2.0,5.4,9.14,48.0,4.0,2.6,3.3,1010.5,63,1012.0,8.8
35,2016-02-05,-4.0,-0.6,-6.1,1.5,0.9,4.72,47.0,2.0,4.8,2.4,1007.4,52,1008.9,10.0
36,2016-02-06,-6.3,-4.4,-8.1,7.0,0.7,3.12,59.0,17.0,3.9,2.5,1009.3,67,1010.8,9.5
37,2016-02-07,-7.3,-5.3,-9.2,5.0,2.5,6.49,58.0,4.0,4.4,2.3,1008.9,66,1010.4,9.8
38,2016-02-08,-8.1,-6.3,-9.6,2.5,1.7,6.6,60.0,6.0,2.6,2.5,1015.3,74,1016.8,10.0
39,2016-02-09,-3.2,-0.6,-8.3,4.0,0.0,2.66,57.0,5.0,3.9,4.1,1003.9,83,1005.4,10.0
40,2016-02-10,-2.5,-1.0,-3.9,3.5,0.1,3.84,57.0,2.0,10.4,3.9,1011.3,78,1012.8,10.0
41,2016-02-11,-2.9,-0.9,-3.9,0.5,2.0,6.82,45.0,1.0,4.2,3.2,1027.1,64,1028.6,9.5
42,2016-02-12,3.4,5.8,-1.7,1.5,0.0,1.45,44.0,,5.7,6.1,1020.0,76,1021.5,10.0
43,2016-02-13,3.9,6.2,0.3,1.0,0.0,1.33,32.0,,5.9,7.1,1009.3,86,1010.7,10.0
44,2016-02-14,-4.8,0.5,-7.1,23.5,0.0,1.36,30.0,21.0,10.5,3.7,998.5,86,1000.0,10.0
45,2016-02-15,-6.5,-3.9,-8.6,11.0,0.8,3.17,45.0,24.0,4.9,2.7,994.9,71,996.4,10.0
46,2016-02-16,-7.1,-5.2,-8.4,3.0,1.4,6.65,40.0,4.0,4.2,2.2,1002.0,61,1003.5,9.5
47,2016-02-17,-6.8,-5.0,-8.6,4.5,0.7,5.12,43.0,6.0,5.8,2.1,1003.6,58,1005.1,9.8
48,2016-02-18,-2.7,-1.0,-7.0,0.5,1.1,6.06,35.0,,4.8,2.5,1012.9,50,1014.4,7.5
49,2016-02-19,-1.2,0.0,-2.7,0.5,4.8,9.5,36.0,5.0,2.1,4.0,1015.1,73,1016.6,9.5
50,2016-02-20,-1.3,0.1,-3.0,2.0,2.7,7.51,37.0,2.0,4.3,3.0,1021.3,53,1022.8,9.3
51,2016-02-21,-3.3,-1.2,-4.6,4.5,0.0,3.32,34.0,1.0,8.5,4.0,1012.2,82,1013.7,10.0
