,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure
0,2016-01-01,6.5,13.3,1.5,,8.7,1.8,7.0,1028.8,76.0,1030.7
1,2016-01-02,8.9,15.0,2.7,0.5,0.1,1.4,8.8,1024.2,77.0,1026.0
2,2016-01-03,12.1,16.7,8.8,1.0,0.9,1.6,11.5,1017.9,83.0,1019.7
3,2016-01-04,10.9,18.2,5.8,,8.1,2.1,10.0,1018.3,79.0,1020.1
4,2016-01-05,10.1,13.8,7.3,1.5,0.3,1.6,8.8,1020.4,73.0,1022.2
5,2016-01-06,8.9,11.4,6.1,1.0,0.0,1.3,10.0,1018.3,89.0,1020.1
6,2016-01-07,9.0,11.9,5.2,0.0,1.3,4.1,7.6,1018.0,67.0,1019.8
7,2016-01-08,8.9,10.6,6.2,0.0,0.2,6.3,6.7,1018.0,59.0,1019.8
8,2016-01-09,7.3,10.5,5.3,0.5,2.5,2.9,6.7,1021.4,67.0,1023.2
9,2016-01-10,7.5,12.6,3.7,,3.4,3.1,6.8,1022.1,67.0,1024.0
10,2016-01-11,7.5,12.5,3.2,0.0,0.8,1.6,7.2,1019.1,72.0,1020.9
11,2016-01-12,8.6,12.4,4.8,0.0,5.0,4.5,7.2,1015.1,66.0,1016.9
12,2016-01-13,8.2,10.7,6.1,,1.4,7.2,5.5,1016.3,51.0,1018.1
13,2016-01-14,7.2,10.1,4.1,0.0,2.1,5.3,6.0,1018.2,59.0,1020.0
14,2016-01-15,6.2,11.1,1.7,0.0,4.5,2.4,6.3,1018.9,68.0,1020.7
15,2016-01-16,5.3,12.7,-0.5,,9.0,1.9,5.7,1020.0,66.0,1021.8
16,2016-01-17,8.0,14.5,1.9,0.5,0.0,2.6,8.2,1012.4,74.0,1014.3
17,2016-01-18,9.4,14.8,4.5,8.0,0.8,9.3,8.4,1003.6,70.0,1005.4
18,2016-01-19,4.5,7.2,1.2,0.0,1.3,15.2,5.1,1013.7,61.0,1015.5
19,2016-01-20,3.2,5.6,0.7,3.0,0.1,5.5,5.6,1021.6,73.0,1023.5
20,2016-01-21,5.2,9.5,0.9,,3.0,1.8,6.0,1021.1,69.0,1022.9
21,2016-01-22,7.2,12.2,4.1,0.0,2.0,2.8,6.2,1020.7,62.0,1022.5
22,2016-01-23,5.1,10.7,1.0,0.0,1.5,3.9,6.1,1018.9,70.0,1020.7
23,2016-01-24,-0.4,3.8,-2.9,7.0,0.4,8.9,4.3,1017.0,73.0,1018.9
24,2016-01-25,2.6,5.6,-1.6,1.0,3.0,5.1,4.8,1024.1,65.0,1026.0
