Unnamed: 0,calendar_date,hours_sunlight
0,2016-01-01,6.2
1,2016-01-02,0.0
2,2016-01-03,2.3
3,2016-01-04,7.0
4,2016-01-05,4.4
5,2016-01-06,0.0
6,2016-01-07,0.9
7,2016-01-08,1.9
8,2016-01-09,1.5
9,2016-01-10,0.2
10,2016-01-11,0.0
11,2016-01-12,0.5
12,2016-01-13,0.8
13,2016-01-14,1.3
14,2016-01-15,0.0
15,2016-01-16,2.4
16,2016-01-17,0.0
17,2016-01-18,2.7
18,2016-01-19,3.4
19,2016-01-20,2.0
20,2016-01-21,0.0
21,2016-01-22,2.4
22,2016-01-23,0.0
23,2016-01-24,2.1
24,2016-01-25,3.7
25,2016-01-26,3.6
26,2016-01-27,2.0
27,2016-01-28,3.5
28,2016-01-29,0.0
29,2016-01-30,0.0
30,2016-01-31,6.1
31,2016-02-01,0.0
32,2016-02-02,0.0
33,2016-02-03,4.0
34,2016-02-04,4.2
35,2016-02-05,0.0
36,2016-02-06,0.4
37,2016-02-07,2.5
38,2016-02-08,2.8
39,2016-02-09,6.9
40,2016-02-10,9.1
41,2016-02-11,6.5
42,2016-02-12,0.0
43,2016-02-13,0.3
44,2016-02-14,3.4
45,2016-02-15,0.9
46,2016-02-16,0.3
47,2016-02-17,2.2
48,2016-02-18,5.4
49,2016-02-19,5.7
50,2016-02-20,2.7
51,2016-02-21,7.3
52,2016-02-22,0.5
53,2016-02-23,0.0
54,2016-02-24,3.1
55,2016-02-25,2.1
56,2016-02-26,3.0
57,2016-02-27,0.0
58,2016-02-28,0.3
59,2016-02-29,0.9
60,2016-03-01,0.0
61,2016-03-02,5.9
62,2016-03-03,7.6
63,2016-03-04,2.3
64,2016-03-05,5.0
65,2016-03-06,0.0
66,2016-03-07,5.9
67,2016-03-08,7.2
68,2016-03-09,1.5
69,2016-03-10,0.0
70,2016-03-11,0.1
71,2016-03-12,5.8
72,2016-03-13,0.1
73,2016-03-14,1.5
74,2016-03-15,10.7
75,2016-03-16,0.0
76,2016-03-17,2.9
77,2016-03-18,0.1
78,2016-03-19,4.1
79,2016-03-20,9.0
80,2016-03-21,2.8
81,2016-03-22,9.8
82,2016-03-23,1.8
83,2016-03-24,7.6
84,2016-03-25,0.0
85,2016-03-26,2.8
86,2016-03-27,5.1
87,2016-03-28,4.1
88,2016-03-29,3.4
89,2016-03-30,0.4
90,2016-03-31,0.2
91,2016-04-01,0.9
92,2016-04-02,3.6
93,2016-04-03,2.4
94,2016-04-04,2.2
95,2016-04-05,3.1
96,2016-04-06,1.8
97,2016-04-07,0.6
98,2016-04-08,0.0
99,2016-04-09,0.0
100,2016-04-10,0.0
101,2016-04-11,5.9
102,2016-04-12,0.2
103,2016-04-13,0.0
104,2016-04-14,10.8
105,2016-04-15,8.9
106,2016-04-16,4.3
107,2016-04-17,11.5
108,2016-04-18,0.0
109,2016-04-19,12.2
110,2016-04-20,9.9
111,2016-04-21,0.0
112,2016-04-22,3.0
113,2016-04-23,0.7
114,2016-04-24,0.0
115,2016-04-25,0.0
116,2016-04-26,0.0
117,2016-04-27,0.0
118,2016-04-28,5.4
