,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity
0,2016-01-01,0.6,5.9,-3.2,,8.8,4.4,4.4,896.2,72.0
1,2016-01-02,4.5,7.0,0.5,1.0,0.2,3.0,7.6,893.3,90.0
2,2016-01-03,7.6,10.4,5.1,0.5,0.4,2.1,9.9,889.1,94.0
3,2016-01-04,5.1,9.1,3.1,,6.4,4.5,8.0,889.5,92.0
4,2016-01-05,3.3,5.3,-0.3,9.5,0.1,3.7,7.0,889.8,90.0
5,2016-01-06,3.6,6.7,-1.0,1.0,0.0,2.5,6.2,887.9,77.0
6,2016-01-07,-1.0,0.2,-2.3,,0.3,5.8,5.5,887.2,97.0
7,2016-01-08,-3.0,-1.8,-4.3,0.5,0.0,4.8,4.9,886.1,99.0
8,2016-01-09,-3.1,-1.1,-4.6,,1.4,5.0,4.2,889.0,86.0
9,2016-01-10,-0.4,2.5,-3.2,,6.0,3.6,4.6,890.1,78.0
10,2016-01-11,1.3,4.4,-1.5,,0.4,2.3,4.1,887.5,63.0
11,2016-01-12,-1.9,0.4,-4.7,,0.1,4.7,5.1,884.3,96.0
12,2016-01-13,-4.1,-2.8,-5.0,,0.1,4.9,4.3,884.3,96.0
13,2016-01-14,-3.6,-0.6,-5.6,,2.4,4.6,4.1,885.8,88.0
14,2016-01-15,-3.0,0.9,-6.3,,3.9,3.1,3.3,886.4,69.0
15,2016-01-16,0.0,5.7,-5.0,,9.0,3.7,4.0,887.7,66.0
16,2016-01-17,2.6,6.7,-0.8,16.0,0.0,6.3,6.7,881.4,88.0
17,2016-01-18,-1.4,6.9,-8.0,13.0,0.0,8.2,5.6,875.6,99.0
18,2016-01-19,-7.6,-6.9,-8.4,0.5,0.0,9.1,3.3,881.3,95.0
19,2016-01-20,-7.3,-4.5,-9.0,,5.3,4.8,3.2,888.0,91.0
20,2016-01-21,-4.4,-1.5,-8.1,,0.5,2.6,3.0,887.8,68.0
21,2016-01-22,-2.7,-0.1,-5.4,,4.5,6.0,4.5,888.4,90.0
22,2016-01-23,-4.4,-1.1,-8.8,2.5,1.1,4.1,4.3,886.3,96.0
23,2016-01-24,-12.1,-8.8,-14.4,1.0,0.0,7.1,2.2,881.4,91.0
24,2016-01-25,-8.3,-6.3,-13.2,,0.0,5.3,3.1,889.0,94.0
25,2016-01-26,-3.6,-2.0,-6.3,,0.0,4.8,4.6,891.7,99.0
26,2016-01-27,-0.8,1.0,-3.1,,2.8,3.8,5.7,895.2,99.0
