Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,solar_radiation,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
0,2016-01-01,2.3,4.3,-1.6,0.4,3.28,4.6,4.6,1022.8,65,1025.6,7.5
1,2016-01-02,3.9,8.3,0.7,0.2,1.56,3.9,6.8,1015.7,85,1018.4,10.0
2,2016-01-03,3.7,5.5,2.5,0.0,2.09,1.8,7.5,1014.0,94,1016.7,10.0
3,2016-01-04,2.3,3.9,1.1,0.5,2.82,3.2,6.2,1012.1,86,1014.8,10.0
4,2016-01-05,2.1,3.9,0.4,0.8,3.79,5.9,4.2,1016.4,59,1019.1,10.0
5,2016-01-06,1.9,3.9,0.7,0.3,2.86,3.8,5.0,1015.7,71,1018.4,10.0
6,2016-01-07,1.7,2.8,0.3,0.4,2.71,6.0,4.4,1011.2,64,1014.0,10.0
7,2016-01-08,1.8,3.2,0.0,0.1,2.51,4.2,4.8,1011.3,70,1014.0,10.0
8,2016-01-09,1.0,2.8,-0.7,1.5,5.72,4.9,4.4,1015.6,67,1018.4,9.8
9,2016-01-10,0.5,2.8,-1.7,0.3,3.87,6.0,4.6,1013.8,74,1016.6,10.0
10,2016-01-11,-1.0,0.6,-2.9,0.1,2.52,6.9,3.5,1017.1,61,1019.9,10.0
11,2016-01-12,-1.3,0.8,-3.2,0.1,3.39,4.9,4.2,1014.1,76,1016.9,10.0
12,2016-01-13,-0.6,3.7,-2.3,0.0,3.99,3.8,5.1,1009.5,87,1012.3,10.0
13,2016-01-14,0.2,3.2,-2.5,0.1,4.01,4.8,3.8,1011.3,61,1014.1,10.0
14,2016-01-15,-1.4,1.9,-3.3,0.4,4.11,3.2,3.9,1016.1,71,1018.9,10.0
15,2016-01-16,-1.1,1.6,-3.1,0.4,4.47,4.5,3.9,1018.4,70,1021.2,10.0
16,2016-01-17,-0.4,2.2,-2.4,2.4,6.58,3.4,4.0,1020.9,67,1023.7,9.3
17,2016-01-18,0.5,2.2,-3.1,0.0,1.18,3.7,5.7,1001.6,89,1004.4,10.0
18,2016-01-19,2.4,5.6,0.3,1.2,4.6,5.3,5.5,994.4,77,997.1,10.0
