Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure
0,2016-01-01,5.9,11.5,1.1,7.5,5.6,1021.7,62,1028.8
1,2016-01-02,5.0,11.8,-0.7,6.2,6.4,1018.6,75,1025.8
2,2016-01-03,7.8,14.2,2.0,8.0,8.3,1012.7,79,1019.8
3,2016-01-04,9.9,16.8,3.1,6.0,8.5,1010.9,72,1017.8
4,2016-01-05,9.0,14.0,3.6,3.5,7.8,1013.5,70,1020.5
5,2016-01-06,9.0,13.0,6.1,2.6,7.7,1011.9,68,1018.9
6,2016-01-07,6.8,11.2,3.3,3.3,6.8,1009.3,69,1016.4
7,2016-01-08,5.7,11.5,0.3,3.3,6.1,1009.8,68,1016.9
8,2016-01-09,5.5,12.0,0.9,7.0,5.2,1013.3,59,1020.4
9,2016-01-10,5.9,11.8,0.9,5.0,5.3,1014.3,58,1021.4
10,2016-01-11,6.0,10.7,1.7,2.8,6.5,1012.4,70,1019.5
11,2016-01-12,5.3,10.8,0.1,3.8,5.9,1008.1,67,1015.1
12,2016-01-13,4.1,10.4,-0.7,5.2,5.5,1008.3,68,1015.4
13,2016-01-14,3.9,10.8,-1.4,5.4,4.9,1009.5,63,1016.6
14,2016-01-15,4.3,9.7,0.3,6.6,4.9,1011.9,60,1019.1
15,2016-01-16,4.3,9.2,-0.3,7.6,5.4,1014.1,67,1021.2
16,2016-01-17,4.3,9.5,-2.0,4.1,5.6,1012.8,69,1019.9
17,2016-01-18,7.6,11.0,4.4,0.1,8.5,992.3,82,999.2
18,2016-01-19,2.5,6.2,-1.5,8.7,3.3,1000.9,45,1008.0
19,2016-01-20,0.9,3.7,-1.2,2.3,5.4,1008.4,83,1015.6
20,2016-01-21,2.9,7.9,-0.9,5.4,5.6,1014.0,76,1021.1
21,2016-01-22,3.1,8.9,-0.6,8.2,4.8,1015.1,64,1022.3
22,2016-01-23,1.0,3.7,-2.8,0.0,4.4,1012.0,68,1019.2
23,2016-01-24,-0.2,3.5,-3.7,9.4,2.3,1005.6,38,1012.7
24,2016-01-25,-0.8,4.1,-4.5,6.0,4.5,1014.4,78,1021.7
25,2016-01-26,2.0,8.6,-4.3,7.2,4.5,1018.4,66,1025.6
26,2016-01-27,4.9,11.6,-1.3,7.0,5.3,1020.7,64,1027.9
27,2016-01-28,6.8,14.3,-0.3,7.0,6.0,1021.3,62,1028.4
28,2016-01-29,6.7,8.1,5.6,0.0,9.2,1013.5,94,1020.6
29,2016-01-30,7.8,10.2,6.2,1.3,7.3,1011.1,69,1018.1
30,2016-01-31,7.0,12.4,2.5,9.1,5.2,1015.5,53,1022.5
31,2016-02-01,5.7,9.1,2.7,0.0,6.5,1012.8,72,1019.9
32,2016-02-02,5.0,11.0,0.6,7.7,5.2,1012.4,62,1019.5
33,2016-02-03,3.9,9.8,-1.0,9.0,4.0,1016.1,51,1023.2
34,2016-02-04,3.9,11.8,-2.4,8.4,4.7,1014.9,60,1022.1
35,2016-02-05,5.4,11.9,-0.4,7.3,5.2,1011.1,60,1018.1
36,2016-02-06,4.3,9.3,-0.2,3.9,5.3,1007.7,66,1014.8
37,2016-02-07,3.2,8.8,-2.3,9.7,4.0,1010.5,55,1017.6
38,2016-02-08,2.1,8.6,-3.9,9.6,4.0,1011.7,59,1018.8
39,2016-02-09,5.0,11.0,1.3,4.5,5.7,1007.7,66,1014.7
40,2016-02-10,3.5,8.0,0.0,5.0,5.0,1017.3,65,1024.5
41,2016-02-11,4.5,11.5,-1.2,9.8,4.5,1023.1,55,1030.3
42,2016-02-12,7.0,8.8,3.0,0.0,7.7,1023.5,76,1030.6
43,2016-02-13,9.7,11.9,7.6,0.0,11.2,1013.0,92,1020.0
44,2016-02-14,13.8,22.0,10.1,2.1,12.8,997.0,81,1003.8
45,2016-02-15,6.1,10.3,0.1,6.9,6.0,1000.6,63,1007.6
46,2016-02-16,3.6,9.7,0.1,8.0,4.4,1008.4,58,1015.5
47,2016-02-17,4.2,9.8,-0.1,8.4,5.4,1012.3,66,1019.5
48,2016-02-18,3.5,10.2,-2.5,10.0,4.9,1018.9,66,1026.1
49,2016-02-19,7.6,15.0,0.0,8.8,6.4,1020.7,64,1027.8
50,2016-02-20,6.7,8.6,5.0,0.0,8.7,1011.2,88,1018.2
