Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,avg_wind_speed,avg_local_pressure,avg_sea_pressure
0,2016-01-01,9.6,12.9,6.3,4.7,3.6,1007.0,1025.7
1,2016-01-02,12.7,15.4,6.9,2.3,5.0,1006.2,1024.6
2,2016-01-03,12.7,14.2,10.5,0.0,2.4,1000.6,1018.9
3,2016-01-04,14.8,18.1,12.4,8.4,4.4,998.1,1016.2
4,2016-01-05,13.6,15.9,11.9,7.5,4.6,1000.1,1018.3
5,2016-01-06,11.4,13.1,9.3,0.0,2.7,999.0,1017.3
6,2016-01-07,11.6,14.5,9.9,4.4,4.8,995.5,1013.8
7,2016-01-08,11.0,12.9,9.0,0.0,3.0,997.0,1015.3
8,2016-01-09,10.2,12.4,7.5,2.7,3.8,999.7,1018.1
9,2016-01-10,11.0,12.8,9.5,3.4,5.4,1000.8,1019.2
10,2016-01-11,11.4,13.5,9.9,3.8,4.7,999.5,1017.9
11,2016-01-12,10.2,12.4,9.2,0.0,3.6,993.6,1011.9
12,2016-01-13,9.5,13.2,7.4,3.1,2.2,995.3,1013.7
13,2016-01-14,9.9,11.6,8.5,4.9,5.3,996.0,1014.4
14,2016-01-15,9.4,11.8,8.2,3.4,4.3,997.9,1016.4
15,2016-01-16,9.9,13.4,7.8,7.8,3.7,999.7,1018.2
16,2016-01-17,11.1,13.9,8.7,4.1,2.8,1000.1,1018.4
17,2016-01-18,15.1,20.2,11.4,0.9,8.4,980.3,998.0
18,2016-01-19,8.5,14.0,5.1,0.1,10.3,987.5,1005.8
19,2016-01-20,7.3,9.8,3.9,3.2,7.6,993.8,1012.4
20,2016-01-21,8.4,10.4,7.0,3.6,5.2,999.7,1018.3
21,2016-01-22,8.9,11.8,7.1,3.9,2.7,1000.1,1018.6
22,2016-01-23,9.4,12.5,7.0,0.8,1.5,996.8,1015.3
23,2016-01-24,4.9,9.1,2.0,0.0,6.3,989.7,1008.3
24,2016-01-25,4.8,7.6,1.3,2.6,6.2,999.4,1018.2
25,2016-01-26,8.2,11.0,4.5,2.4,4.3,1004.9,1023.6
26,2016-01-27,10.3,12.8,8.5,4.6,6.1,1007.2,1025.7
27,2016-01-28,12.0,14.3,10.1,8.1,5.7,1008.5,1027.0
28,2016-01-29,16.1,18.4,12.5,0.0,4.9,1002.6,1020.6
29,2016-01-30,13.7,19.2,11.1,0.0,8.1,996.5,1014.7
30,2016-01-31,11.5,15.0,9.5,3.3,5.1,1001.5,1019.9
31,2016-02-01,11.0,12.3,9.1,0.0,2.6,999.9,1018.3
32,2016-02-02,8.8,10.2,7.4,0.2,4.5,997.4,1015.9
33,2016-02-03,9.9,14.1,7.1,8.2,3.5,1000.1,1018.6
34,2016-02-04,9.4,11.7,6.3,8.9,3.8,1001.7,1020.2
35,2016-02-05,10.2,13.1,8.1,1.9,2.4,998.0,1016.5
36,2016-02-06,10.5,13.8,8.2,0.3,1.9,993.7,1012.1
37,2016-02-07,8.5,12.1,5.3,4.7,4.0,995.3,1013.8
38,2016-02-08,7.9,10.1,5.3,0.0,3.2,998.3,1016.9
39,2016-02-09,9.9,14.7,6.3,3.0,6.0,994.5,1012.9
40,2016-02-10,7.8,9.9,6.4,5.5,5.3,1001.7,1020.3
41,2016-02-11,9.1,13.6,3.5,1.3,3.7,1009.2,1027.9
42,2016-02-12,12.9,16.5,9.9,8.3,5.1,1011.8,1030.3
43,2016-02-13,16.9,19.9,14.3,2.1,5.4,1004.1,1022.1
44,2016-02-14,18.7,20.4,17.0,0.3,8.1,988.8,1006.5
45,2016-02-15,12.2,17.0,8.4,0.1,6.8,986.2,1004.3
46,2016-02-16,7.8,10.2,5.0,2.2,4.6,995.2,1013.7
47,2016-02-17,9.2,12.1,7.5,2.5,5.4,998.6,1017.1
48,2016-02-18,9.0,12.3,5.3,8.8,2.4,1006.4,1025.0
49,2016-02-19,13.4,17.4,8.5,5.6,4.1,1008.8,1027.2
50,2016-02-20,15.7,19.6,8.4,0.1,5.4,1000.9,1019.0
51,2016-02-21,12.5,19.3,8.9,2.0,7.7,998.9,1017.2
52,2016-02-22,11.6,14.3,8.4,0.1,4.3,1006.9,1025.3
53,2016-02-23,13.2,16.1,11.8,0.7,3.6,1003.3,1021.6
54,2016-02-24,11.1,15.6,8.8,1.3,3.4,1001.4,1019.8
55,2016-02-25,9.2,11.8,6.9,7.8,4.0,1006.3,1024.9
56,2016-02-26,9.1,11.4,7.9,3.9,4.4,1007.0,1025.7
57,2016-02-27,10.2,13.0,7.9,4.9,4.3,1007.7,1026.3
58,2016-02-28,12.1,14.2,9.3,0.0,1.9,1006.4,1024.8
59,2016-02-29,13.8,18.6,6.4,0.8,6.8,993.6,1011.7
60,2016-03-01,6.6,8.6,4.9,1.6,7.8,998.9,1017.6
61,2016-03-02,8.7,11.1,6.7,4.1,5.7,1003.9,1022.6
62,2016-03-03,12.7,16.5,8.1,7.7,5.9,1006.0,1024.4
63,2016-03-04,13.3,16.7,10.6,3.3,2.9,1009.6,1028.0
64,2016-03-05,14.5,19.8,9.5,1.4,3.3,1011.4,1029.8
65,2016-03-06,17.2,20.2,15.3,3.2,5.5,1008.4,1026.5
66,2016-03-07,15.4,17.1,14.2,0.0,8.0,997.2,1015.2
67,2016-03-08,17.2,21.0,14.9,6.8,4.6,995.9,1013.8
68,2016-03-09,17.8,21.3,13.7,2.9,5.1,993.7,1011.5
69,2016-03-10,12.0,14.1,10.6,0.0,7.7,994.5,1012.7
70,2016-03-11,10.9,12.7,10.0,0.0,5.2,995.9,1014.2
71,2016-03-12,10.6,13.0,9.0,1.0,5.6,1001.0,1019.5
72,2016-03-13,12.2,15.0,10.7,2.4,3.9,1002.7,1021.0
73,2016-03-14,12.7,17.3,9.1,0.0,6.4,989.9,1008.0
74,2016-03-15,10.3,13.9,8.5,5.1,6.2,995.5,1013.9
75,2016-03-16,12.6,16.6,7.2,7.5,2.2,1004.6,1022.9
76,2016-03-17,13.3,18.8,9.7,8.0,2.0,1004.1,1022.4
77,2016-03-18,15.0,20.8,9.5,5.8,3.4,1002.6,1020.8
78,2016-03-19,16.4,18.0,14.7,0.0,6.4,991.0,1008.8
79,2016-03-20,14.9,17.7,11.6,5.0,6.7,991.4,1009.4
80,2016-03-21,11.8,13.8,10.5,0.4,4.9,996.0,1014.3
