Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,avg_wind_speed,avg_local_pressure,avg_sea_pressure,cloud_cover
0,2016-01-01,4.9,12.6,-0.5,7.8,1.8,1029.3,1030.2,4.3
1,2016-01-02,7.2,14.1,0.9,5.5,1.9,1024.5,1025.4,10.0
2,2016-01-03,8.7,15.9,3.4,8.1,1.5,1018.8,1019.7,6.0
3,2016-01-04,9.5,16.9,4.4,6.9,2.7,1018.2,1019.0,3.3
4,2016-01-05,6.8,11.1,3.0,1.5,1.9,1021.7,1022.6,7.7
5,2016-01-06,7.3,11.4,3.8,2.2,1.8,1019.3,1020.2,10.0
6,2016-01-07,7.8,12.2,4.5,7.5,4.1,1017.8,1018.7,2.7
7,2016-01-08,6.0,10.9,3.3,0.8,3.7,1017.5,1018.4,9.3
8,2016-01-09,5.6,10.9,1.0,6.0,2.9,1021.6,1022.5,2.7
9,2016-01-10,6.2,11.6,0.8,7.1,3.1,1022.2,1023.1,3.3
10,2016-01-11,6.8,12.6,2.0,4.8,2.3,1020.2,1021.1,10.0
11,2016-01-12,6.4,9.9,2.3,3.7,2.1,1016.1,1017.0,6.7
12,2016-01-13,5.3,10.4,1.6,5.2,3.7,1015.6,1016.5,3.3
13,2016-01-14,3.4,8.4,-0.9,4.4,3.0,1018.0,1018.9,3.3
14,2016-01-15,3.9,9.5,-1.6,8.1,3.0,1020.0,1020.9,1.7
15,2016-01-16,3.9,10.6,-2.0,9.6,1.6,1021.6,1022.5,0.0
16,2016-01-17,4.6,8.1,0.2,0.7,3.0,1017.3,1018.2,10.0
17,2016-01-18,6.9,13.6,1.5,3.1,6.6,1001.5,1002.3,6.3
18,2016-01-19,1.0,4.1,-1.1,4.4,7.9,1010.6,1011.5,5.7
19,2016-01-20,2.5,7.8,-1.3,7.6,5.7,1020.0,1020.9,4.7
20,2016-01-21,3.0,7.4,-1.7,2.3,1.4,1021.6,1022.5,10.0
21,2016-01-22,4.4,9.4,0.5,6.0,2.2,1022.4,1023.3,9.7
22,2016-01-23,3.5,8.4,0.8,2.5,4.1,1019.7,1020.6,10.0
23,2016-01-24,-2.2,1.3,-4.5,6.6,6.4,1015.7,1016.6,6.0
24,2016-01-25,-0.4,5.1,-4.9,7.4,3.8,1023.3,1024.2,2.7
25,2016-01-26,2.7,9.3,-3.3,1.7,3.0,1025.0,1025.9,8.0
26,2016-01-27,5.5,11.2,0.6,2.9,3.1,1028.1,1029.0,10.0
27,2016-01-28,5.6,10.6,-0.3,1.7,1.7,1028.0,1028.9,10.0
28,2016-01-29,7.6,8.7,6.3,0.0,1.5,1018.4,1019.3,10.0
29,2016-01-30,7.7,10.8,5.2,0.0,2.2,1019.9,1020.8,7.0
30,2016-01-31,5.9,11.8,0.9,5.1,2.2,1023.4,1024.3,6.3
31,2016-02-01,6.1,9.2,3.4,0.4,2.1,1020.4,1021.3,10.0
32,2016-02-02,5.0,9.6,1.4,2.2,2.2,1020.3,1021.2,8.7
33,2016-02-03,4.2,10.1,-0.7,8.0,1.4,1023.4,1024.3,2.3
34,2016-02-04,5.3,11.3,-0.3,5.8,2.6,1021.8,1022.7,6.7
35,2016-02-05,5.4,10.9,0.3,7.0,2.1,1018.6,1019.5,6.7
36,2016-02-06,4.8,10.8,0.6,7.6,3.5,1016.2,1017.1,3.7
37,2016-02-07,3.6,7.8,-0.1,4.5,2.5,1018.8,1019.7,3.7
38,2016-02-08,4.1,10.7,-1.8,8.8,3.3,1017.9,1018.8,2.3
39,2016-02-09,6.3,11.4,1.8,7.1,6.1,1016.2,1017.1,4.0
40,2016-02-10,4.7,11.1,-0.3,8.2,2.4,1025.3,1026.2,1.0
41,2016-02-11,4.9,12.2,-1.1,10.2,1.8,1029.5,1030.4,7.0
42,2016-02-12,8.6,15.0,0.8,3.4,2.2,1026.4,1027.3,10.0
43,2016-02-13,13.9,16.1,10.6,0.0,2.8,1014.4,1015.3,10.0
44,2016-02-14,13.6,18.6,9.5,3.4,5.0,1004.6,1005.4,9.7
45,2016-02-15,5.2,9.5,0.8,2.5,5.9,1011.0,1011.9,4.0
46,2016-02-16,3.4,8.4,-0.7,6.2,5.0,1016.2,1017.1,4.0
47,2016-02-17,4.9,9.8,0.4,6.6,5.0,1020.3,1021.2,3.3
48,2016-02-18,3.8,11.3,-2.1,10.1,1.8,1025.1,1026.0,4.3
49,2016-02-19,7.5,14.6,0.2,6.6,2.0,1026.8,1027.7,3.7
50,2016-02-20,7.8,8.8,5.7,0.1,2.9,1017.1,1018.0,9.3
51,2016-02-21,6.6,10.4,2.8,7.6,4.9,1024.1,1025.0,3.7
52,2016-02-22,5.3,9.7,-0.1,5.8,1.9,1029.9,1030.8,9.0
53,2016-02-23,6.9,10.6,4.8,0.1,2.2,1024.6,1025.5,8.0
54,2016-02-24,5.4,8.7,2.8,1.4,3.7,1026.1,1027.0,9.7
55,2016-02-25,4.1,9.1,0.4,6.8,3.5,1029.5,1030.4,3.3
56,2016-02-26,4.1,10.8,-2.1,7.5,2.7,1029.1,1030.0,6.3
57,2016-02-27,6.7,13.9,0.7,4.7,3.0,1025.8,1026.7,7.3
58,2016-02-28,8.3,15.0,2.4,8.1,2.1,1022.8,1023.6,5.0
59,2016-02-29,5.7,10.2,0.6,4.0,5.3,1015.5,1016.4,3.3
60,2016-03-01,2.8,6.4,-0.6,5.0,4.0,1023.6,1024.5,5.0
61,2016-03-02,6.0,12.3,0.6,10.7,3.6,1024.7,1025.6,0.7
62,2016-03-03,8.1,16.2,0.1,10.9,2.0,1025.4,1026.3,0.7
63,2016-03-04,9.3,14.2,4.0,0.8,1.2,1028.3,1029.2,10.0
64,2016-03-05,13.8,20.3,7.3,9.8,2.5,1026.7,1027.5,1.0
65,2016-03-06,15.6,19.9,12.6,0.0,3.5,1020.4,1021.2,10.0
66,2016-03-07,16.7,23.0,12.5,5.6,1.7,1015.5,1016.3,7.0
67,2016-03-08,14.3,21.6,10.0,4.8,2.8,1016.0,1016.8,10.0
68,2016-03-09,8.3,12.7,6.2,0.0,3.0,1015.2,1016.1,10.0
69,2016-03-10,7.4,10.7,3.7,1.7,2.7,1018.3,1019.2,10.0
70,2016-03-11,6.6,10.5,4.0,2.9,2.9,1019.4,1020.3,8.7
71,2016-03-12,6.4,12.2,0.6,10.2,2.2,1022.6,1023.5,2.0
72,2016-03-13,6.8,12.4,1.7,3.4,2.1,1022.4,1023.3,10.0
73,2016-03-14,7.1,11.2,4.0,0.8,3.1,1015.8,1016.7,9.0
74,2016-03-15,8.1,13.9,3.0,11.4,3.1,1020.5,1021.4,0.3
75,2016-03-16,7.3,14.9,2.0,4.2,1.9,1022.5,1023.4,10.0
76,2016-03-17,10.9,20.4,2.9,10.8,1.7,1021.8,1022.6,5.3
77,2016-03-18,12.5,16.8,7.4,0.8,2.5,1015.4,1016.3,10.0
78,2016-03-19,14.9,21.3,9.9,3.2,3.9,1009.0,1009.9,5.3
79,2016-03-20,10.4,16.5,5.8,10.2,4.0,1017.0,1017.9,3.3
80,2016-03-21,9.5,15.8,4.8,11.5,3.7,1020.4,1021.3,0.0
81,2016-03-22,9.5,19.5,1.1,10.5,2.3,1017.5,1018.3,3.7
82,2016-03-23,11.4,19.8,5.1,9.3,2.7,1014.7,1015.5,8.7
83,2016-03-24,8.7,13.1,5.9,6.8,4.8,1019.1,1020.0,6.0
84,2016-03-25,7.1,12.7,2.9,8.3,3.7,1022.0,1022.9,3.7
85,2016-03-26,7.2,14.4,0.1,11.6,2.1,1020.6,1021.5,0.7
86,2016-03-27,8.9,15.9,2.6,7.0,2.9,1018.1,1018.9,4.7
87,2016-03-28,9.9,17.0,3.4,8.3,2.4,1020.0,1020.9,2.3
88,2016-03-29,11.1,18.0,3.3,6.9,2.1,1022.8,1023.7,10.0
89,2016-03-30,13.7,20.7,7.3,6.4,3.3,1019.7,1020.5,8.7
90,2016-03-31,14.3,20.6,8.4,4.0,2.0,1017.4,1018.2,10.0
91,2016-04-01,14.9,17.5,12.2,0.0,4.0,1013.6,1014.4,10.0
92,2016-04-02,16.1,21.9,9.7,7.6,2.5,1020.0,1020.8,7.3
93,2016-04-03,16.8,20.0,13.8,0.1,3.4,1018.2,1019.0,10.0
94,2016-04-04,15.7,19.9,12.2,0.5,3.2,1009.0,1009.8,8.7
95,2016-04-05,13.8,18.0,9.3,6.2,2.0,1014.3,1015.1,4.0
96,2016-04-06,14.8,21.5,7.6,9.2,2.1,1018.0,1018.9,10.0
97,2016-04-07,16.3,20.5,12.7,0.0,3.5,1007.2,1008.0,8.0
98,2016-04-08,15.1,20.5,10.5,5.9,2.3,1013.1,1013.9,7.3
99,2016-04-09,16.2,24.6,10.1,10.0,1.9,1014.2,1015.0,10.0
100,2016-04-10,15.8,22.1,10.3,0.5,1.5,1010.9,1011.7,10.0
101,2016-04-11,11.4,15.4,5.9,9.6,5.0,1017.9,1018.8,4.3
102,2016-04-12,10.0,16.2,2.6,8.8,2.2,1020.3,1021.2,9.0
103,2016-04-13,15.2,23.4,8.7,5.4,2.3,1010.8,1011.7,10.0
104,2016-04-14,18.8,25.8,14.4,8.1,3.3,1007.0,1007.8,4.3
105,2016-04-15,15.8,22.1,10.5,11.8,3.6,1018.3,1019.2,0.0
106,2016-04-16,15.5,22.7,6.7,9.4,2.9,1017.2,1018.0,8.3
107,2016-04-17,19.4,24.7,15.0,9.6,5.5,1005.6,1006.4,2.7
108,2016-04-18,14.8,19.0,10.5,0.0,3.5,1013.3,1014.1,9.3
109,2016-04-19,14.0,21.4,6.4,9.1,3.6,1020.5,1021.3,0.7
110,2016-04-20,14.5,21.6,6.7,11.2,2.7,1022.6,1023.4,3.3
111,2016-04-21,15.3,16.2,14.2,0.0,2.7,1009.7,1010.5,10.0
112,2016-04-22,19.5,25.0,14.6,11.8,3.3,1007.5,1008.3,6.7
113,2016-04-23,17.7,23.7,13.3,3.4,2.0,1010.8,1011.6,10.0
114,2016-04-24,17.2,21.9,13.6,5.8,2.0,1012.8,1013.6,10.0
115,2016-04-25,16.7,23.0,9.9,6.5,1.9,1016.6,1017.4,10.0
116,2016-04-26,19.2,27.0,12.2,11.3,1.9,1015.2,1016.0,7.7
117,2016-04-27,17.5,19.9,16.2,0.0,4.4,1007.7,1008.5,10.0
118,2016-04-28,15.0,17.5,10.6,0.0,4.1,999.7,1000.5,10.0
119,2016-04-29,12.7,18.0,8.1,7.8,3.7,1010.1,1010.9,5.0
120,2016-04-30,14.9,23.4,6.3,12.5,2.8,1014.1,1015.0,0.7
121,2016-05-01,18.8,27.8,10.0,11.9,2.5,1015.2,1016.0,4.7
122,2016-05-02,20.0,27.6,12.2,11.4,2.3,1017.1,1017.9,7.0
123,2016-05-03,19.0,22.1,16.2,0.0,5.1,1007.8,1008.6,10.0
124,2016-05-04,20.0,24.9,13.4,12.8,8.5,1006.6,1007.4,0.0
125,2016-05-05,20.1,25.9,13.6,10.6,4.4,1014.2,1015.0,7.0
126,2016-05-06,16.1,17.7,14.8,0.0,2.6,1013.1,1013.9,10.0
127,2016-05-07,19.2,26.1,15.4,3.9,3.0,1010.8,1011.6,9.7
128,2016-05-08,18.1,24.0,10.8,10.0,2.1,1017.0,1017.8,10.0
129,2016-05-09,15.7,16.8,14.2,0.0,3.1,1012.3,1013.1,10.0
130,2016-05-10,18.1,19.7,16.4,0.0,2.1,1004.3,1005.1,10.0
131,2016-05-11,18.1,20.7,13.5,0.1,3.7,1004.4,1005.2,7.0
132,2016-05-12,17.7,26.2,10.0,13.4,2.1,1014.8,1015.6,0.0
133,2016-05-13,19.4,26.7,11.6,10.5,2.3,1018.2,1019.0,7.3
134,2016-05-14,20.6,26.8,15.0,12.4,2.1,1021.2,1022.0,7.0
135,2016-05-15,21.1,26.6,15.7,5.8,3.2,1016.4,1017.2,9.0
136,2016-05-16,19.1,24.7,13.7,2.2,4.2,1008.8,1009.6,10.0
137,2016-05-17,18.4,26.1,11.5,12.7,2.4,1013.7,1014.5,3.3
138,2016-05-18,19.1,27.0,10.5,13.4,2.2,1017.2,1018.0,0.7
139,2016-05-19,20.4,28.2,13.5,10.8,1.9,1018.0,1018.8,10.0
140,2016-05-20,21.5,28.2,15.3,12.0,2.3,1016.7,1017.5,0.3
141,2016-05-21,22.5,30.7,14.9,13.1,2.0,1016.0,1016.8,4.7
142,2016-05-22,21.1,28.3,14.2,13.0,2.3,1016.1,1016.9,5.7
143,2016-05-23,22.9,30.3,15.8,12.5,2.0,1014.4,1015.2,9.3
144,2016-05-24,22.1,27.6,15.4,6.0,2.7,1010.8,1011.6,10.0
145,2016-05-25,21.2,23.9,18.0,0.1,3.5,1010.8,1011.6,9.7
146,2016-05-26,23.2,27.2,21.0,0.2,3.0,1009.0,1009.8,10.0
147,2016-05-27,24.2,29.6,21.1,7.7,2.5,1008.6,1009.4,9.7
148,2016-05-28,20.8,22.8,17.9,0.6,1.9,1007.9,1008.7,10.0
149,2016-05-29,19.8,22.6,17.4,0.0,2.8,1004.3,1005.1,10.0
150,2016-05-30,22.2,27.3,18.5,3.4,2.6,1003.3,1004.1,6.3
151,2016-05-31,23.4,30.3,16.2,12.4,3.1,1005.2,1006.0,6.7
152,2016-06-01,20.8,26.4,15.4,9.8,4.1,1005.7,1006.5,6.0
153,2016-06-02,19.4,25.8,12.8,13.6,3.3,1008.4,1009.2,0.3
154,2016-06-03,19.6,26.6,11.9,13.3,2.4,1011.9,1012.7,4.0
155,2016-06-04,19.2,24.0,15.4,0.6,3.0,1011.3,1012.1,10.0
156,2016-06-05,18.9,22.8,16.5,0.2,3.4,1010.1,1010.9,8.7
157,2016-06-06,21.9,27.7,16.7,5.8,2.7,1012.5,1013.3,10.0
158,2016-06-07,20.2,22.1,18.8,0.5,3.3,1011.6,1012.4,9.3
159,2016-06-08,22.5,26.9,18.4,4.5,2.5,1010.6,1011.4,10.0
160,2016-06-09,22.5,26.8,19.8,2.9,2.0,1009.8,1010.6,10.0
161,2016-06-10,23.9,30.2,18.2,11.6,1.8,1012.1,1012.9,1.3
162,2016-06-11,24.3,28.9,20.2,5.3,2.9,1012.6,1013.4,10.0
163,2016-06-12,22.8,26.6,20.9,0.2,3.7,1007.1,1007.9,10.0
164,2016-06-13,22.6,26.9,19.6,0.4,2.2,999.2,1000.0,9.3
165,2016-06-14,24.1,30.1,18.4,10.9,2.2,1002.9,1003.7,2.0
166,2016-06-15,24.9,29.4,20.1,5.5,3.0,1005.3,1006.1,10.0
167,2016-06-16,23.1,25.3,22.1,0.0,3.5,1000.7,1001.5,10.0
168,2016-06-17,24.4,29.0,20.9,7.1,4.0,1006.8,1007.6,8.7
169,2016-06-18,24.8,31.6,18.7,12.6,2.0,1013.2,1014.0,9.3
170,2016-06-19,21.3,22.7,20.1,0.0,2.7,1010.9,1011.7,9.7
171,2016-06-20,24.2,29.5,21.3,2.2,2.7,1008.0,1008.8,10.0
172,2016-06-21,25.3,30.3,21.6,4.7,2.5,1006.4,1007.2,9.7
173,2016-06-22,23.4,25.1,21.8,0.0,1.8,1006.6,1007.4,10.0
174,2016-06-23,25.7,30.8,21.8,7.5,3.4,1003.7,1004.5,6.0
175,2016-06-24,21.6,23.7,19.9,0.3,2.5,1002.7,1003.5,10.0
176,2016-06-25,23.0,25.5,20.7,0.0,4.7,1003.1,1003.9,10.0
