Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,deepest_snowfall,total_snowfall
0,2016-01-01,-8.6,0.0,-15.2,0.0,37,1
1,2016-01-02,-4.6,2.9,-13.9,1.5,43,7
2,2016-01-03,-0.9,2.9,-7.1,0.0,42,0
3,2016-01-04,-5.9,-0.7,-14.6,0.0,36,0
4,2016-01-05,-7.2,-2.7,-16.0,0.0,36,0
5,2016-01-06,-7.1,-0.9,-17.2,0.0,37,2
6,2016-01-07,-7.5,-2.0,-15.3,0.0,36,0
7,2016-01-08,-6.0,-0.6,-15.1,0.0,37,1
8,2016-01-09,-8.4,-2.4,-15.3,0.0,36,1
9,2016-01-10,-6.6,-2.8,-13.8,0.0,37,2
10,2016-01-11,-11.9,-6.7,-19.2,0.0,37,0
11,2016-01-12,-12.3,-5.4,-20.5,0.0,36,1
12,2016-01-13,-10.5,-4.8,-19.3,0.0,37,1
13,2016-01-14,-8.2,-2.4,-18.0,3.5,46,11
14,2016-01-15,-10.1,-5.7,-17.7,0.0,43,3
15,2016-01-16,-12.9,-5.7,-19.8,0.0,41,0
16,2016-01-17,-12.0,-3.7,-19.4,0.0,40,3
17,2016-01-18,-9.3,-5.7,-17.9,8.0,65,27
18,2016-01-19,-2.8,-0.2,-5.7,4.5,86,23
19,2016-01-20,-1.4,0.0,-4.2,0.0,70,0
20,2016-01-21,-5.2,-1.4,-14.3,0.0,54,0
21,2016-01-22,-6.3,0.5,-16.9,0.0,52,0
22,2016-01-23,-6.4,-1.2,-16.6,0.0,52,2
23,2016-01-24,-10.5,-6.8,-16.7,0.0,51,3
24,2016-01-25,-12.7,-5.6,-19.4,0.0,50,1
25,2016-01-26,-6.8,1.1,-18.0,0.0,49,0
26,2016-01-27,-4.4,1.9,-13.9,0.0,50,4
27,2016-01-28,-6.6,-0.8,-16.7,0.0,47,0
28,2016-01-29,-12.6,-5.3,-20.7,0.0,45,0
29,2016-01-30,-10.9,-7.6,-16.7,0.0,46,1
30,2016-01-31,-11.4,-5.2,-18.8,0.0,46,1
31,2016-02-01,-13.4,-6.7,-20.5,0.0,43,0
32,2016-02-02,-12.6,-6.8,-20.7,0.0,43,1
33,2016-02-03,-11.8,-5.4,-19.8,0.0,44,1
34,2016-02-04,-9.5,-2.6,-14.8,0.0,45,2
35,2016-02-05,-6.8,-0.7,-17.4,0.0,45,4
36,2016-02-06,-10.8,-3.4,-19.0,0.0,43,0
37,2016-02-07,-9.8,-4.4,-20.2,0.0,44,1
38,2016-02-08,-8.3,-4.5,-18.0,0.0,45,3
39,2016-02-09,-7.4,-3.2,-13.7,5.0,57,13
40,2016-02-10,-4.9,0.7,-13.1,0.0,54,1
41,2016-02-11,-7.6,-0.7,-15.9,0.0,51,0
42,2016-02-12,-6.2,-0.5,-14.3,0.0,50,1
43,2016-02-13,0.4,5.5,-6.9,0.0,49,0
44,2016-02-14,-0.1,3.4,-2.8,24.5,45,2
45,2016-02-15,-5.7,-0.6,-10.2,0.0,41,0
46,2016-02-16,-8.1,-3.9,-15.3,0.0,40,0
47,2016-02-17,-6.2,-1.4,-13.7,0.0,41,3
48,2016-02-18,-1.4,3.4,-9.9,0.0,41,1
49,2016-02-19,0.9,4.8,-6.3,0.5,40,3
50,2016-02-20,-0.8,2.2,-5.4,8.5,54,16
51,2016-02-21,-2.3,-0.2,-6.2,8.5,64,11
52,2016-02-22,-5.7,-1.6,-13.8,0.0,59,0
53,2016-02-23,-7.9,-4.1,-14.4,0.0,58,2
54,2016-02-24,-10.9,-6.3,-19.9,0.0,58,1
55,2016-02-25,-10.9,-4.6,-21.4,0.0,55,0
56,2016-02-26,-10.2,-3.9,-18.3,0.0,54,0
57,2016-02-27,-9.8,-2.1,-18.6,0.0,54,2
58,2016-02-28,-9.2,-2.4,-18.1,0.0,53,0
59,2016-02-29,-7.0,-3.5,-15.2,34.5,110,60
60,2016-03-01,-5.6,0.9,-14.6,0.0,108,2
61,2016-03-02,-8.6,-2.3,-17.4,0.0,92,0
62,2016-03-03,-10.0,-6.5,-17.0,1.0,88,4
63,2016-03-04,-9.7,-1.0,-20.6,0.0,86,0
64,2016-03-05,-6.8,-0.2,-17.7,0.0,81,0
65,2016-03-06,-5.2,-0.8,-13.8,3.5,80,4
66,2016-03-07,1.7,8.6,-2.7,2.0,79,0
67,2016-03-08,0.7,5.7,-1.5,0.0,69,2
68,2016-03-09,-3.2,0.7,-12.0,0.0,65,0
69,2016-03-10,-6.7,-0.6,-15.5,0.0,63,0
70,2016-03-11,-6.9,-0.9,-14.6,0.0,64,3
