Unnamed: 0,calendar_date,precipitation,avg_wind_speed
0,2016-01-01,0.0,1.0
1,2016-01-02,0.0,1.1
2,2016-01-03,0.0,1.0
3,2016-01-04,0.0,1.0
4,2016-01-05,5.5,1.0
5,2016-01-06,0.5,0.7
6,2016-01-07,0.0,1.1
7,2016-01-08,0.0,0.7
8,2016-01-09,0.0,1.4
9,2016-01-10,0.0,0.9
10,2016-01-11,0.0,1.2
11,2016-01-12,0.0,1.7
12,2016-01-13,0.0,1.7
13,2016-01-14,0.0,1.5
14,2016-01-15,0.0,1.3
15,2016-01-16,0.0,0.9
16,2016-01-17,28.0,0.8
17,2016-01-18,10.0,2.7
18,2016-01-19,0.0,3.1
19,2016-01-20,0.0,2.3
20,2016-01-21,0.0,0.9
21,2016-01-22,0.0,1.8
22,2016-01-23,0.0,1.6
23,2016-01-24,0.0,2.4
24,2016-01-25,0.0,1.5
25,2016-01-26,0.0,1.7
26,2016-01-27,0.0,0.9
27,2016-01-28,0.5,0.7
28,2016-01-29,18.5,1.2
29,2016-01-30,1.5,1.5
30,2016-01-31,0.0,1.0
31,2016-02-01,0.0,0.8
32,2016-02-02,0.0,1.5
33,2016-02-03,0.0,1.3
34,2016-02-04,0.0,1.0
35,2016-02-05,0.0,1.2
36,2016-02-06,0.0,1.5
37,2016-02-07,0.0,1.4
38,2016-02-08,0.0,1.9
39,2016-02-09,0.0,2.9
40,2016-02-10,0.0,1.3
41,2016-02-11,0.0,1.2
42,2016-02-12,0.0,1.1
43,2016-02-13,12.0,1.2
44,2016-02-14,0.5,3.9
45,2016-02-15,0.0,2.0
46,2016-02-16,0.0,2.1
47,2016-02-17,0.0,1.6
48,2016-02-18,0.0,1.0
49,2016-02-19,0.0,1.1
50,2016-02-20,35.0,1.4
51,2016-02-21,0.0,2.2
52,2016-02-22,0.5,1.0
53,2016-02-23,4.0,0.9
54,2016-02-24,0.0,1.8
55,2016-02-25,0.5,1.9
56,2016-02-26,0.0,1.2
57,2016-02-27,0.0,1.7
58,2016-02-28,0.0,1.2
59,2016-02-29,0.0,2.9
60,2016-03-01,0.0,1.8
61,2016-03-02,0.0,1.2
62,2016-03-03,0.0,1.1
63,2016-03-04,0.0,1.4
64,2016-03-05,0.0,1.4
65,2016-03-06,0.0,1.4
66,2016-03-07,0.0,1.4
67,2016-03-08,0.0,1.3
68,2016-03-09,19.5,2.3
69,2016-03-10,0.5,1.7
70,2016-03-11,0.0,2.5
71,2016-03-12,0.0,1.4
72,2016-03-13,3.0,0.9
73,2016-03-14,7.0,3.0
74,2016-03-15,0.0,2.3
75,2016-03-16,0.0,0.9
76,2016-03-17,0.0,1.0
77,2016-03-18,14.0,1.1
78,2016-03-19,0.0,1.4
79,2016-03-20,0.0,2.2
80,2016-03-21,0.0,2.0
81,2016-03-22,0.0,1.2
82,2016-03-23,0.0,1.2
83,2016-03-24,0.0,2.8
84,2016-03-25,0.0,2.0
85,2016-03-26,0.0,1.5
86,2016-03-27,0.0,1.8
87,2016-03-28,0.0,2.0
88,2016-03-29,0.0,1.6
89,2016-03-30,0.0,1.4
90,2016-03-31,17.5,0.8
91,2016-04-01,5.5,1.1
92,2016-04-02,0.0,0.9
93,2016-04-03,7.0,1.2
94,2016-04-04,16.5,1.3
95,2016-04-05,0.0,1.6
96,2016-04-06,4.0,1.1
97,2016-04-07,10.5,2.4
98,2016-04-08,0.0,1.3
99,2016-04-09,0.0,0.9
100,2016-04-10,0.0,0.8
101,2016-04-11,0.0,2.2
102,2016-04-12,0.0,1.3
103,2016-04-13,0.5,1.3
104,2016-04-14,0.0,2.0
105,2016-04-15,0.0,1.6
106,2016-04-16,1.0,2.0
107,2016-04-17,8.0,3.3
108,2016-04-18,0.5,1.1
109,2016-04-19,0.0,2.1
110,2016-04-20,0.0,1.1
111,2016-04-21,49.5,1.3
112,2016-04-22,0.0,1.6
113,2016-04-23,5.5,1.2
114,2016-04-24,0.5,0.7
115,2016-04-25,7.0,0.9
116,2016-04-26,0.0,0.9
117,2016-04-27,26.0,1.0
118,2016-04-28,0.0,2.0
119,2016-04-29,0.0,2.2
120,2016-04-30,0.0,1.6
121,2016-05-01,0.0,1.6
122,2016-05-02,0.0,1.3
123,2016-05-03,9.0,2.4
124,2016-05-04,0.0,3.2
125,2016-05-05,0.0,1.6
126,2016-05-06,6.0,1.4
127,2016-05-07,0.0,1.6
128,2016-05-08,3.0,1.1
129,2016-05-09,23.5,1.5
130,2016-05-10,23.0,0.9
131,2016-05-11,0.0,2.1
132,2016-05-12,0.0,1.5
133,2016-05-13,0.0,1.4
134,2016-05-14,0.0,1.2
135,2016-05-15,0.0,1.4
136,2016-05-16,16.5,1.5
137,2016-05-17,0.0,1.6
138,2016-05-18,0.0,1.4
139,2016-05-19,0.0,1.1
140,2016-05-20,0.0,1.2
141,2016-05-21,0.0,1.1
142,2016-05-22,0.0,1.2
143,2016-05-23,0.0,1.4
144,2016-05-24,0.0,1.5
145,2016-05-25,21.0,0.9
146,2016-05-26,2.0,1.4
147,2016-05-27,0.0,1.0
148,2016-05-28,6.0,1.0
149,2016-05-29,29.5,0.8
150,2016-05-30,0.5,1.7
151,2016-05-31,0.0,1.1
152,2016-06-01,0.0,1.1
153,2016-06-02,0.0,1.8
154,2016-06-03,0.0,1.1
155,2016-06-04,31.0,0.9
156,2016-06-05,4.0,1.4
157,2016-06-06,0.5,1.1
158,2016-06-07,5.0,1.2
159,2016-06-08,9.5,0.8
160,2016-06-09,2.0,1.0
161,2016-06-10,0.0,1.3
162,2016-06-11,0.0,1.1
163,2016-06-12,26.5,1.1
164,2016-06-13,1.5,1.1
165,2016-06-14,0.0,1.0
166,2016-06-15,0.0,1.2
167,2016-06-16,9.0,1.1
168,2016-06-17,0.0,1.8
169,2016-06-18,0.0,1.1
170,2016-06-19,30.0,1.4
171,2016-06-20,126.5,1.0
172,2016-06-21,13.0,1.5
173,2016-06-22,109.5,0.7
174,2016-06-23,18.0,1.4
175,2016-06-24,7.5,2.0
176,2016-06-25,7.0,2.4
177,2016-06-26,0.0,2.0
178,2016-06-27,33.5,1.2
179,2016-06-28,70.0,0.8
180,2016-06-29,58.0,1.3
181,2016-06-30,8.5,0.7
182,2016-07-01,20.5,1.0
183,2016-07-02,0.0,1.4
184,2016-07-03,0.0,1.8
185,2016-07-04,0.0,1.3
186,2016-07-05,3.5,1.1
187,2016-07-06,0.0,1.1
188,2016-07-07,0.0,0.8
189,2016-07-08,98.0,0.9
190,2016-07-09,3.5,1.4
191,2016-07-10,30.5,0.8
192,2016-07-11,37.5,0.7
193,2016-07-12,1.0,1.3
194,2016-07-13,39.5,1.6
195,2016-07-14,27.0,1.2
196,2016-07-15,0.0,2.0
197,2016-07-16,0.0,0.9
198,2016-07-17,4.0,1.5
199,2016-07-18,0.0,1.2
200,2016-07-19,2.0,1.5
201,2016-07-20,0.0,1.2
202,2016-07-21,0.0,1.4
203,2016-07-22,0.0,1.4
204,2016-07-23,0.0,1.0
205,2016-07-24,0.0,1.0
206,2016-07-25,0.0,1.1
207,2016-07-26,0.0,1.2
208,2016-07-27,0.0,1.0
209,2016-07-28,0.0,1.0
210,2016-07-29,0.0,1.0
211,2016-07-30,0.0,1.0
212,2016-07-31,0.0,1.2
213,2016-08-01,0.0,1.4
214,2016-08-02,0.0,1.4
215,2016-08-03,0.0,1.4
216,2016-08-04,0.0,1.0
217,2016-08-05,0.0,1.0
218,2016-08-06,0.0,0.9
219,2016-08-07,0.0,1.1
220,2016-08-08,0.0,1.0
221,2016-08-09,0.0,1.4
222,2016-08-10,0.0,1.3
223,2016-08-11,0.0,1.5
224,2016-08-12,0.0,0.9
225,2016-08-13,0.0,1.0
226,2016-08-14,0.0,1.1
227,2016-08-15,0.0,1.3
228,2016-08-16,1.5,1.2
229,2016-08-17,0.0,1.4
230,2016-08-18,0.0,1.5
231,2016-08-19,0.0,1.3
232,2016-08-20,0.0,1.5
233,2016-08-21,0.0,1.3
234,2016-08-22,0.0,1.8
235,2016-08-23,0.0,1.6
236,2016-08-24,0.0,1.2
237,2016-08-25,2.0,1.1
238,2016-08-26,0.0,1.6
239,2016-08-27,0.0,1.9
240,2016-08-28,2.5,1.1
241,2016-08-29,0.0,2.0
242,2016-08-30,0.0,2.8
243,2016-08-31,0.0,2.8
244,2016-09-01,0.0,1.4
245,2016-09-02,0.0,1.0
246,2016-09-03,1.0,1.2
247,2016-09-04,25.5,1.0
248,2016-09-05,5.5,1.1
249,2016-09-06,0.0,1.2
250,2016-09-07,14.5,1.2
251,2016-09-08,2.0,1.6
252,2016-09-09,0.0,1.2
253,2016-09-10,0.0,1.3
254,2016-09-11,0.0,1.0
255,2016-09-12,84.0,1.3
256,2016-09-13,3.5,1.0
257,2016-09-14,22.5,0.6
258,2016-09-15,36.0,1.2
259,2016-09-16,0.0,1.1
260,2016-09-17,5.0,1.3
261,2016-09-18,5.5,0.9
262,2016-09-19,92.0,1.9
263,2016-09-20,116.0,4.4
264,2016-09-21,0.0,1.3
265,2016-09-22,8.5,0.7
266,2016-09-23,0.0,1.3
267,2016-09-24,0.0,1.2
268,2016-09-25,2.0,1.2
269,2016-09-26,9.5,0.9
270,2016-09-27,3.5,1.0
271,2016-09-28,3.0,0.7
272,2016-09-29,20.0,1.4
273,2016-09-30,0.5,1.0
274,2016-10-01,0.0,1.6
275,2016-10-02,1.5,1.0
276,2016-10-03,1.5,0.9
277,2016-10-04,0.0,1.0
278,2016-10-05,38.0,2.0
279,2016-10-06,0.0,1.4
280,2016-10-07,0.0,1.0
281,2016-10-08,24.0,1.0
282,2016-10-09,11.5,1.9
283,2016-10-10,0.0,1.5
284,2016-10-11,0.0,1.2
285,2016-10-12,0.0,0.9
286,2016-10-13,0.0,1.1
287,2016-10-14,0.0,0.9
288,2016-10-15,4.0,1.0
289,2016-10-16,7.0,0.8
290,2016-10-17,0.0,1.4
291,2016-10-18,0.0,1.2
292,2016-10-19,0.0,0.7
293,2016-10-20,0.0,1.0
294,2016-10-21,3.5,0.8
295,2016-10-22,27.5,0.9
296,2016-10-23,3.5,1.4
297,2016-10-24,0.0,2.0
298,2016-10-25,0.0,1.1
299,2016-10-26,0.5,1.5
300,2016-10-27,0.0,1.5
301,2016-10-28,39.5,1.1
302,2016-10-29,0.0,2.7
303,2016-10-30,0.0,1.3
304,2016-10-31,15.5,1.0
305,2016-11-01,1.5,2.3
306,2016-11-02,0.0,1.4
307,2016-11-03,0.0,2.0
308,2016-11-04,0.0,1.0
309,2016-11-05,0.0,1.0
310,2016-11-06,0.0,1.9
311,2016-11-07,0.0,1.2
312,2016-11-08,0.0,1.4
313,2016-11-09,0.0,2.3
314,2016-11-10,8.0,0.8
315,2016-11-11,0.0,1.2
316,2016-11-12,0.0,0.9
317,2016-11-13,0.0,1.3
318,2016-11-14,7.5,0.7
319,2016-11-15,0.5,1.7
320,2016-11-16,0.0,1.4
321,2016-11-17,0.0,0.9
322,2016-11-18,10.0,0.8
323,2016-11-19,19.0,1.5
324,2016-11-20,0.0,1.1
325,2016-11-21,0.5,0.6
326,2016-11-22,0.5,1.3
327,2016-11-23,0.0,1.8
328,2016-11-24,0.0,2.1
329,2016-11-25,0.0,1.7
330,2016-11-26,0.0,1.0
331,2016-11-27,16.0,1.1
332,2016-11-28,0.0,2.3
333,2016-11-29,0.0,1.5
334,2016-11-30,0.0,0.8
335,2016-12-01,0.0,1.1
336,2016-12-02,0.0,1.2
337,2016-12-03,0.0,0.8
338,2016-12-04,10.5,0.9
339,2016-12-05,0.0,1.1
340,2016-12-06,0.0,2.3
341,2016-12-07,0.0,1.5
342,2016-12-08,0.0,1.0
343,2016-12-09,0.0,1.5
344,2016-12-10,0.0,1.3
345,2016-12-11,0.0,1.4
346,2016-12-12,2.5,0.9
347,2016-12-13,20.0,1.4
348,2016-12-14,0.0,2.1
349,2016-12-15,0.5,1.5
350,2016-12-16,0.0,1.9
351,2016-12-17,0.0,1.3
352,2016-12-18,0.0,0.7
353,2016-12-19,0.0,1.0
354,2016-12-20,0.5,1.0
355,2016-12-21,0.0,0.9
356,2016-12-22,4.5,1.8
357,2016-12-23,0.0,2.8
358,2016-12-24,0.0,1.7
359,2016-12-25,0.0,1.1
360,2016-12-26,0.0,0.8
