Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,avg_local_pressure,avg_sea_pressure
0,2016-01-01,2.8,7.1,-1.8,7.0,949.6,1032.1
1,2016-01-02,8.2,11.5,5.0,1.5,945.1,1025.5
2,2016-01-03,9.5,12.7,6.1,0.1,940.3,1019.9
3,2016-01-04,8.6,12.4,5.6,7.0,941.4,1021.4
4,2016-01-05,6.5,9.3,3.7,0.0,941.4,1022.1
5,2016-01-06,6.4,9.5,3.7,0.0,939.7,1020.3
6,2016-01-07,3.2,5.8,2.2,1.6,940.6,1022.2
7,2016-01-08,1.4,3.0,0.5,0.1,939.6,1021.7
8,2016-01-09,1.8,3.6,0.4,0.5,942.5,1024.8
9,2016-01-10,2.9,6.5,0.2,6.0,943.2,1025.2
10,2016-01-11,4.0,7.5,1.0,0.3,940.0,1021.3
11,2016-01-12,1.9,3.9,-1.1,0.0,937.7,1019.5
12,2016-01-13,0.7,3.1,-0.5,1.6,938.0,1020.2
13,2016-01-14,1.3,4.6,-0.2,3.0,939.3,1021.4
14,2016-01-15,1.5,4.4,-1.5,2.6,939.2,1021.3
15,2016-01-16,2.4,9.1,-2.3,7.2,940.1,1022.0
16,2016-01-17,5.9,9.8,1.3,0.0,932.3,1012.4
17,2016-01-18,2.0,8.2,-3.9,1.0,929.2,1010.2
18,2016-01-19,-3.3,-1.9,-4.4,0.1,936.2,1019.5
19,2016-01-20,-2.8,1.1,-4.9,5.7,942.5,1026.3
20,2016-01-21,-0.8,1.1,-4.9,0.0,941.5,1024.5
21,2016-01-22,1.1,3.6,-1.6,2.9,941.7,1024.1
22,2016-01-23,-0.8,2.5,-5.8,0.6,940.3,1023.2
23,2016-01-24,-8.4,-5.6,-9.9,0.0,937.2,1022.3
24,2016-01-25,-4.0,-1.8,-9.1,0.0,943.9,1028.1
25,2016-01-26,0.5,2.2,-1.9,0.8,945.7,1028.6
26,2016-01-27,2.7,5.3,0.4,1.0,948.4,1030.9
27,2016-01-28,7.2,11.2,2.3,0.0,946.0,1026.8
28,2016-01-29,11.5,13.0,9.3,0.0,938.3,1017.1
29,2016-01-30,7.2,10.7,4.4,4.4,939.1,1019.3
30,2016-01-31,4.8,8.6,1.6,6.3,943.8,1025.2
31,2016-02-01,1.4,3.0,-0.9,0.0,941.9,1024.2
32,2016-02-02,0.2,3.7,-1.1,2.0,941.2,1023.8
33,2016-02-03,0.6,5.2,-2.1,2.3,943.0,1025.7
34,2016-02-04,1.2,6.8,-2.7,4.9,942.9,1025.4
35,2016-02-05,2.0,5.9,-1.4,4.0,939.6,1021.5
36,2016-02-06,0.6,4.0,-1.2,4.7,938.0,1020.2
37,2016-02-07,-0.1,3.9,-1.7,4.4,938.4,1020.9
38,2016-02-08,1.6,5.2,-2.5,4.4,938.8,1020.7
39,2016-02-09,4.4,7.2,2.0,8.1,940.5,1021.8
40,2016-02-10,3.8,10.2,-1.1,8.1,944.4,1026.2
41,2016-02-11,7.1,14.0,0.2,6.5,946.6,1027.5
42,2016-02-12,10.4,13.3,8.2,0.4,943.2,1022.7
43,2016-02-13,14.0,15.9,11.5,0.0,935.0,1012.7
44,2016-02-14,4.9,13.6,-0.9,0.0,932.7,1013.1
45,2016-02-15,-2.7,-0.8,-4.0,0.8,936.1,1019.2
46,2016-02-16,-1.2,1.4,-4.1,1.6,938.6,1021.5
47,2016-02-17,0.5,4.1,-1.4,3.0,941.8,1024.4
48,2016-02-18,2.0,6.9,-2.7,6.6,944.2,1026.5
49,2016-02-19,6.3,9.9,2.3,1.6,946.0,1027.1
50,2016-02-20,6.2,10.1,2.6,0.0,937.8,1018.2
51,2016-02-21,1.4,4.8,-1.5,7.3,945.4,1028.1
52,2016-02-22,3.5,7.1,-1.6,0.2,947.4,1029.5
53,2016-02-23,5.2,8.9,3.0,1.4,943.6,1024.8
54,2016-02-24,1.7,5.5,-1.7,5.6,945.8,1028.3
55,2016-02-25,-0.5,2.6,-2.6,1.9,948.7,1032.2
56,2016-02-26,0.7,5.1,-1.9,6.9,948.8,1031.9
57,2016-02-27,5.0,9.9,-0.2,1.1,945.9,1027.4
58,2016-02-28,7.7,13.1,2.6,8.3,943.1,1023.5
59,2016-02-29,0.2,8.7,-4.2,0.1,940.7,1023.3
60,2016-03-01,-2.2,1.8,-4.6,5.4,944.0,1027.6
61,2016-03-02,2.6,8.3,-1.2,8.3,945.5,1027.8
62,2016-03-03,6.3,12.5,-0.5,6.9,946.1,1027.2
63,2016-03-04,10.9,15.7,8.0,3.5,947.3,1027.1
64,2016-03-05,12.0,17.3,7.2,8.1,945.5,1024.7
65,2016-03-06,13.9,18.6,11.4,2.3,940.6,1018.9
66,2016-03-07,13.3,19.0,9.5,7.9,938.4,1016.6
67,2016-03-08,12.8,18.2,8.1,8.4,937.9,1016.3
68,2016-03-09,7.5,12.8,4.2,0.3,932.9,1012.5
69,2016-03-10,4.9,8.2,2.2,0.3,938.2,1019.0
70,2016-03-11,1.5,4.1,-1.1,0.4,939.5,1021.6
71,2016-03-12,1.3,7.9,-2.8,5.8,941.6,1023.9
72,2016-03-13,3.6,6.8,-0.3,0.0,940.5,1022.0
73,2016-03-14,4.0,7.8,1.7,7.4,935.0,1015.9
74,2016-03-15,4.9,11.0,1.4,9.3,940.8,1021.8
75,2016-03-16,6.7,12.3,2.8,5.3,942.2,1022.8
76,2016-03-17,9.9,16.3,3.0,9.2,941.8,1021.4
77,2016-03-18,11.6,13.8,9.3,0.0,934.7,1013.2
78,2016-03-19,11.1,13.6,7.2,0.9,933.1,1011.6
79,2016-03-20,8.0,12.9,4.6,9.4,937.9,1017.8
80,2016-03-21,6.6,13.5,2.1,9.5,940.0,1020.5
81,2016-03-22,6.8,14.5,0.5,9.5,939.4,1019.9
82,2016-03-23,7.2,11.1,2.4,0.0,936.7,1016.7
