Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,deepest_snowfall,total_snowfall
0,2016-01-01,1.9,4.1,-2.1,6,4
1,2016-01-02,4.0,7.6,0.9,3,0
2,2016-01-03,5.8,8.9,3.3,0,0
3,2016-01-04,4.6,11.3,2.1,0,0
4,2016-01-05,1.3,3.3,0.2,1,2
5,2016-01-06,1.1,2.6,0.3,1,0
6,2016-01-07,2.2,3.2,0.2,0,0
7,2016-01-08,1.2,2.9,0.1,2,5
8,2016-01-09,1.8,3.3,0.4,2,0
9,2016-01-10,1.9,5.3,0.2,2,2
10,2016-01-11,0.2,1.1,-1.4,3,3
11,2016-01-12,-0.4,1.1,-1.5,7,8
12,2016-01-13,0.1,1.4,-2.3,9,3
13,2016-01-14,-0.4,2.6,-6.4,21,18
14,2016-01-15,-2.5,-0.9,-7.2,22,8
15,2016-01-16,-1.3,0.3,-2.8,24,9
16,2016-01-17,0.8,2.2,-1.5,28,5
17,2016-01-18,0.8,2.8,-0.8,30,10
18,2016-01-19,0.6,3.6,-1.1,41,26
19,2016-01-20,0.7,2.8,-3.0,57,26
20,2016-01-21,0.2,1.7,-0.6,61,18
21,2016-01-22,-0.5,1.2,-1.9,76,18
22,2016-01-23,-0.8,0.7,-2.5,72,2
23,2016-01-24,-2.0,0.3,-2.9,79,15
24,2016-01-25,-0.5,1.7,-2.4,76,5
25,2016-01-26,1.4,2.9,0.3,74,2
26,2016-01-27,2.6,4.6,0.8,65,3
27,2016-01-28,1.5,3.8,0.5,56,3
28,2016-01-29,0.4,1.4,-0.6,49,2
29,2016-01-30,-0.7,0.8,-2.2,57,16
30,2016-01-31,0.4,2.2,-1.5,70,19
31,2016-02-01,-0.7,0.3,-1.6,74,7
32,2016-02-02,-0.1,1.2,-1.6,68,3
33,2016-02-03,-0.6,0.6,-2.1,68,8
34,2016-02-04,1.5,4.3,-2.8,66,0
35,2016-02-05,1.8,3.7,0.1,57,4
36,2016-02-06,-0.9,0.7,-5.8,59,11
37,2016-02-07,-1.9,-0.3,-5.0,60,4
38,2016-02-08,0.0,3.7,-4.2,63,5
39,2016-02-09,1.2,3.4,-0.4,56,7
40,2016-02-10,1.0,2.4,-0.8,57,4
41,2016-02-11,0.9,3.3,-2.7,54,0
42,2016-02-12,3.0,6.6,-1.5,52,0
43,2016-02-13,4.6,6.9,2.9,49,0
44,2016-02-14,5.6,8.7,2.8,40,0
45,2016-02-15,-0.1,4.2,-3.0,30,3
46,2016-02-16,-0.7,2.4,-3.8,45,21
47,2016-02-17,0.2,1.5,-0.9,56,14
48,2016-02-18,1.5,6.8,-2.4,50,1
49,2016-02-19,3.2,7.7,-1.4,41,1
50,2016-02-20,5.0,8.1,1.7,31,0
51,2016-02-21,3.7,7.7,0.9,24,3
52,2016-02-22,1.2,3.1,-0.9,17,2
53,2016-02-23,1.5,3.7,0.2,17,5
54,2016-02-24,-0.6,3.2,-2.8,16,5
55,2016-02-25,-1.3,1.6,-3.5,21,10
56,2016-02-26,-0.8,1.3,-2.9,29,12
57,2016-02-27,1.6,4.0,-4.0,28,3
58,2016-02-28,2.9,7.0,-2.1,18,0
59,2016-02-29,4.0,8.3,0.6,14,1
60,2016-03-01,-0.5,1.5,-2.1,12,5
61,2016-03-02,0.7,4.4,-1.9,13,3
62,2016-03-03,3.9,7.8,-0.3,11,1
63,2016-03-04,2.0,6.6,-1.3,5,0
64,2016-03-05,5.3,10.9,-1.5,1,0
65,2016-03-06,9.2,12.9,6.1,0,0
66,2016-03-07,7.2,10.2,5.2,0,0
67,2016-03-08,6.5,9.9,3.3,0,0
68,2016-03-09,2.9,4.8,1.0,0,0
69,2016-03-10,1.3,3.7,-0.6,0,0
70,2016-03-11,0.6,4.0,-3.0,0,0
71,2016-03-12,1.0,4.8,-1.6,0,0
72,2016-03-13,3.3,8.4,-2.4,0,0
73,2016-03-14,4.6,9.1,1.3,0,0
74,2016-03-15,4.0,6.7,1.2,0,0
75,2016-03-16,6.8,13.5,0.4,0,0
76,2016-03-17,7.7,15.1,0.0,0,0
77,2016-03-18,10.7,21.0,2.5,0,0
78,2016-03-19,8.7,11.7,6.5,0,0
79,2016-03-20,5.6,7.9,3.2,0,0
80,2016-03-21,4.5,8.0,1.6,0,0
81,2016-03-22,6.7,10.0,3.4,0,0
82,2016-03-23,4.8,9.3,0.0,0,0
83,2016-03-24,3.1,7.5,-0.6,0,0
84,2016-03-25,2.1,6.5,-1.7,0,0
85,2016-03-26,2.9,8.5,-0.1,0,0
86,2016-03-27,4.7,11.6,-1.6,0,0
87,2016-03-28,5.6,12.8,-0.7,0,0
88,2016-03-29,7.8,14.7,0.0,0,0
89,2016-03-30,8.6,16.7,3.0,0,0
90,2016-03-31,7.4,13.5,0.6,0,0
91,2016-04-01,9.5,17.4,2.3,0,0
92,2016-04-02,9.5,13.0,7.0,0,0
93,2016-04-03,11.8,17.0,8.6,0,0
94,2016-04-04,6.8,9.3,2.4,0,0
95,2016-04-05,7.0,14.1,0.9,0,0
96,2016-04-06,9.0,12.2,4.5,0,0
97,2016-04-07,10.0,12.0,7.4,0,0
98,2016-04-08,10.7,12.4,8.8,0,0
99,2016-04-09,11.8,17.9,6.6,0,0
100,2016-04-10,8.5,14.5,4.0,0,0
101,2016-04-11,4.0,7.8,0.4,0,0
102,2016-04-12,6.3,11.4,1.2,0,0
103,2016-04-13,11.4,18.8,7.0,0,0
104,2016-04-14,13.8,19.4,9.9,0,0
105,2016-04-15,7.4,11.4,5.2,0,0
106,2016-04-16,11.4,18.3,3.7,0,0
107,2016-04-17,13.9,20.7,10.8,0,0
108,2016-04-18,12.4,14.1,9.6,0,0
109,2016-04-19,8.4,12.5,3.3,0,0
110,2016-04-20,9.7,16.9,2.1,0,0
111,2016-04-21,14.8,20.4,9.0,0,0
112,2016-04-22,13.4,17.7,9.3,0,0
113,2016-04-23,15.0,23.5,10.8,0,0
114,2016-04-24,11.5,16.7,5.2,0,0
115,2016-04-25,11.5,19.7,2.4,0,0
116,2016-04-26,11.8,19.9,3.9,0,0
117,2016-04-27,12.3,19.6,4.0,0,0
118,2016-04-28,11.3,12.7,9.5,0,0
119,2016-04-29,8.7,11.7,5.3,0,0
120,2016-04-30,9.2,13.2,5.9,0,0
121,2016-05-01,10.6,12.8,8.3,0,0
122,2016-05-02,12.9,15.5,9.8,0,0
123,2016-05-03,18.3,24.0,11.6,0,0
124,2016-05-04,15.7,20.2,10.5,0,0
125,2016-05-05,14.7,16.6,10.4,0,0
126,2016-05-06,16.6,23.6,7.1,0,0
127,2016-05-07,14.4,16.6,12.5,0,0
128,2016-05-08,13.9,17.2,9.5,0,0
129,2016-05-09,16.4,23.4,8.7,0,0
130,2016-05-10,16.1,18.3,14.0,0,0
131,2016-05-11,15.1,19.3,12.5,0,0
132,2016-05-12,13.1,16.1,10.9,0,0
133,2016-05-13,17.7,25.7,13.2,0,0
134,2016-05-14,16.0,20.0,13.1,0,0
135,2016-05-15,18.0,24.1,13.7,0,0
136,2016-05-16,17.9,23.5,12.8,0,0
137,2016-05-17,13.4,16.0,9.9,0,0
138,2016-05-18,14.7,20.6,8.2,0,0
139,2016-05-19,18.7,25.6,9.5,0,0
140,2016-05-20,19.1,25.1,14.7,0,0
141,2016-05-21,18.0,23.0,14.1,0,0
142,2016-05-22,18.3,24.4,12.9,0,0
143,2016-05-23,17.1,23.0,10.7,0,0
144,2016-05-24,21.0,27.5,12.6,0,0
145,2016-05-25,19.7,20.7,18.1,0,0
146,2016-05-26,20.0,23.0,17.6,0,0
147,2016-05-27,17.8,20.7,13.5,0,0
148,2016-05-28,17.8,22.7,12.9,0,0
149,2016-05-29,19.8,25.1,12.5,0,0
150,2016-05-30,21.8,27.3,17.9,0,0
151,2016-05-31,19.3,23.1,15.4,0,0
152,2016-06-01,13.9,17.0,11.3,0,0
153,2016-06-02,12.4,15.0,10.4,0,0
154,2016-06-03,14.9,20.2,8.8,0,0
155,2016-06-04,19.4,26.4,12.1,0,0
156,2016-06-05,16.6,19.4,14.6,0,0
157,2016-06-06,18.7,25.9,13.0,0,0
158,2016-06-07,20.6,26.3,15.7,0,0
159,2016-06-08,21.9,26.7,17.9,0,0
160,2016-06-09,19.8,23.8,18.0,0,0
161,2016-06-10,18.5,22.7,14.3,0,0
162,2016-06-11,22.6,29.6,13.3,0,0
163,2016-06-12,24.5,29.7,19.5,0,0
164,2016-06-13,19.9,22.5,18.2,0,0
165,2016-06-14,20.3,23.6,18.7,0,0
166,2016-06-15,20.4,25.8,17.3,0,0
167,2016-06-16,20.0,23.0,17.1,0,0
168,2016-06-17,21.2,24.9,19.3,0,0
169,2016-06-18,19.7,22.8,17.7,0,0
170,2016-06-19,21.8,27.0,17.0,0,0
171,2016-06-20,21.5,25.8,19.1,0,0
172,2016-06-21,22.4,26.8,19.0,0,0
173,2016-06-22,21.2,24.8,18.2,0,0
174,2016-06-23,19.6,20.5,18.2,0,0
175,2016-06-24,20.9,25.8,17.9,0,0
176,2016-06-25,22.8,26.4,19.9,0,0
177,2016-06-26,17.8,21.5,16.1,0,0
178,2016-06-27,19.6,23.9,14.9,0,0
179,2016-06-28,20.4,22.1,17.7,0,0
180,2016-06-29,22.7,29.4,15.8,0,0
181,2016-06-30,21.1,23.3,19.5,0,0
182,2016-07-01,22.8,27.0,18.4,0,0
183,2016-07-02,23.9,27.2,20.8,0,0
184,2016-07-03,21.2,22.8,19.9,0,0
185,2016-07-04,20.6,24.2,18.6,0,0
186,2016-07-05,20.1,22.4,18.2,0,0
187,2016-07-06,20.3,23.5,17.7,0,0
188,2016-07-07,19.5,21.2,18.2,0,0
189,2016-07-08,21.2,24.3,18.4,0,0
190,2016-07-09,21.8,24.6,20.7,0,0
191,2016-07-10,22.3,24.3,21.0,0,0
192,2016-07-11,20.8,24.9,17.1,0,0
193,2016-07-12,21.1,26.6,15.3,0,0
194,2016-07-13,22.5,28.3,17.2,0,0
195,2016-07-14,22.9,25.2,21.1,0,0
196,2016-07-15,24.0,29.4,19.9,0,0
197,2016-07-16,23.4,28.0,20.3,0,0
198,2016-07-17,23.0,26.1,21.3,0,0
199,2016-07-18,21.8,23.5,20.6,0,0
200,2016-07-19,21.4,24.8,20.0,0,0
201,2016-07-20,21.3,25.0,18.3,0,0
202,2016-07-21,22.5,27.4,19.0,0,0
203,2016-07-22,22.7,28.1,18.4,0,0
204,2016-07-23,21.8,27.1,17.5,0,0
205,2016-07-24,23.6,29.2,19.3,0,0
206,2016-07-25,24.9,29.9,20.8,0,0
207,2016-07-26,23.8,27.6,21.0,0,0
208,2016-07-27,24.3,27.0,22.2,0,0
209,2016-07-28,26.5,31.1,23.9,0,0
210,2016-07-29,27.1,32.7,24.0,0,0
211,2016-07-30,27.2,32.1,22.7,0,0
212,2016-07-31,27.4,33.3,24.5,0,0
213,2016-08-01,27.4,32.8,24.1,0,0
214,2016-08-02,25.3,28.5,23.7,0,0
215,2016-08-03,25.2,28.9,22.5,0,0
216,2016-08-04,24.7,28.5,21.1,0,0
217,2016-08-05,24.8,29.2,20.3,0,0
218,2016-08-06,26.0,31.0,20.8,0,0
219,2016-08-07,28.9,35.1,24.2,0,0
220,2016-08-08,28.1,33.5,23.7,0,0
221,2016-08-09,24.6,27.9,20.9,0,0
222,2016-08-10,22.9,27.1,19.2,0,0
223,2016-08-11,22.9,28.3,18.2,0,0
224,2016-08-12,25.2,32.7,19.0,0,0
225,2016-08-13,25.3,32.4,20.5,0,0
226,2016-08-14,25.2,32.0,20.3,0,0
227,2016-08-15,24.8,30.4,21.1,0,0
228,2016-08-16,27.3,32.9,23.1,0,0
229,2016-08-17,24.0,25.9,22.6,0,0
230,2016-08-18,24.8,29.8,20.6,0,0
231,2016-08-19,27.8,32.6,23.0,0,0
232,2016-08-20,28.1,32.4,25.2,0,0
233,2016-08-21,26.6,31.0,22.5,0,0
234,2016-08-22,27.0,34.0,22.0,0,0
235,2016-08-23,24.5,28.8,20.6,0,0
236,2016-08-24,25.1,31.7,19.3,0,0
237,2016-08-25,26.9,32.2,23.6,0,0
238,2016-08-26,23.6,26.9,19.5,0,0
239,2016-08-27,20.7,25.0,17.9,0,0
240,2016-08-28,23.6,28.0,17.9,0,0
241,2016-08-29,26.4,31.1,22.8,0,0
242,2016-08-30,23.6,28.4,19.9,0,0
243,2016-08-31,24.8,30.9,19.3,0,0
244,2016-09-01,23.8,29.4,18.8,0,0
245,2016-09-02,24.6,29.9,18.7,0,0
246,2016-09-03,25.9,29.8,23.3,0,0
247,2016-09-04,27.0,31.8,22.8,0,0
248,2016-09-05,27.3,34.0,23.9,0,0
249,2016-09-06,24.8,30.0,21.5,0,0
250,2016-09-07,23.3,27.2,19.4,0,0
251,2016-09-08,22.6,25.7,18.5,0,0
252,2016-09-09,22.4,26.0,18.8,0,0
253,2016-09-10,20.2,23.7,17.7,0,0
