Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight
0,2016-01-01,4.8,10.8,0.0,7.3
1,2016-01-02,4.7,11.1,-0.7,4.0
2,2016-01-03,6.3,13.5,0.9,7.6
3,2016-01-04,7.7,12.4,2.1,1.0
4,2016-01-05,7.3,11.1,3.4,1.7
5,2016-01-06,7.6,11.4,4.6,1.7
6,2016-01-07,5.7,10.0,3.0,2.9
7,2016-01-08,4.7,9.6,0.5,3.8
8,2016-01-09,3.8,8.3,0.8,3.2
9,2016-01-10,4.7,9.7,-0.2,3.8
10,2016-01-11,5.6,9.9,3.5,2.6
11,2016-01-12,4.4,8.0,1.3,5.4
12,2016-01-13,4.0,9.5,-0.4,6.2
13,2016-01-14,3.5,9.6,-1.1,6.5
14,2016-01-15,2.8,7.0,0.3,3.9
15,2016-01-16,3.0,8.1,-0.2,1.1
16,2016-01-17,4.0,8.2,-1.1,1.8
17,2016-01-18,6.7,9.2,3.4,0.1
18,2016-01-19,1.7,4.4,-1.4,6.7
19,2016-01-20,1.6,4.9,-1.5,0.7
20,2016-01-21,2.4,6.4,0.1,2.8
21,2016-01-22,1.9,7.6,-2.3,6.7
22,2016-01-23,1.4,5.4,-2.0,2.2
23,2016-01-24,-0.9,1.8,-4.5,8.8
24,2016-01-25,-1.7,1.6,-5.4,0.9
25,2016-01-26,-0.6,4.7,-7.5,6.9
26,2016-01-27,2.4,9.2,-1.9,5.7
27,2016-01-28,3.0,8.8,-3.2,4.7
28,2016-01-29,4.9,6.4,3.0,0.0
29,2016-01-30,5.7,8.6,3.4,1.0
30,2016-01-31,6.3,10.2,2.7,7.9
31,2016-02-01,4.4,7.1,2.7,0.0
32,2016-02-02,4.0,9.4,1.1,9.0
33,2016-02-03,3.2,8.4,-1.9,7.5
34,2016-02-04,2.9,9.9,-3.2,6.1
35,2016-02-05,4.2,10.7,-0.6,5.4
36,2016-02-06,3.1,8.0,-0.7,2.0
37,2016-02-07,2.2,6.8,-3.2,8.9
38,2016-02-08,1.6,8.9,-4.6,10.2
39,2016-02-09,2.1,7.8,-2.1,1.6
40,2016-02-10,2.7,7.0,-1.0,4.7
41,2016-02-11,3.1,11.1,-3.4,10.4
42,2016-02-12,6.3,10.7,-0.7,0.6
43,2016-02-13,11.1,14.9,7.3,0.0
44,2016-02-14,12.1,17.4,8.7,0.4
45,2016-02-15,4.4,8.7,0.1,6.9
46,2016-02-16,2.0,7.2,-0.9,5.1
47,2016-02-17,1.3,5.7,-1.5,1.5
48,2016-02-18,4.0,10.4,-0.4,9.1
49,2016-02-19,6.5,13.7,-0.3,8.9
50,2016-02-20,6.6,9.6,4.5,0.0
51,2016-02-21,5.8,8.7,3.1,5.2
52,2016-02-22,5.3,9.4,2.4,1.5
53,2016-02-23,6.3,12.0,0.7,5.7
54,2016-02-24,3.3,6.8,0.3,4.2
55,2016-02-25,3.0,8.6,-0.4,10.0
56,2016-02-26,2.0,7.3,-0.5,3.5
57,2016-02-27,4.4,10.4,-1.4,2.3
58,2016-02-28,8.0,14.5,0.0,10.0
59,2016-02-29,5.4,10.4,-0.7,0.1
60,2016-03-01,0.8,4.4,-1.5,2.7
61,2016-03-02,2.4,7.9,-2.4,4.9
62,2016-03-03,4.8,13.5,-2.1,6.7
63,2016-03-04,8.1,17.1,0.2,10.5
64,2016-03-05,12.3,17.5,7.3,5.9
65,2016-03-06,15.5,18.3,12.5,4.0
66,2016-03-07,14.1,19.8,8.9,3.0
67,2016-03-08,12.0,17.5,7.8,2.6
68,2016-03-09,7.1,10.4,3.6,0.0
69,2016-03-10,5.4,8.8,3.5,0.2
70,2016-03-11,5.0,10.7,0.5,9.7
71,2016-03-12,4.3,11.2,-1.9,11.3
72,2016-03-13,5.8,12.1,-1.7,3.1
73,2016-03-14,5.7,7.6,4.6,0.2
74,2016-03-15,5.9,10.5,0.0,8.1
75,2016-03-16,4.6,10.2,-1.7,3.5
76,2016-03-17,8.8,17.8,-0.1,11.1
77,2016-03-18,12.2,17.9,4.1,3.5
78,2016-03-19,12.7,17.2,8.9,0.0
79,2016-03-20,8.2,9.7,6.1,0.1
80,2016-03-21,7.0,11.5,1.6,11.3
81,2016-03-22,7.2,15.4,-1.4,10.0
82,2016-03-23,9.3,16.5,3.6,8.4
83,2016-03-24,7.0,11.5,3.2,8.0
84,2016-03-25,4.5,9.2,1.5,7.4
85,2016-03-26,5.1,12.0,-2.1,11.7
86,2016-03-27,7.8,16.4,-1.2,11.2
87,2016-03-28,8.6,14.8,3.5,8.5
88,2016-03-29,9.6,17.4,0.9,7.5
89,2016-03-30,12.3,19.2,4.3,9.4
90,2016-03-31,12.1,21.0,3.9,9.0
91,2016-04-01,12.7,16.7,8.1,0.5
92,2016-04-02,14.5,20.4,7.8,2.4
93,2016-04-03,16.3,18.5,14.7,0.1
94,2016-04-04,13.5,17.2,9.7,0.0
95,2016-04-05,11.4,17.2,5.3,7.6
96,2016-04-06,12.0,19.8,3.0,5.9
97,2016-04-07,13.0,15.2,10.6,0.0
98,2016-04-08,13.0,17.2,7.5,5.5
99,2016-04-09,13.9,22.6,6.2,7.7
100,2016-04-10,13.7,18.6,8.1,0.0
101,2016-04-11,8.7,13.0,2.8,8.4
102,2016-04-12,9.4,16.8,-0.1,9.6
103,2016-04-13,13.5,16.6,11.5,0.0
104,2016-04-14,14.7,21.5,11.9,6.2
105,2016-04-15,11.7,15.6,6.3,12.0
106,2016-04-16,13.5,22.6,3.0,11.5
107,2016-04-17,18.1,24.5,12.3,6.9
108,2016-04-18,13.1,17.5,8.4,1.6
109,2016-04-19,11.2,17.8,4.3,6.5
110,2016-04-20,13.8,20.3,5.0,11.0
111,2016-04-21,15.0,17.9,13.5,0.0
112,2016-04-22,14.4,18.3,10.3,5.0
113,2016-04-23,15.6,24.0,8.4,8.2
114,2016-04-24,14.3,20.3,11.0,5.4
115,2016-04-25,16.6,22.3,10.2,4.0
116,2016-04-26,18.0,25.8,10.0,11.9
117,2016-04-27,16.5,19.9,13.3,0.0
118,2016-04-28,14.2,16.6,11.7,0.0
119,2016-04-29,11.1,14.5,5.9,4.5
120,2016-04-30,12.9,20.9,3.6,11.9
121,2016-05-01,15.3,23.6,8.5,7.7
122,2016-05-02,18.7,28.2,8.8,11.9
123,2016-05-03,19.6,23.3,17.6,3.5
124,2016-05-04,18.6,23.6,14.0,10.9
125,2016-05-05,16.0,21.9,10.1,12.2
126,2016-05-06,13.9,19.7,9.5,0.0
127,2016-05-07,15.4,19.5,12.6,0.4
128,2016-05-08,16.3,21.2,11.1,10.7
129,2016-05-09,16.6,18.0,14.6,0.0
130,2016-05-10,17.0,19.7,14.8,0.0
131,2016-05-11,16.2,20.4,13.4,0.0
132,2016-05-12,17.6,23.4,12.6,11.4
133,2016-05-13,19.9,25.5,15.5,11.8
134,2016-05-14,19.7,24.9,12.6,12.5
135,2016-05-15,20.5,25.2,17.6,11.8
136,2016-05-16,17.8,21.7,12.6,0.1
137,2016-05-17,14.5,19.2,10.6,10.2
138,2016-05-18,16.9,25.4,7.9,13.4
139,2016-05-19,19.5,25.8,12.0,10.7
140,2016-05-20,20.2,26.6,13.7,11.5
141,2016-05-21,18.5,24.8,13.0,12.9
142,2016-05-22,20.3,28.3,13.0,13.1
143,2016-05-23,21.3,30.0,13.9,11.6
144,2016-05-24,22.2,30.2,13.2,7.4
145,2016-05-25,22.1,24.4,20.1,0.0
146,2016-05-26,23.1,27.2,20.4,2.3
147,2016-05-27,20.3,24.1,17.0,7.1
148,2016-05-28,18.9,22.0,15.3,0.7
149,2016-05-29,19.7,28.5,13.6,7.5
150,2016-05-30,19.1,23.0,16.6,0.0
151,2016-05-31,22.1,28.2,17.2,9.5
152,2016-06-01,18.0,21.7,14.7,7.5
153,2016-06-02,17.3,22.1,13.3,13.2
154,2016-06-03,18.6,26.4,9.4,13.7
155,2016-06-04,19.8,24.9,13.5,3.3
156,2016-06-05,18.8,24.1,14.8,6.1
157,2016-06-06,20.9,27.0,14.0,10.6
158,2016-06-07,20.0,21.9,18.3,0.0
159,2016-06-08,22.7,27.3,18.5,10.8
160,2016-06-09,21.6,25.9,18.3,1.1
161,2016-06-10,23.5,29.3,16.4,13.7
162,2016-06-11,24.6,29.9,19.9,10.2
163,2016-06-12,22.5,26.2,18.1,0.3
164,2016-06-13,20.9,24.3,19.1,0.3
165,2016-06-14,23.2,28.7,19.1,13.1
166,2016-06-15,23.9,29.2,18.6,6.2
167,2016-06-16,21.0,22.9,19.5,0.0
168,2016-06-17,22.2,26.8,19.1,4.3
169,2016-06-18,23.2,30.0,16.3,13.0
170,2016-06-19,20.9,24.4,18.4,0.0
171,2016-06-20,23.8,29.2,20.1,6.1
172,2016-06-21,24.4,29.3,21.2,7.4
173,2016-06-22,23.8,28.9,21.0,0.5
174,2016-06-23,22.5,26.7,18.2,6.6
175,2016-06-24,20.8,25.6,16.2,1.9
176,2016-06-25,22.0,26.0,18.6,0.5
177,2016-06-26,21.4,26.9,17.7,6.2
178,2016-06-27,22.3,29.0,15.5,7.9
179,2016-06-28,19.9,23.4,17.1,0.1
180,2016-06-29,21.8,27.0,18.3,2.9
181,2016-06-30,24.0,28.6,21.4,0.7
182,2016-07-01,25.9,31.4,21.1,8.6
183,2016-07-02,27.8,33.6,22.7,7.9
184,2016-07-03,25.6,31.6,22.5,0.4
185,2016-07-04,24.8,31.0,21.8,3.7
186,2016-07-05,26.5,32.7,21.5,6.6
187,2016-07-06,26.6,30.5,23.3,8.8
188,2016-07-07,26.5,31.6,22.8,7.3
189,2016-07-08,24.4,28.2,21.5,0.0
190,2016-07-09,22.5,25.0,21.0,0.1
191,2016-07-10,25.3,30.9,20.5,9.5
192,2016-07-11,26.1,33.2,19.8,12.2
193,2016-07-12,25.6,29.4,21.6,0.1
194,2016-07-13,26.0,28.7,23.4,0.1
195,2016-07-14,25.4,31.7,22.2,4.8
196,2016-07-15,21.7,24.0,20.6,0.2
197,2016-07-16,25.1,30.6,19.8,5.4
198,2016-07-17,25.5,28.6,23.6,0.0
199,2016-07-18,25.4,30.9,20.8,12.5
200,2016-07-19,25.2,30.8,19.1,13.3
201,2016-07-20,25.2,31.2,19.5,13.4
202,2016-07-21,24.4,30.9,19.0,11.4
203,2016-07-22,25.3,32.1,19.4,9.9
204,2016-07-23,25.8,30.7,22.0,12.2
205,2016-07-24,26.2,31.2,21.8,9.8
