Unnamed: 0,calendar_date,precipitation
0,2016-01-01,0.0
1,2016-01-02,0.0
2,2016-01-03,25.5
3,2016-01-04,17.5
4,2016-01-05,34.5
5,2016-01-06,17.5
6,2016-01-07,0.5
7,2016-01-08,6.0
8,2016-01-09,0.0
9,2016-01-10,0.0
10,2016-01-11,36.0
11,2016-01-12,2.0
12,2016-01-13,0.0
13,2016-01-14,0.5
14,2016-01-15,3.0
15,2016-01-16,10.0
16,2016-01-17,54.0
17,2016-01-18,0.5
18,2016-01-19,0.0
19,2016-01-20,0.0
20,2016-01-21,62.0
21,2016-01-22,1.5
22,2016-01-23,12.5
23,2016-01-24,0.5
24,2016-01-25,2.5
25,2016-01-26,0.0
26,2016-01-27,0.0
27,2016-01-28,0.0
28,2016-01-29,12.5
29,2016-01-30,7.0
30,2016-01-31,0.0
31,2016-02-01,7.5
32,2016-02-02,1.0
33,2016-02-03,1.0
34,2016-02-04,3.0
35,2016-02-05,49.0
36,2016-02-06,5.5
37,2016-02-07,1.0
38,2016-02-08,0.0
39,2016-02-09,0.0
40,2016-02-10,0.0
41,2016-02-11,0.0
42,2016-02-12,0.0
43,2016-02-13,0.0
44,2016-02-14,1.5
45,2016-02-15,1.5
46,2016-02-16,0.0
47,2016-02-17,0.0
48,2016-02-18,0.0
49,2016-02-19,11.5
50,2016-02-20,44.0
51,2016-02-21,0.0
52,2016-02-22,0.0
53,2016-02-23,8.5
54,2016-02-24,0.0
55,2016-02-25,0.0
56,2016-02-26,0.0
57,2016-02-27,25.5
58,2016-02-28,0.5
59,2016-02-29,0.0
60,2016-03-01,0.0
61,2016-03-02,0.0
62,2016-03-03,0.0
63,2016-03-04,4.0
64,2016-03-05,3.0
65,2016-03-06,20.5
66,2016-03-07,0.0
67,2016-03-08,0.0
68,2016-03-09,7.0
69,2016-03-10,16.5
70,2016-03-11,3.0
71,2016-03-12,0.0
72,2016-03-13,32.0
73,2016-03-14,43.5
74,2016-03-15,0.0
75,2016-03-16,7.5
76,2016-03-17,2.5
77,2016-03-18,0.0
78,2016-03-19,15.0
79,2016-03-20,0.0
80,2016-03-21,0.0
81,2016-03-22,0.0
82,2016-03-23,14.0
83,2016-03-24,2.0
84,2016-03-25,5.0
85,2016-03-26,2.5
86,2016-03-27,0.0
87,2016-03-28,0.0
88,2016-03-29,0.0
89,2016-03-30,0.0
90,2016-03-31,2.0
91,2016-04-01,0.0
92,2016-04-02,0.0
93,2016-04-03,0.5
94,2016-04-04,27.5
95,2016-04-05,2.5
96,2016-04-06,0.0
97,2016-04-07,0.0
98,2016-04-08,49.0
99,2016-04-09,67.5
100,2016-04-10,47.0
101,2016-04-11,13.5
102,2016-04-12,0.5
103,2016-04-13,18.5
104,2016-04-14,0.0
105,2016-04-15,0.5
106,2016-04-16,1.5
107,2016-04-17,6.5
108,2016-04-18,16.5
109,2016-04-19,0.0
110,2016-04-20,0.0
111,2016-04-21,0.0
112,2016-04-22,21.0
113,2016-04-23,0.0
114,2016-04-24,38.5
115,2016-04-25,0.5
116,2016-04-26,0.0
117,2016-04-27,56.5
118,2016-04-28,0.0
119,2016-04-29,0.0
120,2016-04-30,0.0
121,2016-05-01,0.0
122,2016-05-02,0.0
123,2016-05-03,13.0
124,2016-05-04,0.0
125,2016-05-05,0.0
126,2016-05-06,0.0
127,2016-05-07,0.0
128,2016-05-08,0.0
129,2016-05-09,0.0
130,2016-05-10,4.5
131,2016-05-11,15.5
132,2016-05-12,0.0
133,2016-05-13,0.0
134,2016-05-14,0.0
135,2016-05-15,0.0
136,2016-05-16,15.0
137,2016-05-17,18.5
138,2016-05-18,25.5
139,2016-05-19,18.0
140,2016-05-20,5.0
141,2016-05-21,1.0
142,2016-05-22,22.0
143,2016-05-23,0.5
144,2016-05-24,0.0
145,2016-05-25,1.5
146,2016-05-26,0.0
147,2016-05-27,0.0
148,2016-05-28,0.0
149,2016-05-29,0.0
150,2016-05-30,0.0
151,2016-05-31,0.0
152,2016-06-01,1.0
153,2016-06-02,3.5
154,2016-06-03,25.5
155,2016-06-04,0.0
156,2016-06-05,2.5
157,2016-06-06,15.5
158,2016-06-07,14.0
159,2016-06-08,0.0
